,bus0,bus1,Optimized capacity,type
1,BE1 0,FR1 0,7836.74527994319,AC
2,BE1 0,NL1 0,8365.27341855904,AC
3,DE1 0,FR1 0,5913.21467317122,AC
4,DE1 0,NL1 0,10504.4244234709,AC
14801,DE1 0,BE1 0,2460.37359739303,DC
14814,GB0 0,NL1 0,2460.37261763751,DC
14826,GB0 0,FR1 0,4920.65701102536,DC
5581,GB0 0,GB2 0,6153.38439047105,DC
5580,GB0 0,GB2 0,615.081441128973,DC
T2,FR1 0,GB0 0,1822.51142761736,DC
T6,GB0 0,BE1 0,2460.37297134953,DC
T11,GB0 0,FR1 0,3444.27500399389,DC
T18,GB0 0,FR1 0,3645.00281963131,DC
T20,GB0 0,FR1 0,3444.33540586904,DC
T21,GB0 0,DE1 0,3444.52044030097,DC
T32,GB0 0,NL1 0,2952.44754459304,DC
