Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,CRUAS 3,915.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037486339,0.0037486339,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,CRUAS 2,915.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037486339,0.0037486339,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,TRICASTIN 4,915.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037486339,0.0037486339,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,CRUAS 1,915.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037486339,0.0037486339,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,ST LAURENT 1,915.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037486339,0.0037486339,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,TRICASTIN 3,915.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037486339,0.0037486339,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,GRAVELINES 4,910.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037692308,0.0037692308,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,GRAVELINES 3,910.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037692308,0.0037692308,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,GRAVELINES 1,910.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037692308,0.0037692308,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,GRAVELINES 2,910.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037692308,0.0037692308,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,MONTEZIC,910.0,1.0,FR,,,HPHS,WAT,0.86,0.0,0.0,0.3296703297,0.3296703297,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,36400.0,0.0,910.0,0.86,,,,,,,,
,BLAYAIS 3,910.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037692308,0.0037692308,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,BLAYAIS 2,910.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037692308,0.0037692308,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,BUGEY 3,910.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037692308,0.0037692308,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,BLAYAIS 4,910.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037692308,0.0037692308,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,BLAYAIS 1,910.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037692308,0.0037692308,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,GRAVELINES 6,910.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037692308,0.0037692308,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,BUGEY 2,910.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037692308,0.0037692308,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
