Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,ETEM_______,2056,1.0,CZ,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EDUK_______,1880,1.0,CZ,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPR2_______,1059,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPC1_______,916,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPC2_______,847,1.0,CZ,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ECHV_______,767,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EDET_______,748,1.0,CZ,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ETU2_______,728,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EDST_______,638,1.0,CZ,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELED_______,597,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EECK_______,480,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EDAL_______,472,1.0,CZ,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPVR_______,400,1.0,CZ,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPR1_______,393,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EORK_______,360,1.0,CZ,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EOPA_______,348,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EME1_______,275,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EVRE_______,239,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EME2_______,196,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELED2______,194,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EKOM_______,192,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ETBE_______,174,1.0,CZ,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ETI1_______,141,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESLA_______,132,1.0,CZ,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELI1_______,120,1.0,CZ,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPLE_______,111,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ETI2_______,105,1.0,CZ,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_Solar,2083,,,,,,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_WIN,339,,,,,,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
