name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,p_init,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,overnight_cost,discount_rate,fom_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
GB0 0 offwind-ac-2030,GB0 0,,,5417.732576432944,0.0,True,0.0,51081.720096571364,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.025106514689593427,0.0,True,2030,30.0,210399.8223435218,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,26586.935452519294,0.2337473524758618
GB0 0 offwind-dc-2030,GB0 0,,,4918.22511700362,0.0,True,0.0,42512.46872271737,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-dc,0.02570890497504901,0.0,True,2030,30.0,236597.80635162024,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,23499.285292403973,0.10325938570303528
GB0 0 onwind-2030,GB0 0,,,12811.993562070436,0.0,True,0.0,395635.3165259333,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.024769675622551522,0.0,True,2030,30.0,115719.82225714701,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,147452.7973361783,58937.68444715043
GB0 0 ror,GB0 0,,,3636.175,0.0,False,0.0,inf,,0.0,0.9999999999999999,,,-inf,inf,0.0,1.0,ror,0.00963357579423676,0.0,True,0,inf,308170.3719034552,,,0.0,0.8999999999999999,False,0.0,0.0,0.0,0,0,1,0,,,,,3636.175,3636.175
GB0 0 solar-2030,GB0 0,,,13017.238843132673,0.0,True,0.0,945973.9885164497,,0.0,0.9999999999999999,,,-inf,inf,0.0,1.0,solar,0.019708529351183356,0.0,True,2030,40.0,52359.079122601375,,,0.0,0.9999999999999999,False,0.0,0.0,0.0,0,0,1,0,,,,,100221.63528231958,0.04939428530409854
GB2 0 offwind-ac-2030,GB2 0,,,18.188910218498478,0.0,True,0.0,2468.322514698293,,0.0,1.0000000000000002,,,-inf,inf,0.0,1.0,offwind-ac,0.0243421636584102,0.0,True,2030,30.0,214500.91655323526,,,0.0,1.0000000000000002,False,0.0,0.0,0.0,0,0,1,0,,,,,1415.949967020231,0.03558057088778772
GB2 0 offwind-dc-2030,GB2 0,,,28.408671173710236,0.0,True,0.0,3643.837308260209,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-dc,0.02565822526900378,0.0,True,2030,30.0,247315.33175578708,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,2215.8680446346234,0.02928816166136682
GB2 0 onwind-2030,GB2 0,,,1261.7054673971368,0.0,True,0.0,24548.889801508274,,0.0,0.9999999999999999,,,-inf,inf,0.0,1.0,onwind,0.024677341691828652,0.0,True,2030,30.0,115719.82225714701,,,0.0,0.9999999999999999,False,0.0,0.0,0.0,0,0,1,0,,,,,12041.714757544123,0.03746087486864166
GB2 0 solar-2030,GB2 0,,,533.6424938359953,0.0,True,0.0,62917.01845000422,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.02010474015058815,0.0,True,2030,40.0,52359.079122601375,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,6802.369394915649,0.060145392458407006
GB0 0 oil,GB0 0 oil,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,oil,52.92206726176982,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,475503.198130374
