name,bus,bus0,bus1,bus2,bus3,bus4,efficiency,efficiency2,efficiency3,efficiency4,carrier,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt,urban central heat_fraction,services urban decentral heat_fraction,services rural heat_fraction,residential rural heat_fraction,residential urban decentral heat_fraction
GB0 0 offwind-ac-2030,GB0 0,,,,,,1.0,,,,offwind-ac,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.2337473524758618,0.0,0.0,0.0,0.0,0.0
GB0 0 offwind-dc-2030,GB0 0,,,,,,1.0,,,,offwind-dc,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1032593857030352,0.0,0.0,0.0,0.0,0.0
GB0 0 onwind-2030,GB0 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,58937.68444715043,0.0,0.0,0.0,0.0,0.0
GB0 0 ror,GB0 0,,,,,,0.8999999999999999,,,,ror,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,3636.175,0.0,0.0,0.0,0.0,0.0
GB0 0 solar-2030,GB0 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0493942853040985,0.0,0.0,0.0,0.0,0.0
GB2 0 offwind-ac-2030,GB2 0,,,,,,1.0000000000000002,,,,offwind-ac,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0355805708877877,0.0,0.0,0.0,0.0,0.0
GB2 0 offwind-dc-2030,GB2 0,,,,,,1.0,,,,offwind-dc,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0292881616613668,0.0,0.0,0.0,0.0,0.0
GB2 0 onwind-2030,GB2 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0374608748686416,0.0,0.0,0.0,0.0,0.0
GB2 0 solar-2030,GB2 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.060145392458407,0.0,0.0,0.0,0.0,0.0
GB0 0 oil,GB0 0 oil,,,,,,1.0,,,,oil,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,475503.198130374,0.0,0.0,0.0,0.0,0.0
