name,bus0,bus1,bus2,bus3,bus4,type,carrier,efficiency,efficiency2,efficiency3,efficiency4,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_set,p_init,p_min_pu,p_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,delay,delay2,delay3,delay4,cyclic_delay,cyclic_delay2,cyclic_delay3,cyclic_delay4,p_nom_opt,geometry,tags,under_construction,underground,underwater_fraction,length_original,reversed
GB0 0 co2 sequestered,GB0 0 co2 stored,GB0 0 co2 sequestered,,,,,co2 sequestered,1.0,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010849103769586957,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.23770443264802096,,,,,,0.0,False
GB2 0 co2 sequestered,GB2 0 co2 stored,GB2 0 co2 sequestered,,,,,co2 sequestered,1.0,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.009934660546025742,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.22000481151866097,,,,,,0.0,False
GB0 0 OCGT-2030,GB0 0 gas,GB0 0,co2 atmosphere,,,,OCGT,0.41,0.198,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,19564.65493111743,,,0.0,1.9618859597933638,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,14643.576187661598,,,,,,0.0,False
GB2 0 OCGT-2030,GB2 0 gas,GB2 0,co2 atmosphere,,,,OCGT,0.41,0.198,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,19564.65493111743,,,0.0,1.9629691604090407,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.4557450575202313,,,,,,0.0,False
GB0 0 CCGT-2030,GB0 0 gas,GB0 0,co2 atmosphere,,,,CCGT,0.58,0.198,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,60777.05205432785,,,0.0,2.5882195570951105,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.913758299765637,,,,,,0.0,False
GB2 0 CCGT-2030,GB2 0 gas,GB2 0,co2 atmosphere,,,,CCGT,0.58,0.198,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,60777.05205432785,,,0.0,2.5875090370547835,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.19141516935522998,,,,,,0.0,False
GB0 0 nuclear-2030,EU uranium,GB0 0,co2 atmosphere,,,,nuclear,0.326,0.0,1.0,1.0,True,2030,40.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,245733.6541868906,,,0.0,1.1652037991700248,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.04004312531898242,,,,,,0.0,False
GB2 0 nuclear-2030,EU uranium,GB2 0,co2 atmosphere,,,,nuclear,0.326,0.0,1.0,1.0,True,2030,40.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,245733.6541868906,,,0.0,1.1666468205158382,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.03736071617373199,,,,,,0.0,False
GB0 0 H2 Electrolysis-2030,GB0 0,GB0 0 H2,,,,,H2 Electrolysis,0.6217,1.0,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,69195.78447136609,,,0.0,0.010356190629837688,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.3367868678999097,,,,,,0.0,False
GB2 0 H2 Electrolysis-2030,GB2 0,GB2 0 H2,,,,,H2 Electrolysis,0.6217,1.0,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,69195.78447136609,,,0.0,0.009103801894268414,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,5730.056028655099,,,,,,0.0,False
