"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Gas","11WD2IRSC000179N","Irsching","1822","1422","intra_zonal","380","26.10.2009",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Gas","11WD2GEBE000177K","Franken I","823","823","intra_zonal","110","26.10.2009",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","11WD2WILK000286V","Kraftwerk Wilhelmshaven","726","726","intra_zonal","380","30.10.2015",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","11WD2MEHR2CSWH-O","KW Mehrum (KWM)","690","690","intra_zonal","220","26.10.2010",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Hydro Water Reservoir","11WD2SILT000157E","KW Silz","500","500","intra_zonal","220","23.09.2010",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Wind Offshore","11W0-0000-0169-4","Windpark Hohe See","N/A","497","intra_zonal","380","01.11.2019",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Hydro Pumped Storage","11WD2W2--0002757","Waldeck II","480","480","intra_zonal","380","26.10.2009",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","11WD2ZOLL0002880","Kraftwerk Zolling","472","472","intra_zonal","380","21.12.2010",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Gas","11WD2GKBB000334V","GKB Mittelsbueren","450","450","intra_zonal","110","07.12.2016",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Wind Offshore","11W0-0000-0130-6","Borkum Riffgrund II","N/A","450","intra_zonal","155","05.08.2018",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Gas","11WD2SUE1000099L","Sued GuD1","298","444","intra_zonal","110","31.12.2014",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Wind Offshore","11WD2OWVM000355S","Offshore-Windpark Veja Mate","402","402","Nordsee","155","01.01.2017",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Wind Offshore","11WD2OBA1000349Z","Bard Offshore 1","400","400","intra_zonal","155","10.04.2017",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Gas","11WD2SUE2000103B","Sued GuD2","400","400","intra_zonal","110","31.12.2014",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Wind Offshore","11WD2OGTI000264J","Global Tech I","400","400","Nordsee AWZ","380","31.12.2014",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Wind Offshore","11W0-0000-0095-9","Merkur Offshore GmbH","N/A","396","intra_zonal","110","26.05.2020",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","11WD2NO2K000308Z","Nord 2","333","373","intra_zonal","110","31.12.2014",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Wind Offshore","11W0-0000-0029-P","Windpark Nordsee One","332","332","intra_zonal","155","13.06.2017",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Wind Offshore","11WD2OGW1000346F","Gode Wind I","330","332","intra_zonal","155","20.07.2016",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Gas","11WD2HUKW000298J","Huntorf","321","321","intra_zonal","220","26.10.2009",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Wind Offshore","11WD2OBR1000278R","Borkum Riffgrund I","312","312","intra_zonal","155","24.05.2015",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Wind Offshore","11WD2OAMK000342L","Amrumbank West (EC&R)","301","301","intra_zonal","400","29.11.2015",""
"CTA|DE(TenneT GER) / 01.01.2018 00:00 - 01.01.2019 00:00","Hydro Pumped Storage","11WD2KUET000160J","KW Kühtai","289","289","intra_zonal","220","23.09.2010",""
