"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Nuclear","44W-T-YV-0000042","Olkiluoto 3","1600","1600","Eurajoki","400","20.05.2013",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Nuclear","44W-T-YV-0000034","Olkiluoto 2","890","890","Eurajoki","400","20.05.2013",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Nuclear","44W-T-YV-0000026","Olkiluoto 1","880","890","Eurajoki","400","20.05.2013",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","44W-T-LV-000003N","Meri-Pori","565","565","Pori","400","06.05.2013",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Nuclear","44W-T-YV-000000A","Loviisa 1","496","496","Loviisa","400","13.05.2013",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Nuclear","44W-T-YV-0000018","Loviisa 2","496","496","Loviisa","400","13.05.2013",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Gas","44W-T-YT-000013J","Vuosaari","480","480","Helsinki","110","21.05.2013",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","44W-T-YT-000006G","Naantali","471","471","Naantali","110","06.05.2013",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","44W-T-LV-000002P","Kristiina","450","450","Kristiinankaupunki","400","01.01.2013",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","44W-T-YT-000012L","Vaskiluoto","383","383","Vaasa","110","01.01.2013",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Wind Onshore","44W-00000000027D","Pjelax Windfarm","N/A","380","Närpiö","110","01.11.2023",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Gas","44W-T-YT-000010P","Suomenoja","354","354","Espoo","110","05.09.2013",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Oil","44W-T-KT-000001I","Forssa","326","326","Forssa","110","01.10.2012",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Biomass","44W-T-YT-000017B","Äänekoski","260","260","Äänekoski","110","23.08.2017",""
"CTA|FI / 01.01.2018 00:00 - 01.01.2019 00:00","Biomass","44W-00000000014M","Metsä Fibre Kemi","N/A","250","Kemi","110","16.02.2021",""
