snapshot,BE1 0 PHS,BE1 0 hydro,DE1 0 PHS,DE1 0 hydro,FR1 0 PHS,FR1 0 hydro,GB0 0 PHS,GB0 0 hydro
2013-01-01 00:00:00,5347.150918057749,95914.3203564483,42148.91336903325,38665.06920021112,84110.45800721207,4953618.296845786,5551.3799003071745,92228.16926348883
2013-01-01 01:00:00,5365.880700264484,95930.92342570728,42148.920551489864,38732.35406093557,84110.50360098554,4957053.422780805,5512.285261908742,92312.74089210786
2013-01-01 02:00:00,5385.42891229325,95947.62112423344,42148.92810652691,38799.31691323058,84110.55127956672,4960503.007422886,5476.111446914932,92397.34439872015
2013-01-01 03:00:00,5404.987554980404,95964.42608240132,42148.93600278734,38866.00996788937,84110.60157544608,4963978.184273964,5476.018812249202,92482.02201475414
2013-01-01 04:00:00,5405.0421952036495,95981.5610233403,42148.94427957662,38931.13245217094,84110.61700756758,4967499.027689818,5475.926990141216,92566.81477503284
2013-01-01 05:00:00,5405.092978284994,95999.2159988327,42148.952954714354,38993.9070292468,84110.63332298565,4971073.567523216,5475.8354477861285,92651.70455119768
2013-01-01 06:00:00,5405.14258263612,96017.466584886,42148.960355188385,38904.14184476481,84110.65057596791,4974708.523298811,5475.7440868480435,92736.7232723843
2013-01-01 07:00:00,5405.233475369408,96035.84045895189,42148.96613385289,38815.128245943066,84110.66908223246,4978407.63390796,5475.649761879434,92821.91658775973
2013-01-01 08:00:00,5405.283890258931,96054.30616203728,42148.975451491715,38878.07256485487,84110.68774837552,4982181.842546464,5475.633687543472,92907.28197618734
2013-01-01 09:00:00,5412.001909496572,96072.84787059203,42148.98465752188,38942.973495652266,84110.76019093014,4986029.918893457,5475.634020591034,92992.80015658267
2013-01-01 10:00:00,5434.609135357423,96091.9995655439,42148.99415905139,39008.4169112007,84110.83795493559,4989940.379674611,5856.676921816785,93078.43971689847
2013-01-01 11:00:00,5473.459561550473,96111.14043110493,42149.003885432394,39075.49166685107,84110.92549996648,4993900.655328887,6237.721199016212,93164.16376294993
2013-01-01 12:00:00,5520.876138017195,96130.21006024041,42149.01447760967,39144.07846925997,84111.02315742333,4997920.120208575,6618.765558436165,93249.97288488822
