name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,p_init,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,overnight_cost,discount_rate,fom_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
DE1 0 offwind-ac-2030,DE1 0,,,2334.976983890128,0.0,True,0.0,5072.330383298543,,0.0,0.9999999999999999,,,-inf,inf,0.0,1.0,offwind-ac,0.02479775258545231,0.0,True,2030,30.0,205390.34333070595,,,0.0,0.9999999999999999,False,0.0,0.0,0.0,0,0,1,0,,,,,1990.5823751572618,5072.310723547594
DE1 0 offwind-dc-2030,DE1 0,,,5452.023016109872,0.0,True,0.0,21136.976422015854,,0.0,0.9999999999999999,,,-inf,inf,0.0,1.0,offwind-dc,0.02448171179544725,0.0,True,2030,30.0,226544.5633995476,,,0.0,0.9999999999999999,False,0.0,0.0,0.0,0,0,1,0,,,,,12380.066819955437,21136.975376778042
DE1 0 onwind-2030,DE1 0,,,54413.66976747129,0.0,True,0.0,438314.6914454927,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.02468691202809665,0.0,True,2030,30.0,115719.82225714701,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,96216.70686878673,0.098086234581176
DE1 0 ror,DE1 0,,,2702.87585,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,ror,0.010026256308398004,0.0,True,0,inf,308170.3719034552,,,0.0,0.9,False,0.0,0.0,0.0,0,0,1,0,,,,,2702.87585,2702.87585
DE1 0 solar-2030,DE1 0,,,53669.00000000001,0.0,True,0.0,1245522.6347565427,,0.0,0.9999999999999999,,,-inf,inf,0.0,1.0,solar,0.020333249100328143,0.0,True,2030,40.0,52359.079122601375,,,0.0,0.9999999999999999,False,0.0,0.0,0.0,0,0,1,0,,,,,141388.60414288045,0.1129039850332914
DE1 0 oil,DE1 0 oil,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,oil,52.92114002030614,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,652076.0911668163
DE1 0 gas,DE1 0 gas,PQ,,266384.4541222907,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,gas,35.11046214607169,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,266384.4541222907
DE1 0 residential rural solar thermal collector-2030,DE1 0 residential rural heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,residential rural solar thermal,0.009856694549401898,0.0,True,2030,20.0,27211.936169229415,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.11987037694761657
DE1 0 services rural solar thermal collector-2030,DE1 0 services rural heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,services rural solar thermal,0.010855168480304295,0.0,True,2030,20.0,27211.936169229415,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.11849113033242678
DE1 0 residential urban decentral solar thermal collector-2030,DE1 0 residential urban decentral heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,residential urban decentral solar thermal,0.010417394790885492,0.0,True,2030,20.0,27211.936169229415,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.13962261052836117
DE1 0 services urban decentral solar thermal collector-2030,DE1 0 services urban decentral heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,services urban decentral solar thermal,0.010330522930699367,0.0,True,2030,20.0,27211.936169229415,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.1304799921753259
DE1 0 urban central solar thermal collector-2030,DE1 0 urban central heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,urban central solar thermal,0.00987642876875445,0.0,True,2030,20.0,17664.37569062365,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.18823145211273726
DE1 0 solar rooftop-2030,DE1 0 low voltage,PQ,,0.0,0.0,True,0.0,80189.46070258658,,0.0,1.0,,,-inf,inf,0.0,1.0,solar rooftop,0.019674132766895218,0.0,True,2030,40.0,45519.755319603464,,,0.0,0.9999999999999999,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,35271.80028286455
DE1 0  solar-2000,DE1 0,PQ,,114.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01915829792147641,0.0,True,2000,40.0,52359.079122601375,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,114.0
DE1 0  onwind-2005,DE1 0,PQ,,12153.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.02416356017418797,0.0,True,2005,30.0,115719.82225714701,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,12153.0
DE1 0  solar-2005,DE1 0,PQ,,1942.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01924448709926501,0.0,True,2005,40.0,52359.079122601375,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,1942.0
DE1 0  offwind-ac-2010,DE1 0,PQ,,80.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind,0.0249359751481135,0.0,True,2010,30.0,207408.24037726465,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,80.0
DE1 0  onwind-2010,DE1 0,PQ,,8575.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.025164350918291743,0.0,True,2010,30.0,115719.822257147,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,8575.0
DE1 0  solar-2010,DE1 0,PQ,,15948.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.02027180071870271,0.0,True,2010,40.0,52359.079122601375,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,15948.0
DE1 0  offwind-ac-2015,DE1 0,PQ,,3203.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind,0.02413354888645001,0.0,True,2015,30.0,207408.24037726465,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,3203.0
DE1 0  onwind-2015,DE1 0,PQ,,14474.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.02420527051842159,0.0,True,2015,30.0,115719.822257147,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,14474.0
DE1 0  solar-2015,DE1 0,PQ,,21218.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.019851735388399835,0.0,True,2015,40.0,52359.079122601375,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,21218.0
