name,bus,bus0,bus1,bus2,bus3,bus4,efficiency,efficiency2,efficiency3,efficiency4,carrier,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt,urban central heat_fraction,services urban decentral heat_fraction,services rural heat_fraction,residential rural heat_fraction,residential urban decentral heat_fraction
DE1 0 offwind-ac-2030,DE1 0,,,,,,1.0,,,,offwind-ac,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,5072.310723547594,0.0,0.0,0.0,0.0,0.0
DE1 0 offwind-dc-2030,DE1 0,,,,,,1.0,,,,offwind-dc,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,21136.97537677804,0.0,0.0,0.0,0.0,0.0
DE1 0 onwind-2030,DE1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.098086234581176,0.0,0.0,0.0,0.0,0.0
DE1 0 ror,DE1 0,,,,,,0.9,,,,ror,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,2702.87585,0.0,0.0,0.0,0.0,0.0
DE1 0 solar-2030,DE1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1129039850332914,0.0,0.0,0.0,0.0,0.0
DE1 0 oil,DE1 0 oil,,,,,,1.0,,,,oil,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,652076.0911668163,0.0,0.0,0.0,0.0,0.0
DE1 0 gas,DE1 0 gas,,,,,,1.0,,,,gas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,266384.4541222907,0.0,0.0,0.0,0.0,0.0
DE1 0 residential rural solar thermal collector-2030,DE1 0 residential rural heat,,,,,,1.0,,,,residential rural solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1198703769476165,0.0,0.0,0.0,0.0,0.0
DE1 0 services rural solar thermal collector-2030,DE1 0 services rural heat,,,,,,1.0,,,,services rural solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1184911303324267,0.0,0.0,0.0,0.0,0.0
DE1 0 residential urban decentral solar thermal collector-2030,DE1 0 residential urban decentral heat,,,,,,1.0,,,,residential urban decentral solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1396226105283611,0.0,0.0,0.0,0.0,0.0
DE1 0 services urban decentral solar thermal collector-2030,DE1 0 services urban decentral heat,,,,,,1.0,,,,services urban decentral solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1304799921753259,0.0,0.0,0.0,0.0,0.0
DE1 0 urban central solar thermal collector-2030,DE1 0 urban central heat,,,,,,1.0,,,,urban central solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1882314521127372,0.0,0.0,0.0,0.0,0.0
DE1 0 solar rooftop-2030,DE1 0 low voltage,,,,,,1.0,,,,solar rooftop,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,35271.80028286455,0.0,0.0,0.0,0.0,0.0
DE1 0  solar-2000,DE1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,114.0,0.0,0.0,0.0,0.0,0.0
DE1 0  onwind-2005,DE1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,12153.0,0.0,0.0,0.0,0.0,0.0
DE1 0  solar-2005,DE1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1942.0,0.0,0.0,0.0,0.0,0.0
DE1 0  offwind-ac-2010,DE1 0,,,,,,1.0,,,,offwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,80.0,0.0,0.0,0.0,0.0,0.0
DE1 0  onwind-2010,DE1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,8575.0,0.0,0.0,0.0,0.0,0.0
DE1 0  solar-2010,DE1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,15948.0,0.0,0.0,0.0,0.0,0.0
DE1 0  offwind-ac-2015,DE1 0,,,,,,1.0,,,,offwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,3203.0,0.0,0.0,0.0,0.0,0.0
DE1 0  onwind-2015,DE1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,14474.0,0.0,0.0,0.0,0.0,0.0
DE1 0  solar-2015,DE1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,21218.0,0.0,0.0,0.0,0.0,0.0
DE1 0  offwind-ac-2020,DE1 0,,,,,,1.0,,,,offwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,4504.0,0.0,0.0,0.0,0.0,0.0
DE1 0  onwind-2020,DE1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,13117.0,0.0,0.0,0.0,0.0,0.0
DE1 0  solar-2020,DE1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,14447.0,0.0,0.0,0.0,0.0,0.0
DE1 0  offwind-ac-2025,DE1 0,,,,,,1.0,,,,offwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,342.0,0.0,0.0,0.0,0.0,0.0
DE1 0  onwind-2025,DE1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,3751.0,0.0,0.0,0.0,0.0,0.0
DE1 0  solar-2025,DE1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,12993.0,0.0,0.0,0.0,0.0,0.0
DE1 0 load,DE1 0,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
DE1 0 oil load,DE1 0 oil,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
DE1 0 co2 stored load,DE1 0 co2 stored,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
DE1 0 co2 sequestered load,DE1 0 co2 sequestered,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
