name,bus0,bus1,bus2,bus3,bus4,type,carrier,efficiency,efficiency2,efficiency3,efficiency4,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_set,p_init,p_min_pu,p_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,delay,delay2,delay3,delay4,cyclic_delay,cyclic_delay2,cyclic_delay3,cyclic_delay4,p_nom_opt,geometry,tags,under_construction,underground,underwater_fraction,length_original,reversed
DE1 0 co2 sequestered,DE1 0 co2 stored,DE1 0 co2 sequestered,,,,,co2 sequestered,1.0,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.009048296811567545,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.24255298540178882,,,,,,0.0,False
DE1 0 OCGT-2030,DE1 0 gas,DE1 0,co2 atmosphere,,,,OCGT,0.41,0.198,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,19564.65493111743,,,0.0,1.9631378336751626,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,38037.94974453639,,,,,,0.0,False
DE1 0 CCGT-2030,DE1 0 gas,DE1 0,co2 atmosphere,,,,CCGT,0.58,0.198,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,60777.05205432785,,,0.0,2.5880353645656173,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,3040.634271242809,,,,,,0.0,False
DE1 0 nuclear-2030,EU uranium,DE1 0,co2 atmosphere,,,,nuclear,0.326,0.0,1.0,1.0,True,2030,40.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,245733.6541868906,,,0.0,1.1652076322491172,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.044911793090517724,,,,,,0.0,False
DE1 0 H2 Electrolysis-2030,DE1 0,DE1 0 H2,,,,,H2 Electrolysis,0.6217,1.0,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,69195.78447136609,,,0.0,0.010296899423818095,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.1385931828605663,,,,,,0.0,False
DE1 0 H2 Fuel Cell-2030,DE1 0 H2,DE1 0,DE1 0 urban central heat,,,,H2 Fuel Cell,0.5,0.44999999999999996,1.0,1.0,True,2030,10.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,111967.91965463593,,,0.0,0.009574206579450992,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.08363588979514454,,,,,,0.0,False
DE1 0 H2 turbine-2030,DE1 0 H2,DE1 0,,,,,H2 turbine,0.397,1.0,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,31505.081502453184,,,0.0,6.771444314124969,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.3096128072772637,,,,,,0.0,False
DE1 0 battery charger-2030,DE1 0,DE1 0 battery,,,,,battery charger,0.9797958971132712,1.0,1.0,1.0,True,2030,10.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,24678.157875535107,,,0.0,0.0102558436977912,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,1743.2805734763267,,,,,,0.0,False
DE1 0 battery discharger-2030,DE1 0 battery,DE1 0,,,,,battery discharger,0.9797958971132712,1.0,1.0,1.0,True,2030,10.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010020752740695167,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,1779.2282848019254,,,,,,0.0,False
DE1 0 Sabatier-2030,DE1 0 H2,DE1 0 gas,DE1 0 co2 stored,,,,Sabatier,0.8,-0.1584,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.3,1.0,67651.68975151317,,,0.0,0.009771486964873436,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.07299986714576487,,,,,,0.0,False
