23:00 - 00:00,31,,1161,,n/e,n/e,348,,65,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,70,,9,,n/e,n/e,2103,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,8,
00:00 - 01:00,32,,1105,,n/e,n/e,348,,65,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,69,,9,,n/e,n/e,2101,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,15,
01:00 - 02:00,31,,1112,,n/e,n/e,350,,65,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,70,,9,,n/e,n/e,2104,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,25,
02:00 - 03:00,32,,1110,,n/e,n/e,348,,65,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,72,,9,,n/e,n/e,2104,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,37,
03:00 - 04:00,31,,1115,,n/e,n/e,348,,65,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,72,,9,,n/e,n/e,2105,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,62,
04:00 - 05:00,31,,1121,,n/e,n/e,350,,65,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,78,,9,,n/e,n/e,2104,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,85,
05:00 - 06:00,31,,1147,,n/e,n/e,351,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,84,,9,,n/e,n/e,2103,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,78,
06:00 - 07:00,32,,1349,,n/e,n/e,351,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,97,,9,,n/e,n/e,2102,,n/e,n/e,n/e,n/e,74,,4,,n/e,n/e,97,
07:00 - 08:00,31,,1390,,n/e,n/e,349,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,123,,12,,n/e,n/e,2101,,n/e,n/e,n/e,n/e,278,,4,,n/e,n/e,105,
08:00 - 09:00,31,,1509,,n/e,n/e,349,,63,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,133,,13,,n/e,n/e,2102,,n/e,n/e,n/e,n/e,473,,4,,n/e,n/e,73,
09:00 - 10:00,32,,1347,,n/e,n/e,354,,66,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,103,,13,,n/e,n/e,2103,,n/e,n/e,n/e,n/e,572,,4,,n/e,n/e,71,
10:00 - 11:00,32,,1259,,n/e,n/e,355,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,96,,8,,n/e,n/e,2102,,n/e,n/e,n/e,n/e,621,,4,,n/e,n/e,63,
11:00 - 12:00,32,,1276,,n/e,n/e,358,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,87,,8,,n/e,n/e,2102,,n/e,n/e,n/e,n/e,615,,4,,n/e,n/e,61,
12:00 - 13:00,30,,1266,,n/e,n/e,358,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,81,,8,,n/e,n/e,2101,,n/e,n/e,n/e,n/e,471,,4,,n/e,n/e,67,
13:00 - 14:00,29,,1324,,n/e,n/e,356,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,84,,20,,n/e,n/e,2102,,n/e,n/e,n/e,n/e,227,,4,,n/e,n/e,65,
14:00 - 15:00,31,,1622,,n/e,n/e,357,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,19,,100,,161,,n/e,n/e,2104,,n/e,n/e,n/e,n/e,34,,4,,n/e,n/e,65,
15:00 - 16:00,31,,1709,,n/e,n/e,361,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,358,,133,,332,,n/e,n/e,2101,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,83,
16:00 - 17:00,30,,1691,,n/e,n/e,357,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,521,,146,,392,,n/e,n/e,2101,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,111,
17:00 - 18:00,31,,1690,,n/e,n/e,356,,65,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,349,,149,,474,,n/e,n/e,2102,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,116,
18:00 - 19:00,30,,1709,,n/e,n/e,357,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,313,,135,,278,,n/e,n/e,2102,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,121,
19:00 - 20:00,31,,1670,,n/e,n/e,357,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,192,,114,,161,,n/e,n/e,2102,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,145,
20:00 - 21:00,31,,1594,,n/e,n/e,353,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,89,,142,,n/e,n/e,2103,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,179,
