index,BG -> RO,BG -> EL,BG -> BG
2023-01-01 03:00:00+0000,0.0,388.0,0.0
2023-01-01 04:00:00+0000,0.0,402.0,0.0
2023-01-01 05:00:00+0000,0.0,404.0,0.0
2023-01-01 06:00:00+0000,0.0,356.0,0.0
2023-01-01 07:00:00+0000,0.0,377.0,0.0
2023-01-01 08:00:00+0000,0.0,423.0,0.0
2023-01-01 09:00:00+0000,0.0,467.0,0.0
2023-01-01 10:00:00+0000,0.0,465.0,0.0
2023-01-01 11:00:00+0000,0.0,454.0,0.0
2023-01-01 12:00:00+0000,0.0,440.0,0.0
2023-01-01 13:00:00+0000,0.0,450.0,0.0
2023-01-01 14:00:00+0000,0.0,412.0,0.0
2023-01-01 15:00:00+0000,0.0,407.0,0.0
2023-01-01 16:00:00+0000,0.0,418.0,0.0
2023-01-01 17:00:00+0000,0.0,406.0,0.0
2023-01-01 18:00:00+0000,0.0,421.0,0.0
2023-01-01 19:00:00+0000,0.0,430.0,0.0
2023-01-01 20:00:00+0000,0.0,424.0,0.0
2023-01-01 21:00:00+0000,0.0,444.0,0.0
2023-01-01 22:00:00+0000,0.0,458.0,0.0
2023-01-01 23:00:00+0000,0.0,494.0,0.0
2023-01-02 00:00:00+0000,0.0,501.0,0.0
2023-01-02 01:00:00+0000,0.0,487.0,0.0
2023-01-02 02:00:00+0000,0.0,480.0,0.0
2023-01-02 03:00:00+0000,0.0,461.0,0.0
2023-01-02 04:00:00+0000,0.0,477.0,0.0
2023-01-02 05:00:00+0000,0.0,477.0,0.0
2023-01-02 06:00:00+0000,0.0,444.0,0.0
2023-01-02 07:00:00+0000,0.0,451.0,0.0
2023-01-02 08:00:00+0000,0.0,467.0,0.0
2023-01-02 09:00:00+0000,0.0,472.0,0.0
2023-01-02 10:00:00+0000,0.0,449.0,0.0
2023-01-02 11:00:00+0000,0.0,459.0,0.0
2023-01-02 12:00:00+0000,0.0,458.0,0.0
2023-01-02 13:00:00+0000,0.0,417.0,0.0
2023-01-02 14:00:00+0000,0.0,408.0,0.0
2023-01-02 15:00:00+0000,0.0,368.0,0.0
2023-01-02 16:00:00+0000,0.0,414.0,0.0
2023-01-02 17:00:00+0000,0.0,422.0,0.0
2023-01-02 18:00:00+0000,0.0,433.0,0.0
2023-01-02 19:00:00+0000,0.0,434.0,0.0
2023-01-02 20:00:00+0000,0.0,446.0,0.0
2023-01-02 21:00:00+0000,0.0,442.0,0.0
2023-01-02 22:00:00+0000,0.0,457.0,0.0
2023-01-02 23:00:00+0000,0.0,484.0,0.0
2023-01-03 00:00:00+0000,0.0,488.0,0.0
2023-01-03 01:00:00+0000,0.0,477.0,0.0
2023-01-03 02:00:00+0000,0.0,469.0,0.0
2023-01-03 03:00:00+0000,0.0,450.0,0.0
2023-01-03 04:00:00+0000,0.0,421.0,0.0
2023-01-03 05:00:00+0000,0.0,389.0,0.0
2023-01-03 06:00:00+0000,0.0,367.0,0.0
2023-01-03 07:00:00+0000,0.0,357.0,0.0
2023-01-03 08:00:00+0000,0.0,379.0,0.0
2023-01-03 09:00:00+0000,2.0,375.0,2.0
2023-01-03 10:00:00+0000,5.0,398.0,5.0
2023-01-03 11:00:00+0000,51.0,383.0,51.0
2023-01-03 12:00:00+0000,28.0,391.0,28.0
2023-01-03 13:00:00+0000,8.0,370.0,8.0
2023-01-03 14:00:00+0000,0.0,356.0,0.0
2023-01-03 15:00:00+0000,0.0,347.0,0.0
2023-01-03 16:00:00+0000,0.0,379.0,0.0
2023-01-03 17:00:00+0000,0.0,384.0,0.0
2023-01-03 18:00:00+0000,0.0,383.0,0.0
2023-01-03 19:00:00+0000,0.0,390.0,0.0
2023-01-03 20:00:00+0000,0.0,413.0,0.0
2023-01-03 21:00:00+0000,0.0,448.0,0.0
2023-01-03 22:00:00+0000,0.0,471.0,0.0
2023-01-03 23:00:00+0000,0.0,475.0,0.0
2023-01-04 00:00:00+0000,0.0,484.0,0.0
2023-01-04 01:00:00+0000,0.0,475.0,0.0
2023-01-04 02:00:00+0000,0.0,451.0,0.0
2023-01-04 03:00:00+0000,0.0,432.0,0.0
2023-01-04 04:00:00+0000,0.0,398.0,0.0
2023-01-04 05:00:00+0000,0.0,364.0,0.0
2023-01-04 06:00:00+0000,0.0,352.0,0.0
2023-01-04 07:00:00+0000,0.0,370.0,0.0
2023-01-04 08:00:00+0000,0.0,355.0,0.0
2023-01-04 09:00:00+0000,2.0,379.0,2.0
2023-01-04 10:00:00+0000,3.0,386.0,3.0
2023-01-04 11:00:00+0000,10.0,312.0,10.0
2023-01-04 12:00:00+0000,45.0,221.0,45.0
2023-01-04 13:00:00+0000,9.0,222.0,9.0
2023-01-04 14:00:00+0000,65.0,134.0,65.0
2023-01-04 15:00:00+0000,209.0,123.0,209.0
2023-01-04 16:00:00+0000,7.0,248.0,7.0
2023-01-04 17:00:00+0000,97.0,207.0,97.0
2023-01-04 18:00:00+0000,4.0,290.0,4.0
2023-01-04 19:00:00+0000,0.0,340.0,0.0
2023-01-04 20:00:00+0000,0.0,342.0,0.0
2023-01-04 21:00:00+0000,0.0,428.0,0.0
2023-01-04 22:00:00+0000,0.0,414.0,0.0
2023-01-04 23:00:00+0000,0.0,457.0,0.0
2023-01-05 00:00:00+0000,0.0,467.0,0.0
2023-01-05 01:00:00+0000,0.0,476.0,0.0
2023-01-05 02:00:00+0000,0.0,467.0,0.0
2023-01-05 03:00:00+0000,0.0,456.0,0.0
2023-01-05 04:00:00+0000,0.0,440.0,0.0
2023-01-05 05:00:00+0000,0.0,405.0,0.0
2023-01-05 06:00:00+0000,0.0,378.0,0.0
2023-01-05 07:00:00+0000,0.0,402.0,0.0
2023-01-05 08:00:00+0000,0.0,448.0,0.0
2023-01-05 09:00:00+0000,0.0,460.0,0.0
2023-01-05 10:00:00+0000,0.0,479.0,0.0
2023-01-05 11:00:00+0000,0.0,448.0,0.0
2023-01-05 12:00:00+0000,0.0,426.0,0.0
2023-01-05 13:00:00+0000,0.0,430.0,0.0
2023-01-05 14:00:00+0000,0.0,422.0,0.0
2023-01-05 15:00:00+0000,0.0,431.0,0.0
2023-01-05 16:00:00+0000,0.0,442.0,0.0
2023-01-05 17:00:00+0000,0.0,452.0,0.0
2023-01-05 18:00:00+0000,0.0,467.0,0.0
2023-01-05 19:00:00+0000,0.0,467.0,0.0
2023-01-05 20:00:00+0000,0.0,461.0,0.0
2023-01-05 21:00:00+0000,0.0,497.0,0.0
