index,DE -> NO,DE -> SE,DE -> CZ,DE -> FR,DE -> BE,DE -> AT,DE -> DK,DE -> LU,DE -> CH,DE -> PL,DE -> NL
2022-01-01 00:00:00+0000,1361.0,0.0,155.0,487.0,221.0,1805.0,1133.0,449.0,3233.0,396.0,1325.0
2022-01-01 00:15:00+0000,1361.0,,,,161.0,1823.0,1155.0,453.0,3251.0,,1346.0
2022-01-01 00:30:00+0000,1361.0,,,,201.0,1706.0,1186.0,457.0,3161.0,,1316.0
2022-01-01 00:45:00+0000,1361.0,,,,124.0,1694.0,1121.0,464.0,3131.0,,1269.0
2022-01-01 01:00:00+0000,1361.0,0.0,187.0,880.0,0.0,1760.0,644.0,477.0,3302.0,408.0,1143.0
2022-01-01 01:15:00+0000,1360.0,,,,0.0,1696.0,586.0,477.0,3380.0,,1135.0
2022-01-01 01:30:00+0000,1361.0,,,,0.0,1669.0,573.0,482.0,3422.0,,1044.0
2022-01-01 01:45:00+0000,1368.0,,,,0.0,1735.0,616.0,461.0,3459.0,,1046.0
2022-01-01 02:00:00+0000,1393.0,0.0,95.0,527.0,153.0,1702.0,476.0,407.0,3501.0,450.0,1344.0
2022-01-01 02:15:00+0000,1400.0,,,,133.0,1615.0,586.0,403.0,3504.0,,1399.0
2022-01-01 02:30:00+0000,1399.0,,,,77.0,1596.0,656.0,404.0,3480.0,,1324.0
2022-01-01 02:45:00+0000,1400.0,,,,112.0,1555.0,747.0,407.0,3319.0,,1423.0
2022-01-01 03:00:00+0000,1400.0,0.0,26.0,94.0,0.0,1474.0,621.0,377.0,3084.0,367.0,1532.0
2022-01-01 03:15:00+0000,1400.0,,,,0.0,1450.0,743.0,359.0,3154.0,,1558.0
2022-01-01 03:30:00+0000,1400.0,,,,0.0,1435.0,734.0,374.0,3150.0,,1521.0
2022-01-01 03:45:00+0000,1399.0,,,,0.0,1456.0,688.0,375.0,3154.0,,1523.0
2022-01-01 04:00:00+0000,1400.0,2.0,0.0,0.0,0.0,1407.0,495.0,323.0,3127.0,333.0,1421.0
2022-01-01 04:15:00+0000,1400.0,,,,0.0,1452.0,486.0,314.0,3169.0,,1298.0
2022-01-01 04:30:00+0000,1400.0,,,,0.0,1463.0,458.0,290.0,3203.0,,1199.0
2022-01-01 04:45:00+0000,1399.0,,,,0.0,1530.0,573.0,285.0,3235.0,,1099.0
2022-01-01 05:00:00+0000,1400.0,2.0,0.0,0.0,0.0,1518.0,789.0,284.0,3206.0,325.0,1237.0
2022-01-01 05:15:00+0000,1400.0,,,,0.0,1525.0,923.0,307.0,3234.0,,1296.0
2022-01-01 05:30:00+0000,1399.0,,,,0.0,1573.0,976.0,325.0,3244.0,,1390.0
2022-01-01 05:45:00+0000,1400.0,,,,0.0,1558.0,1077.0,335.0,3216.0,,1480.0
2022-01-01 06:00:00+0000,1399.0,2.0,0.0,0.0,0.0,1448.0,898.0,334.0,3158.0,219.0,1613.0
2022-01-01 06:15:00+0000,1399.0,,,,0.0,1382.0,938.0,321.0,3082.0,,1593.0
2022-01-01 06:30:00+0000,1398.0,,,,0.0,1316.0,1063.0,300.0,2970.0,,1510.0
2022-01-01 06:45:00+0000,1399.0,,,,0.0,1356.0,1132.0,281.0,2836.0,,1475.0
2022-01-01 07:00:00+0000,1400.0,2.0,0.0,0.0,0.0,1294.0,893.0,276.0,2577.0,5.0,1499.0
2022-01-01 07:15:00+0000,1400.0,,,,0.0,1406.0,1035.0,251.0,2655.0,,1369.0
2022-01-01 07:30:00+0000,1399.0,,,,0.0,1487.0,1124.0,232.0,2758.0,,1238.0
2022-01-01 07:45:00+0000,1400.0,,,,0.0,1509.0,1120.0,218.0,2817.0,,1232.0
2022-01-01 08:00:00+0000,1399.0,2.0,0.0,0.0,0.0,1547.0,936.0,200.0,2772.0,19.0,1331.0
2022-01-01 08:15:00+0000,1398.0,,,,0.0,1567.0,962.0,209.0,2777.0,,1359.0
2022-01-01 08:30:00+0000,1399.0,,,,0.0,1545.0,1021.0,211.0,2755.0,,1279.0
2022-01-01 08:45:00+0000,1399.0,,,,0.0,1543.0,957.0,211.0,2738.0,,1222.0
2022-01-01 09:00:00+0000,1400.0,2.0,11.0,0.0,0.0,1501.0,636.0,219.0,2443.0,379.0,1197.0
2022-01-01 09:15:00+0000,1400.0,,,,0.0,1542.0,645.0,209.0,2379.0,,1133.0
2022-01-01 09:30:00+0000,1399.0,,,,0.0,1523.0,644.0,222.0,2372.0,,1085.0
2022-01-01 09:45:00+0000,1400.0,,,,0.0,1518.0,649.0,214.0,2266.0,,976.0
2022-01-01 10:00:00+0000,1400.0,2.0,0.0,0.0,0.0,1293.0,904.0,209.0,1622.0,449.0,843.0
2022-01-01 10:15:00+0000,1400.0,,,,0.0,1279.0,1069.0,208.0,1449.0,,824.0
2022-01-01 10:30:00+0000,1401.0,,,,0.0,1330.0,1040.0,194.0,1313.0,,883.0
2022-01-01 10:45:00+0000,1399.0,,,,0.0,1315.0,939.0,227.0,1391.0,,982.0
2022-01-01 11:00:00+0000,1397.0,2.0,0.0,0.0,0.0,1363.0,518.0,258.0,1616.0,373.0,1078.0
2022-01-01 11:15:00+0000,1396.0,,,,0.0,1280.0,333.0,275.0,1543.0,,1102.0
2022-01-01 11:30:00+0000,1396.0,,,,0.0,1239.0,372.0,282.0,1477.0,,1126.0
2022-01-01 11:45:00+0000,1390.0,,,,0.0,1219.0,377.0,287.0,1505.0,,1121.0
2022-01-01 12:00:00+0000,1366.0,2.0,0.0,0.0,0.0,1160.0,568.0,281.0,1367.0,380.0,1053.0
2022-01-01 12:15:00+0000,1360.0,,,,0.0,1096.0,479.0,258.0,1138.0,,1081.0
2022-01-01 12:30:00+0000,1361.0,,,,0.0,895.0,483.0,240.0,1036.0,,1067.0
2022-01-01 12:45:00+0000,1360.0,,,,0.0,837.0,480.0,231.0,1076.0,,1096.0
2022-01-01 13:00:00+0000,1360.0,2.0,6.0,0.0,0.0,828.0,584.0,242.0,1163.0,456.0,1109.0
2022-01-01 13:15:00+0000,1361.0,,,,0.0,840.0,586.0,248.0,1127.0,,1129.0
2022-01-01 13:30:00+0000,1361.0,,,,0.0,867.0,451.0,244.0,1104.0,,1148.0
2022-01-01 13:45:00+0000,1361.0,,,,0.0,891.0,493.0,244.0,1096.0,,1168.0
2022-01-01 14:00:00+0000,1360.0,2.0,325.0,0.0,0.0,880.0,691.0,216.0,1029.0,670.0,1249.0
2022-01-01 14:15:00+0000,1360.0,,,,0.0,938.0,663.0,218.0,1068.0,,1301.0
