,CCGT,CHP,Imports_Exports,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-01-01 00:00:00,1.4176408923798361e-06,1.721565956792411,14.62853995291001,-4.515252705869919,-93.16536089858234,2.747624381300084,32.179838856868066,35.000060668527674,22.67440280559386,-11.27140817765669,0.0,-0.0,-1.99862912304187e-06,-4.0628500607324e-06
2013-01-01 01:00:00,1.4168401072025913e-06,1.7215659332124684,14.364242937822182,-5.4197501909949475,-90.44207747404664,2.7456187543019634,32.17983886217375,34.598294810996386,21.523685400673862,-11.271408164500915,0.0,-0.0,-2.0082668015235367e-06,-4.069688666335665e-06
2013-01-01 02:00:00,1.4163255929979568e-06,1.7215659244907953,13.726904668202915,-6.8699723266327215,-88.87260745985309,2.757295393006915,32.17983886292234,35.36131471741245,21.2670793036213,-11.271408196909158,0.0,-0.0,-2.0123485518496742e-06,-4.07424091828523e-06
2013-01-01 03:00:00,1.4148771184545763e-06,1.7215659186524055,12.982960458801818,-6.510271808941535,-87.8884201422676,2.7780208958555512,32.179838862100524,35.46578378473011,20.541941200175543,-11.271408264440208,0.0,-0.0,-2.023901100302636e-06,-4.081282893327492e-06
2013-01-01 04:00:00,1.4135147673651612e-06,1.7215659208000278,10.879397082326118,-0.88377024985143,-91.26779701729191,2.8147306313722247,32.179838860377814,35.41013537073014,20.417318679607842,-11.271408356974497,0.0,-0.0,-2.0333619536473253e-06,-4.088340688422505e-06
2013-01-01 05:00:00,1.4427236090591137e-06,1.721566017453106,11.472882683076568,7.356470117041932,-98.57914488019446,2.8578539667234426,32.179838968288365,34.99222580368948,19.26971787937955,-11.271400075284328,0.0,-0.0,-1.961002644118859e-06,-3.929028889261993e-06
2013-01-01 06:00:00,1.4425236309905416e-06,1.7215660199811174,11.353835728219142,8.850231304210928,-98.59127504578606,2.906297065972272,32.179838976837466,34.65920632941865,18.191710042231364,-11.271399964446871,0.0,-0.0,-1.9352699234946314e-06,-3.937444397642607e-06
2013-01-01 07:00:00,1.4405464040902175e-06,1.7215660147082947,10.628897488531807,11.515668329812698,-98.58986439248402,2.9575140105934694,32.17983897379212,34.33281983990867,16.524970281107045,-11.27140007705845,0.0,-0.0,-1.9353226463388052e-06,-3.946555064409833e-06
2013-01-01 08:00:00,1.4349276061183792e-06,1.7215660104759722,11.031390457157835,7.054464326223011,-98.59288277445128,3.0173617660469016,32.179838901945196,34.099494711537126,15.340345922840234,-11.271401145803857,5.4198381146437145,-5.828493521635932e-06,-1.932713102678216e-06,-3.9318057839741824e-06
2013-01-01 09:00:00,1.4033867991349635e-06,1.7215659087608897,9.213504598357963,-8.211335943205517,-88.89072946301967,3.0761934230917496,32.179838713373414,33.53284955538276,13.66024642684915,-11.271410313250449,14.989294359333025,-6.369974991305271e-06,-2.0136491647227488e-06,-4.076922211489429e-06
2013-01-01 10:00:00,1.4009136803550083e-06,1.7215659079251744,9.26383024821879,-10.78303849925339,-83.11142801134123,3.1259847207508042,32.179838705174845,30.88350826276535,10.80628053958701,-11.271410634713186,17.184886570372704,-6.899827245460047e-06,-2.0268706213296407e-06,-4.082479389947238e-06
2013-01-01 11:00:00,1.3982361108007101e-06,1.7215659069629305,10.543353943107498,-12.117451852579045,-81.67707231302813,3.1658294546542503,32.17983869604851,29.456657410678776,10.052508499130173,-11.271410938202674,17.946199323563558,-7.201388346450925e-06,-2.0371841855873833e-06,-4.091677483295412e-06
