,CCGT,CHP,DAC,Imports_Exports,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-01-01 00:00:00,1.5460047956074597e-06,0.19305690631513947,-0.09957819457535902,-32.613636467200635,4.325816957346128,-55.7349106544773,1.3871007358969438,8.195564348086268,89.75701160897508,83.86524030310929,-99.12176228878752,0.0,-0.0,-1.9769366171530577e-05,-2.4786614600733932e-05
2013-01-01 01:00:00,1.5474008087652534e-06,0.19305827384847066,-0.09957818455431618,-32.61371891222474,2.2730649290950824,-56.57822811517519,1.3883573596181318,8.195564895738865,92.30093560148175,84.21620982410339,-99.12176261129434,0.0,-0.0,-1.968162598642209e-05,-2.4686095722196974e-05
2013-01-01 02:00:00,1.5410806163809553e-06,0.19305808613701284,-0.09957819238161093,-32.60809048742786,-0.9541549676913642,-55.89108808937577,1.1708353084277203,7.576665439788957,92.33052014095486,87.55750118398183,-99.12176279531604,0.0,-0.0,-2.0582980290555497e-05,-2.57080496749511e-05
2013-01-01 03:00:00,1.5414281414634952e-06,0.19305807094226388,-0.09957819003394196,-32.607073638664176,-0.870648894873632,-54.94781510997478,1.1783272434209768,7.6002930951758465,91.28572763000676,87.54337822013738,-99.12176279663731,0.0,-0.0,-2.0578567330133523e-05,-2.571630431372949e-05
2013-01-01 04:00:00,1.541200860700491e-06,0.19305806084462085,-0.09957818745536726,-32.607530585066385,-0.8310530700654007,-59.18916640858086,1.1664295765407697,7.60413059304981,90.91677918159002,92.12259931302486,-99.12176280199479,0.0,-0.0,-2.0602496646077383e-05,-2.5732719436937206e-05
2013-01-01 05:00:00,1.5493730415734575e-06,0.19305824874085614,-0.09957818326857028,-32.60513431302472,4.3386156901525466,-67.4061973637129,1.3935888795810658,8.195564674692374,90.96272387606729,94.30302407943445,-99.12176262444186,0.0,-0.0,-1.9648095631495723e-05,-2.4628289351638965e-05
2013-01-01 06:00:00,1.8174555013270238e-06,0.19306082226438462,-0.09957812214145065,-32.61416493471299,4.453975154105668,-71.91448656193981,1.7790707990493073,8.195685657556295,90.99600592485226,98.2860577771452,-99.12175358322084,0.0,-0.0,-9.926918986295163e-06,-1.3488013541187647e-05
2013-01-01 07:00:00,1.9097041001298304e-06,0.19306113481556847,-0.09957810246268249,-32.048075137480396,4.453974794621133,-75.43195672779562,1.7895800687887227,8.195686039122174,90.85489274740844,101.36800428518855,-99.12171800327181,0.0,-0.0,-9.369155018873698e-06,-1.2916050348096106e-05
2013-01-01 08:00:00,1.5973306014408498e-06,0.19305901692718364,-0.09957816633027705,-32.60587326240538,4.453946421485896,-78.73799621942881,1.5441377959191993,8.195669561830602,90.77405867499095,105.55822883351435,-99.12176136983759,0.0,-0.0,-1.564711185326928e-05,-1.9886781919873595e-05
2013-01-01 09:00:00,1.550483096423574e-06,0.19305803250766473,-0.09957817987880775,-32.58965361314181,-1.8309200888466544,-72.90159726935208,1.180950108651112,6.868711995674306,90.48628786189933,105.77872840628417,-99.12176273867428,2.189701165158386,-2.085690146720654e-05,-2.0251269369069293e-05,-2.5256054696931253e-05
