,CCGT,CHP,DAC,H2 turbine,OCGT,battery storage,coal,distribution network,hydroelectricity,nuclear,offshore wind,oil,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-01-01 00:00:00,7.953908783931797e-06,9.488755108494916,-0.29768743484443894,1.5192529030568746e-06,2.4301969491979244e-06,-60.86903958299935,2.6076822026642847e-07,-329.3323370201683,6.343339354815865,40.37540349401716,196.08035817978777,4.483624831504502e-07,283.860467992419,-145.45162810926576,0.0,-0.0,-2.97801286336659e-05,-4.0704774825353375e-05
2013-01-01 01:00:00,7.960739857072666e-06,9.488756903789703,-0.29768744783801115,1.5186518454119097e-06,2.431317858353745e-06,-58.45016214662363,2.6096255336147986e-07,-326.26906110762184,6.312590227924405,40.3754040429153,192.5872011539444,4.482464210074239e-07,281.9021867248311,-145.45162763129915,0.0,-0.0,-2.967323496096562e-05,-4.0525748161438085e-05
2013-01-01 02:00:00,7.965082231170321e-06,9.488756668780207,-0.29768746732925205,1.518148088108359e-06,2.4315933497540982e-06,-58.347873319374294,2.6126510590601464e-07,-324.9637452655564,6.047353890395173,39.75650458416291,192.3531174709807,4.4848142171114734e-07,281.6129142822387,-145.45162578070529,0.0,-0.0,-3.055745835935969e-05,-4.1518211227828195e-05
2013-01-01 03:00:00,7.977170460983182e-06,9.488756668429392,-0.2976874560393256,1.521434200041814e-06,2.4339869237675084e-06,-53.210722912924524,2.6151864317430453e-07,-326.5283885392901,5.891292390407114,39.780132235642824,192.68563852845574,4.4873436710207756e-07,277.84078372967883,-145.45162381271885,0.0,-0.0,-3.052066275422886e-05,-4.1508579076805065e-05
2013-01-01 04:00:00,8.289852143481192e-06,9.488758802426036,-0.2976873034307854,1.5705610977645896e-06,2.5069652947963245e-06,-28.65497304688296,2.6156652214239626e-07,-336.5582122310462,6.428113722708869,39.78396975063004,185.64926423556406,4.487268171796245e-07,269.7871588929764,-145.45158468526654,0.0,-0.0,-2.893307412076927e-05,-3.941264921785642e-05
2013-01-01 05:00:00,8.393049871394018e-06,9.488759492092417,-0.2976872343549305,1.588182405112834e-06,2.5282560204461654e-06,-3.2810567993209987,2.614756174237891e-07,-353.6201253000587,6.704992932323113,40.37540394533531,185.69178220439656,4.485524794301346e-07,260.5642625925752,-145.45153914192838,0.0,-0.0,-2.7745695636933798e-05,-3.793484108572691e-05
2013-01-01 06:00:00,8.664087763900018e-06,9.488762085962204,-0.2976871685865548,1.6355170672853671e-06,2.566114247576684e-06,8.516840627094156,2.613698406313757e-07,-359.6487247164038,7.149579026014381,40.375524935960364,189.36904951687467,4.483980628595918e-07,250.6729477945069,-145.4515293907411,0.0,-0.0,-1.804052918686411e-05,-2.6824125907411453e-05
2013-01-01 07:00:00,8.751316730513426e-06,9.488762406715463,-0.2976871491539027,1.6480700750415357e-06,2.575428873001485e-06,12.42493014127443,2.6128839867544116e-07,-363.2191451919562,7.221470854548215,40.37552531430571,193.84661564384965,4.483115128856255e-07,245.7857824989293,-145.45149356361298,0.0,-0.0,-1.7512371828807078e-05,-2.6276871676312565e-05
2013-01-01 08:00:00,8.393273710231765e-06,9.48876027745299,-0.2976872122179478,1.5961398859460265e-06,2.5244913085577237e-06,-7.827949978171182,2.607087943050239e-07,-366.48865245719924,7.0488909334536825,40.375508764638184,196.26278607434932,4.472646620386777e-07,242.8852292954229,-145.45153804088795,24.179451447573413,-1.780726475811938e-05,-2.3849630069395043e-05,-3.325659217842379e-05
2013-01-01 09:00:00,8.226780405417667e-06,9.488758765870635,-0.29768728256390464,1.5663280913831017e-06,2.490108355805964e-06,-39.66934880886684,2.6076043234372983e-07,-347.90608111825134,6.759682914612249,39.048551001711466,195.90217678858153,4.4737909626672366e-07,238.5639612388105,-145.45158584290758,43.73642331225032,-4.282909534422975e-05,-2.8751937005281175e-05,-3.9085330195743106e-05
