,CCGT,CHP,DAC,Imports_Exports,OCGT,battery storage,distribution network,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-01-01 00:00:00,1.212013230839139e-06,1.2642298918751946,-0.1380722974507451,-14.265697771980868,3.599072980319987e-07,-9.226278954518593,-25.128982878744722,42.77835167550055,35.367264722146224,-30.629619547336684,0.0,-0.0,-3.5651221051011815e-06,-5.461606646773496e-06
2013-01-01 01:00:00,1.213811381878317e-06,1.2642298540308397,-0.13807230065728496,-14.26547745766346,3.601745471715122e-07,-6.795008248856674,-24.190420342897607,39.73565776867369,35.03987412914419,-30.629619548334077,0.0,-0.0,-3.559734627742728e-06,-5.4229929235156595e-06
2013-01-01 02:00:00,1.2156630008308973e-06,1.2642298373976901,-0.1380723034115122,-14.265480825101147,3.603742504517712e-07,-6.859699250950971,-24.721589756105946,41.19702069405643,34.17448687162797,-30.629619545624738,0.0,-0.0,-3.5515983931873052e-06,-5.433874161434178e-06
2013-01-01 03:00:00,1.2208313831962328e-06,1.2642298395581404,-0.13807230198404108,-14.265519214932484,3.615327984588674e-07,-2.1080182475096807,-26.986985040849934,41.655643818322645,31.23008216249658,-30.629619506282978,0.0,-0.0,-3.5109602008560614e-06,-5.401049424772695e-06
2013-01-01 04:00:00,1.4495841525018267e-06,1.2642312411318521,-0.1380722457734093,-0.6207478320518971,4.083261831264377e-07,3.323110384387817e-05,-30.18783110273763,35.99341231325532,24.33183727850395,-30.62959969453973,0.0,-0.0,-2.2524221706134996e-06,-3.7441528477249092e-06
2013-01-01 05:00:00,1.484851528490953e-06,1.2642313936511314,-0.13807223641098576,1.2793624232755856,4.1528549300505167e-07,3.1963699446623672,-31.818010152289524,37.78661793146058,19.07235308924503,-30.629590681534914,0.0,-0.0,-2.1728646420342555e-06,-3.6409162797823302e-06
2013-01-01 06:00:00,1.485755972601169e-06,1.2642314026860877,-0.1380722351124908,0.9989124916387027,4.1541705399855714e-07,5.641141233749889,-33.317201462300254,41.67029218108488,14.5235482232943,-30.629590096231002,0.0,-0.0,-2.1888413714350462e-06,-3.6395196803722645e-06
2013-01-01 07:00:00,1.4809909134810519e-06,1.2642314112319255,-0.1380722349885338,0.574075590815457,4.139655295507577e-07,3.9034740846393734,-33.34279044630061,45.47897285779269,12.9029601849363,-30.629589707211913,0.0,-0.0,-2.196810898112744e-06,-3.6242865958685933e-06
2013-01-01 08:00:00,1.4704117096019115e-06,1.2642314175558873,-0.1380722354160238,0.23921632419542901,4.1152221246650085e-07,2.8387717765977367,-33.342790897013295,47.04442944136134,12.737063924100937,-30.62958941160244,1.7070760597863583e-06,-3.492690152907202e-07,-2.1944967928675397e-06,-3.5640229633821487e-06
2013-01-01 09:00:00,1.4111272723835816e-06,1.2642312692261986,-0.13807224335344176,0.1823823005056247,4.002238767985629e-07,-0.11153134897391263,-32.60013292013834,47.077882276886314,13.276292366612504,-30.629598364600856,1.6918148092148992,-4.476290335226985e-06,-2.3032308720303263e-06,-3.7447052016158692e-06
2013-01-01 10:00:00,1.4043895160721248e-06,1.2642312674918026,-0.138072243740302,0.4351304050263293,3.9909686663283587e-07,-0.1261089950638073,-32.15096095441729,48.2723592880355,11.423369618188469,-30.62959793773366,1.6629177683129006,-4.480262349591291e-06,-2.3232075063788215e-06,-3.7679428439169916e-06
2013-01-01 11:00:00,1.4010919605336022e-06,1.264231277402052,-0.13807224369627713,0.1303263186607187,3.9821396059462923e-07,-1.5020172210254068,-31.670350007856015,48.60685421815157,11.422851006755817,-30.62959765632772,2.5290424939946607,-4.412278945244742e-06,-2.3167414177578395e-06,-3.741255137737663e-06
2013-01-01 12:00:00,1.3973144500361665e-06,1.2642312810876324,-0.13807224386043934,-0.2482128125158556,3.971720998798779e-07,-5.868108394634223,-30.85966678002544,48.90481427454509,14.31137472567101,-30.629597924800287,3.2765061010743093,-4.383198714479161e-06,-2.2906305709966544e-06,-3.721106371832119e-06
2013-01-01 13:00:00,1.3975212434842636e-06,1.2642312879006437,-0.13807224314679573,-0.23491423244506224,3.970370355013425e-07,-7.89876474766243,-31.237365486156268,48.916530721837226,16.740452925328956,-30.629597947388735,3.230768064501586,-4.387683114550192e-06,-2.278511601844002e-06,-3.714783644449073e-06
2013-01-01 14:00:00,1.4008981869799868e-06,1.2642312949366818,-0.13807224115911704,-4.338503339343593,3.9792378408173944e-07,-0.7223969240573747,-32.77111615591594,48.929378054213274,16.555349602819213,-30.629597809898748,1.8640016104203545,-4.440241447286241e-06,-2.2760996421311574e-06,-3.7117127036846737e-06
2013-01-01 15:00:00,1.4971186445951867e-06,1.2642316337692654,-0.1380722248540095,-15.301085863529396,4.1564972458065003e-07,1.655129915051255,-33.34279108373533,48.93246765559568,16.838247694832308,-19.894865519902595,0.0,-0.0,-2.0563952837164834e-06,-3.3700521464590482e-06
2013-01-01 16:00:00,1.5007716495487404e-06,1.264231638929997,-0.13807222421699844,-15.324825191668651,4.162597966595796e-07,1.047529657055912,-33.34279123081278,48.939161982050436,17.844510983967968,-20.27648337077663,0.0,-0.0,-2.0490639578838454e-06,-3.3681558730862374e-06
2013-01-01 17:00:00,1.5037354434674233e-06,1.2642316435543481,-0.13807222362617386,-15.332448661957812,4.166632360486111e-07,0.9998855349193522,-33.342791313420726,48.94432215709287,19.88156278648942,-22.26342767954934,0.0,-0.0,-2.042421421037943e-06,-3.362284035409149e-06
2013-01-01 18:00:00,1.5059519730131146e-06,1.2642316474118873,-0.13807222319064347,-15.33241840791443,4.170227510112456e-07,1.147573820181709,-33.3427911526204,48.94360940483491,20.981085126503675,-23.509955941981787,0.0,-0.0,-2.0396268371314364e-06,-3.360106273191427e-06
2013-01-01 19:00:00,1.507630066131864e-06,1.2642316507752442,-0.1380722228407067,-15.3010935932392,4.17328873390698e-07,1.497141704437559,-33.342790300253256,48.94636264910595,21.187164660627456,-24.099682268731165,0.0,-0.0,-2.0388199457102017e-06,-3.358917214265767e-06
2013-01-01 20:00:00,1.5079736842614795e-06,1.2642316426155125,-0.13807222315416443,-15.301092712332986,4.1733170852599215e-07,0.016774548465035944,-33.032491276153806,48.947201620562865,22.890201375618844,-24.633490657168444,0.0,-0.0,-2.0389571204759704e-06,-3.3588734291900613e-06
2013-01-01 21:00:00,1.5083317993205908e-06,1.2642316439777703,-0.13807222322847124,-15.30109062130371,4.172619132425271e-07,0.017828058807041507,-30.006071666854304,48.94781627409598,24.75949393686548,-29.530873073337077,0.0,-0.0,-2.0387929537264426e-06,-3.3582641508799045e-06
2013-01-01 22:00:00,1.4724561837197445e-06,1.264231494694812,-0.13807223078644215,-16.048921512467288,4.1075414939634796e-07,-2.4886341451462126,-27.6838764261831,48.947647735050936,26.790475986475933,-30.62958605936126,0.0,-0.0,-2.1327718188786093e-06,-3.500817342435168e-06
2013-01-01 23:00:00,1.473542505977958e-06,1.2642314960667156,-0.13807223060819612,-16.056167768255673,4.110270897598433e-07,-2.6442359878060535,-25.818715130095566,48.94693081435176,25.088879529569834,-30.629585910627533,0.0,-0.0,-2.1357002829063275e-06,-3.50331850809617e-06
2013-01-02 00:00:00,1.5111174487034067e-06,1.2642316490313221,-0.1380722227427383,-15.301086150187343,4.179334101521632e-07,0.01578484464565374,-25.557449329214027,48.942588654294596,21.265442263175064,-30.478177610321325,0.0,-0.0,-2.049414168141084e-06,-3.3657515739945768e-06
2013-01-02 01:00:00,1.5129332447241141e-06,1.264231650656773,-0.13807222254941143,-15.301084531165143,4.1821000782962077e-07,0.016387015097893906,-25.289523375880385,48.93544232302716,20.979081860484712,-30.453200614226446,0.0,-0.0,-2.050047666671162e-06,-3.3672765527804036e-06
2013-01-02 02:00:00,1.5144219945959046e-06,1.2642316500117587,-0.13807222227668767,-15.301094020127909,4.1853811072863544e-07,0.01769987647895009,-25.03190918843088,48.91910961499294,19.716289464208103,-29.4329930607559,0.0,-0.0,-2.054121066521475e-06,-3.3730042281242727e-06
