,CCGT,CHP,DAC,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-01-01 00:00:00,1.2694492711802948e-06,1.0016296947896524,-0.060034468675142685,4.599341500318902,6.066809024650396e-07,-6.726011485985445,-19.66901337470408,-0.1538840242271707,7.084009436528054,15.0172381254005,-1.070757447348021,0.0,-0.0,-2.772512660726534e-06,-3.6138224915687847e-06
2013-01-01 01:00:00,1.2707012528779993e-06,1.0016301856212968,-0.06003448267591373,4.747412189365464,6.068735584895588e-07,-6.82252440141263,-19.423420849541575,-0.18633929872605362,7.084009384551738,14.752542602313644,-1.07075743092384,0.0,-0.0,-2.755849357299667e-06,-3.595380860092562e-06
2013-01-01 02:00:00,1.2704941038374804e-06,1.0016301284473184,-0.06003448672457144,5.105036835476032,6.065971667579442e-07,-6.195619525426537,-19.84875736928646,-0.24912615726756102,7.084009170360404,14.256136672655261,-1.0707573950612925,0.0,-0.0,-2.75263222670219e-06,-3.591338880501619e-06
2013-01-01 03:00:00,1.2698883411869752e-06,1.0016301130808507,-0.06003448337162283,5.522516639634734,6.062165273018169e-07,-4.518447230371955,-21.07630330988491,-0.4362595203033417,7.08355859351016,13.57661443046371,-1.070757372724191,0.0,-0.0,-2.757425787876855e-06,-3.597050605157238e-06
2013-01-01 04:00:00,1.3511050555665413e-06,1.0016308316151712,-0.06003439801775212,1.4663054921611984,6.314048236494992e-07,3.4821343882075794e-05,-21.444341411428887,0.07171603015282596,7.045439801046405,12.997610969411472,-1.070738727263746,0.0,-0.0,-2.3922003344978295e-06,-3.1488155183547543e-06
2013-01-01 05:00:00,1.3797751040931686e-06,1.0016310621771183,-0.06003436855299865,-0.545223102805433,6.399959496183041e-07,3.1279839889969496,-21.39506007763938,0.07173608463405182,6.817448508405569,12.0598411085541,-1.070710641178072,0.0,-0.0,-2.3038912679567147e-06,-3.045432846786444e-06
2013-01-01 06:00:00,1.38023015607067e-06,1.0016310640695145,-0.06003436838004764,-0.14573612125987212,6.400205376107008e-07,3.7096478044209804,-21.39423651905635,0.07173529318099707,6.897056409802505,10.998259553664385,-1.0707105431253696,0.0,-0.0,-2.3194362827325678e-06,-3.0410015466829424e-06
2013-01-01 07:00:00,1.3799255898088621e-06,1.0016310655530172,-0.060034369014744515,0.45936334017353786,6.398112021002047e-07,3.744555475211368,-21.44441468009179,0.07173453583501936,7.020909594325443,10.284578048389806,-1.0707104251999402,0.0,-0.0,-2.3332560025437486e-06,-3.027549641127647e-06
2013-01-01 08:00:00,1.3674293012651115e-06,1.0016310658530512,-0.060034368693823725,0.9364265361422267,6.357693131282588e-07,3.319464201108922,-21.392323844637644,0.0717335982400994,7.066737755048498,9.94208040822361,-1.0707108710467985,0.1926147784391398,-6.598729549332631e-06,-2.3676931730278736e-06,-3.04191512592274e-06
2013-01-01 09:00:00,1.336921452594234e-06,1.00163080286401,-0.060034397657841146,1.9311951462229076,6.261849030758053e-07,-0.22452671726975876,-18.970796091901136,0.0717108797393211,7.081448410513796,9.433125006054924,-1.0707392780365599,0.814615659041183,-5.831321580461034e-06,-2.478837524222399e-06,-3.1718726124566785e-06
