"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Nuclear","15WPAKS------PPL","Paksi Atomerőmű","1899","1916","Paks","400","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Brown coal/Lignite","15WMATRA-----PPK","Mátrai Erőmű","852","852","Visonta","220","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Other renewable","15WSINERGYR--PP6","SINERGYR","N/A","793","Budapest","132","01.07.2021",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","15WDUME------PPI","Dunamenti Erőmű","783","760","Százhalombatta","220","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","15WGONYU-----PP5","Gönyűi Erőmű","437","437","Gönyű","400","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Other renewable","15WEWISER----PP7","Ewiser szabályozó központ","N/A","416","Cirák","132","30.11.2020",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","15WCSEPEL----PPI","Alpiq Csepel Erőmű","401","401","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","15WPLOOP-----PPL","PLOOP szabályozási központ","26","353","Budapest","20","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Solar","15WMVMZG-----UZ9","MVMZGuz","N/A","259","Budapest","132","31.05.2022",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Solar","15W-MECSPV--UZ-G","MECSPVuz","N/A","234","Mezőcsát","220","31.03.2023",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","15WKELENF----PP8","Kelenföldi Erőmű","173","173","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Oil","15WLORINC----PPF","Lőrinci Gázturbinás Erőmű","170","172","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","15WMVMSZK----PPY","MVM szabályozási központ","140","159","Budapest","20","31.12.2014",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","15WSINERGY---PPQ","Sinergy szabályozási központ","74","128","Budapest","20","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Oil","15WSAJSZOGED-PP4","Sajószögedi Gázturbinás Erőmű","120","120","Sajószöged","120","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Oil","15WLITER-----PPP","Litéri Gázturbinás Erőmű","120","120","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","15WBAKONY----PP6","Bakonyi Gázturbinás Erőmű","114","114","Ajka","120","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","15WKISP------PP6","Kispesti Erőmű","109","109","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","15WUJPEST----PPO","Újpesti Erőmű","102","102","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","15WDKCE------PPQ","Debreceni Kombináltciklusú Erőmű","95","95","Debrecen","120","31.12.2013",""
