index,RO -> RS,RO -> MD,RO -> UA
2023-01-01 03:00:00+0000,348.0,96.0,0.0
2023-01-01 04:00:00+0000,299.0,163.0,0.0
2023-01-01 05:00:00+0000,325.0,151.0,0.0
2023-01-01 06:00:00+0000,277.0,245.0,0.0
2023-01-01 07:00:00+0000,325.0,292.0,0.0
2023-01-01 08:00:00+0000,319.0,311.0,0.0
2023-01-01 09:00:00+0000,331.0,289.0,0.0
2023-01-01 10:00:00+0000,441.0,325.0,0.0
2023-01-01 11:00:00+0000,450.0,292.0,0.0
2023-01-01 12:00:00+0000,381.0,288.0,0.0
2023-01-01 13:00:00+0000,325.0,228.0,0.0
2023-01-01 14:00:00+0000,340.0,256.0,0.0
2023-01-01 15:00:00+0000,325.0,99.0,0.0
2023-01-01 16:00:00+0000,357.0,87.0,0.0
2023-01-01 17:00:00+0000,391.0,92.0,0.0
2023-01-01 18:00:00+0000,387.0,12.0,0.0
2023-01-01 19:00:00+0000,433.0,65.0,0.0
2023-01-01 20:00:00+0000,465.0,112.0,0.0
2023-01-01 21:00:00+0000,461.0,82.0,0.0
2023-01-01 22:00:00+0000,445.0,0.0,0.0
2023-01-01 23:00:00+0000,529.0,65.0,0.0
2023-01-02 00:00:00+0000,567.0,107.0,0.0
2023-01-02 01:00:00+0000,594.0,118.0,0.0
2023-01-02 02:00:00+0000,584.0,172.0,0.0
2023-01-02 03:00:00+0000,569.0,244.0,0.0
2023-01-02 04:00:00+0000,629.0,176.0,0.0
2023-01-02 05:00:00+0000,605.0,169.0,0.0
2023-01-02 06:00:00+0000,512.0,333.0,0.0
2023-01-02 07:00:00+0000,437.0,325.0,0.0
2023-01-02 08:00:00+0000,409.0,299.0,0.0
2023-01-02 09:00:00+0000,402.0,329.0,0.0
2023-01-02 10:00:00+0000,424.0,330.0,0.0
2023-01-02 11:00:00+0000,354.0,288.0,0.0
2023-01-02 12:00:00+0000,338.0,296.0,0.0
2023-01-02 13:00:00+0000,233.0,237.0,0.0
2023-01-02 14:00:00+0000,127.0,197.0,0.0
2023-01-02 15:00:00+0000,49.0,161.0,0.0
2023-01-02 16:00:00+0000,158.0,159.0,0.0
2023-01-02 17:00:00+0000,213.0,209.0,0.0
2023-01-02 18:00:00+0000,255.0,255.0,0.0
2023-01-02 19:00:00+0000,297.0,308.0,0.0
2023-01-02 20:00:00+0000,506.0,244.0,0.0
2023-01-02 21:00:00+0000,553.0,183.0,0.0
2023-01-02 22:00:00+0000,594.0,179.0,0.0
2023-01-02 23:00:00+0000,350.0,250.0,0.0
2023-01-03 00:00:00+0000,406.0,241.0,0.0
2023-01-03 01:00:00+0000,393.0,253.0,0.0
2023-01-03 02:00:00+0000,509.0,240.0,0.0
2023-01-03 03:00:00+0000,640.0,176.0,0.0
2023-01-03 04:00:00+0000,395.0,98.0,0.0
2023-01-03 05:00:00+0000,295.0,99.0,0.0
2023-01-03 06:00:00+0000,180.0,123.0,0.0
2023-01-03 07:00:00+0000,101.0,97.0,0.0
2023-01-03 08:00:00+0000,132.0,62.0,0.0
2023-01-03 09:00:00+0000,165.0,103.0,0.0
2023-01-03 10:00:00+0000,184.0,114.0,0.0
2023-01-03 11:00:00+0000,127.0,174.0,0.0
2023-01-03 12:00:00+0000,130.0,160.0,0.0
2023-01-03 13:00:00+0000,65.0,120.0,0.0
2023-01-03 14:00:00+0000,156.0,75.0,0.0
2023-01-03 15:00:00+0000,80.0,54.0,0.0
2023-01-03 16:00:00+0000,123.0,167.0,0.0
2023-01-03 17:00:00+0000,167.0,149.0,0.0
2023-01-03 18:00:00+0000,208.0,149.0,0.0
2023-01-03 19:00:00+0000,305.0,203.0,0.0
2023-01-03 20:00:00+0000,423.0,202.0,0.0
2023-01-03 21:00:00+0000,412.0,270.0,0.0
2023-01-03 22:00:00+0000,414.0,294.0,0.0
2023-01-03 23:00:00+0000,387.0,290.0,0.0
2023-01-04 00:00:00+0000,308.0,276.0,0.0
2023-01-04 01:00:00+0000,412.0,292.0,0.0
2023-01-04 02:00:00+0000,464.0,275.0,0.0
2023-01-04 03:00:00+0000,482.0,227.0,0.0
2023-01-04 04:00:00+0000,330.0,94.0,0.0
2023-01-04 05:00:00+0000,338.0,154.0,0.0
2023-01-04 06:00:00+0000,288.0,161.0,0.0
2023-01-04 07:00:00+0000,160.0,134.0,0.0
2023-01-04 08:00:00+0000,91.0,134.0,0.0
2023-01-04 09:00:00+0000,93.0,219.0,0.0
2023-01-04 10:00:00+0000,84.0,182.0,0.0
2023-01-04 11:00:00+0000,32.0,122.0,0.0
2023-01-04 12:00:00+0000,25.0,134.0,0.0
2023-01-04 13:00:00+0000,0.0,118.0,0.0
2023-01-04 14:00:00+0000,0.0,103.0,0.0
2023-01-04 15:00:00+0000,0.0,119.0,0.0
2023-01-04 16:00:00+0000,0.0,55.0,0.0
2023-01-04 17:00:00+0000,0.0,115.0,0.0
2023-01-04 18:00:00+0000,13.0,123.0,0.0
2023-01-04 19:00:00+0000,177.0,124.0,0.0
2023-01-04 20:00:00+0000,270.0,192.0,0.0
2023-01-04 21:00:00+0000,384.0,100.0,0.0
2023-01-04 22:00:00+0000,339.0,87.0,0.0
2023-01-04 23:00:00+0000,370.0,184.0,0.0
2023-01-05 00:00:00+0000,366.0,257.0,0.0
2023-01-05 01:00:00+0000,430.0,291.0,0.0
2023-01-05 02:00:00+0000,579.0,314.0,0.0
2023-01-05 03:00:00+0000,616.0,273.0,0.0
2023-01-05 04:00:00+0000,576.0,214.0,0.0
2023-01-05 05:00:00+0000,542.0,307.0,0.0
2023-01-05 06:00:00+0000,394.0,310.0,0.0
2023-01-05 07:00:00+0000,258.0,321.0,0.0
2023-01-05 08:00:00+0000,324.0,359.0,0.0
2023-01-05 09:00:00+0000,376.0,417.0,0.0
2023-01-05 10:00:00+0000,426.0,468.0,0.0
2023-01-05 11:00:00+0000,389.0,428.0,0.0
2023-01-05 12:00:00+0000,366.0,417.0,0.0
2023-01-05 13:00:00+0000,302.0,386.0,0.0
2023-01-05 14:00:00+0000,168.0,339.0,0.0
2023-01-05 15:00:00+0000,132.0,294.0,0.0
2023-01-05 16:00:00+0000,187.0,327.0,0.0
2023-01-05 17:00:00+0000,195.0,360.0,0.0
2023-01-05 18:00:00+0000,246.0,467.0,0.0
2023-01-05 19:00:00+0000,299.0,492.0,0.0
2023-01-05 20:00:00+0000,467.0,463.0,0.0
2023-01-05 21:00:00+0000,544.0,425.0,0.0
2023-01-05 22:00:00+0000,543.0,409.0,0.0
2023-01-05 23:00:00+0000,580.0,344.0,0.0
2023-01-06 00:00:00+0000,669.0,293.0,0.0
2023-01-06 01:00:00+0000,640.0,353.0,0.0
2023-01-06 02:00:00+0000,634.0,322.0,0.0
2023-01-06 03:00:00+0000,590.0,294.0,0.0
2023-01-06 04:00:00+0000,490.0,196.0,0.0
2023-01-06 05:00:00+0000,427.0,193.0,0.0
2023-01-06 06:00:00+0000,350.0,288.0,0.0
2023-01-06 07:00:00+0000,338.0,324.0,0.0
2023-01-06 08:00:00+0000,391.0,359.0,0.0
2023-01-06 09:00:00+0000,449.0,365.0,0.0
2023-01-06 10:00:00+0000,477.0,360.0,0.0
2023-01-06 11:00:00+0000,333.0,346.0,0.0
2023-01-06 12:00:00+0000,261.0,284.0,0.0
2023-01-06 13:00:00+0000,207.0,194.0,0.0
2023-01-06 14:00:00+0000,132.0,79.0,0.0
2023-01-06 15:00:00+0000,57.0,29.0,0.0
2023-01-06 16:00:00+0000,124.0,58.0,0.0
2023-01-06 17:00:00+0000,140.0,84.0,0.0
2023-01-06 18:00:00+0000,94.0,124.0,0.0
2023-01-06 19:00:00+0000,206.0,91.0,0.0
2023-01-06 20:00:00+0000,318.0,114.0,0.0
2023-01-06 21:00:00+0000,300.0,16.0,0.0
2023-01-06 22:00:00+0000,198.0,20.0,0.0
2023-01-06 23:00:00+0000,163.0,84.0,0.0
2023-01-07 00:00:00+0000,200.0,169.0,0.0
2023-01-07 01:00:00+0000,301.0,203.0,0.0
2023-01-07 02:00:00+0000,368.0,236.0,0.0
2023-01-07 03:00:00+0000,370.0,231.0,0.0
2023-01-07 04:00:00+0000,283.0,203.0,0.0
2023-01-07 05:00:00+0000,249.0,188.0,0.0
2023-01-07 06:00:00+0000,182.0,233.0,0.0
2023-01-07 07:00:00+0000,135.0,250.0,0.0
2023-01-07 08:00:00+0000,165.0,229.0,0.0
2023-01-07 09:00:00+0000,214.0,322.0,0.0
2023-01-07 10:00:00+0000,259.0,302.0,0.0
2023-01-07 11:00:00+0000,286.0,345.0,0.0
2023-01-07 12:00:00+0000,243.0,315.0,0.0
2023-01-07 13:00:00+0000,261.0,318.0,0.0
2023-01-07 14:00:00+0000,262.0,157.0,0.0
2023-01-07 15:00:00+0000,114.0,152.0,0.0
2023-01-07 16:00:00+0000,117.0,158.0,0.0
2023-01-07 17:00:00+0000,139.0,167.0,0.0
2023-01-07 18:00:00+0000,158.0,161.0,0.0
2023-01-07 19:00:00+0000,205.0,147.0,0.0
2023-01-07 20:00:00+0000,272.0,183.0,0.0
2023-01-07 21:00:00+0000,374.0,202.0,0.0
2023-01-07 22:00:00+0000,355.0,191.0,0.0
2023-01-07 23:00:00+0000,169.0,182.0,0.0
2023-01-08 00:00:00+0000,219.0,239.0,0.0
2023-01-08 01:00:00+0000,313.0,292.0,0.0
2023-01-08 02:00:00+0000,292.0,282.0,0.0
2023-01-08 03:00:00+0000,228.0,308.0,0.0
2023-01-08 04:00:00+0000,281.0,291.0,0.0
2023-01-08 05:00:00+0000,249.0,294.0,0.0
2023-01-08 06:00:00+0000,304.0,327.0,0.0
2023-01-08 07:00:00+0000,316.0,273.0,0.0
2023-01-08 08:00:00+0000,339.0,267.0,0.0
2023-01-08 09:00:00+0000,312.0,198.0,0.0
2023-01-08 10:00:00+0000,395.0,312.0,0.0
2023-01-08 11:00:00+0000,349.0,293.0,0.0
2023-01-08 12:00:00+0000,380.0,374.0,0.0
2023-01-08 13:00:00+0000,364.0,252.0,0.0
2023-01-08 14:00:00+0000,280.0,132.0,0.0
2023-01-08 15:00:00+0000,232.0,88.0,0.0
2023-01-08 16:00:00+0000,265.0,230.0,0.0
2023-01-08 17:00:00+0000,276.0,219.0,0.0
2023-01-08 18:00:00+0000,277.0,281.0,0.0
2023-01-08 19:00:00+0000,261.0,293.0,0.0
2023-01-08 20:00:00+0000,336.0,358.0,0.0
2023-01-08 21:00:00+0000,394.0,439.0,0.0
2023-01-08 22:00:00+0000,274.0,502.0,0.0
2023-01-08 23:00:00+0000,258.0,543.0,0.0
2023-01-09 00:00:00+0000,262.0,609.0,12.0
2023-01-09 01:00:00+0000,330.0,659.0,28.0
2023-01-09 02:00:00+0000,469.0,674.0,1.0
2023-01-09 03:00:00+0000,441.0,614.0,0.0
2023-01-09 04:00:00+0000,368.0,502.0,0.0
2023-01-09 05:00:00+0000,286.0,359.0,0.0
2023-01-09 06:00:00+0000,146.0,293.0,0.0
2023-01-09 07:00:00+0000,55.0,305.0,0.0
2023-01-09 08:00:00+0000,67.0,329.0,0.0
2023-01-09 09:00:00+0000,144.0,416.0,0.0
2023-01-09 10:00:00+0000,147.0,535.0,0.0
2023-01-09 11:00:00+0000,215.0,545.0,0.0
2023-01-09 12:00:00+0000,229.0,531.0,0.0
2023-01-09 13:00:00+0000,266.0,451.0,0.0
2023-01-09 14:00:00+0000,227.0,424.0,0.0
2023-01-09 15:00:00+0000,94.0,388.0,0.0
2023-01-09 16:00:00+0000,108.0,425.0,0.0
2023-01-09 17:00:00+0000,132.0,508.0,0.0
2023-01-09 18:00:00+0000,143.0,522.0,0.0
2023-01-09 19:00:00+0000,218.0,562.0,0.0
2023-01-09 20:00:00+0000,407.0,592.0,0.0
2023-01-09 21:00:00+0000,426.0,580.0,0.0
2023-01-09 22:00:00+0000,299.0,688.0,126.0
2023-01-09 23:00:00+0000,243.0,765.0,198.0
2023-01-10 00:00:00+0000,269.0,918.0,323.0
2023-01-10 01:00:00+0000,282.0,863.0,358.0
2023-01-10 02:00:00+0000,306.0,837.0,313.0
2023-01-10 03:00:00+0000,330.0,751.0,279.0
2023-01-10 04:00:00+0000,250.0,639.0,55.0
2023-01-10 05:00:00+0000,238.0,535.0,0.0
2023-01-10 06:00:00+0000,157.0,443.0,0.0
2023-01-10 07:00:00+0000,96.0,475.0,0.0
2023-01-10 08:00:00+0000,17.0,538.0,0.0
2023-01-10 09:00:00+0000,0.0,609.0,57.0
2023-01-10 10:00:00+0000,0.0,657.0,78.0
2023-01-10 11:00:00+0000,0.0,654.0,69.0
2023-01-10 12:00:00+0000,33.0,654.0,90.0
2023-01-10 13:00:00+0000,61.0,595.0,12.0
2023-01-10 14:00:00+0000,86.0,542.0,0.0
2023-01-10 15:00:00+0000,34.0,533.0,0.0
2023-01-10 16:00:00+0000,35.0,551.0,0.0
2023-01-10 17:00:00+0000,94.0,576.0,0.0
2023-01-10 18:00:00+0000,176.0,618.0,0.0
2023-01-10 19:00:00+0000,299.0,660.0,0.0
2023-01-10 20:00:00+0000,346.0,655.0,0.0
2023-01-10 21:00:00+0000,462.0,662.0,0.0
2023-01-10 22:00:00+0000,361.0,630.0,0.0
2023-01-10 23:00:00+0000,366.0,564.0,0.0
2023-01-11 00:00:00+0000,404.0,621.0,0.0
2023-01-11 01:00:00+0000,471.0,616.0,3.0
2023-01-11 02:00:00+0000,421.0,639.0,0.0
2023-01-11 03:00:00+0000,372.0,646.0,0.0
2023-01-11 04:00:00+0000,322.0,505.0,0.0
2023-01-11 05:00:00+0000,183.0,482.0,0.0
2023-01-11 06:00:00+0000,66.0,326.0,0.0
2023-01-11 07:00:00+0000,0.0,258.0,0.0
2023-01-11 08:00:00+0000,0.0,284.0,0.0
2023-01-11 09:00:00+0000,6.0,304.0,0.0
2023-01-11 10:00:00+0000,0.0,366.0,0.0
2023-01-11 11:00:00+0000,0.0,362.0,0.0
2023-01-11 12:00:00+0000,0.0,359.0,0.0
2023-01-11 13:00:00+0000,66.0,342.0,0.0
2023-01-11 14:00:00+0000,58.0,310.0,0.0
2023-01-11 15:00:00+0000,0.0,289.0,0.0
2023-01-11 16:00:00+0000,26.0,324.0,0.0
2023-01-11 17:00:00+0000,25.0,325.0,0.0
2023-01-11 18:00:00+0000,112.0,374.0,0.0
2023-01-11 19:00:00+0000,204.0,399.0,0.0
2023-01-11 20:00:00+0000,323.0,429.0,0.0
2023-01-11 21:00:00+0000,367.0,437.0,0.0
2023-01-11 22:00:00+0000,182.0,349.0,0.0
2023-01-11 23:00:00+0000,273.0,487.0,0.0
2023-01-12 00:00:00+0000,321.0,460.0,0.0
2023-01-12 01:00:00+0000,360.0,445.0,0.0
2023-01-12 02:00:00+0000,439.0,500.0,0.0
