Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Sector1,EfficiencySector1,ChargingEfficiencySector1,Sector2,EfficiencySector2,ChargingEfficiencySector2
FR1 0 offwind-ac-2030,24631.593829930087,1,FR,,,WTOF,WIN,1.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 offwind-dc-2030,4617.909521458745,1,FR,,,WTOF,WIN,1.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 onwind-2030,12806.615359672827,1,FR,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 ror,6870.649149421663,1,FR,,,HROR,WAT,0.9,0.0,0.0,0.0390347764,0.0390347764,0.0,0.0,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 solar-2030,14825.57346058418,1,FR,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 oil,71710.69245556266,1,FR,,,STUR,OIL,1.0,8.0,6.0,0.0025693731,0.0025693731,35280.965,0.0,0.0,0.3,0.41,7.0,0.79,,,,,,,,,,,,,,,,,,,,
FR1 0 solar rooftop-2030,62597.56033094427,1,FR,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0  onwind-2005,652.0,1,FR,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0  onwind-2010,5222.0,1,FR,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0  solar-2010,1031.0,1,FR,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0  onwind-2015,4386.18,1,FR,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0  solar-2015,6093.52,1,FR,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0  onwind-2020,7213.82,1,FR,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0  solar-2020,4674.68,1,FR,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0  onwind-2025,3125.98,1,FR,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0  solar-2025,5224.77,1,FR,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 OCGT-2030,20647.63973166417,1,FR,,,GTUR,GAS,0.41,0.55,0.625,0.15415,0.15415,47.26,0.0,0.73,0.35,0.525,0.1,0.65,,,,,,,,,,,,,,,,,,,,
FR1 0 CCGT-2030,0.5331277666337733,1,FR,,,COMC,GAS,0.58,3.125,3.25,0.06415,0.06415,21.4,0.0,0.375,0.325,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
FR1 0 nuclear-2030,0.0537793553578256,1,FR,,,STUR,NUC,0.326,87.0,26.0,0.05125,0.05125,200000.0,0.0,0.0,0.35,0.405,6.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 H2 Fuel Cell-2030,0.102547988183541,1,FR,,,ICEN,HYD,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.7,,,,,,,,,,,,,,,,,,,,
FR1 0 H2 turbine-2030,0.325134074741112,1,FR,,,GTUR,HYD,0.397,0.0,0.0,0.092068966,0.092068966,1866.996374,868.0702473,0.0,0.172413793,0.11,0.0,0.65,,,,,,,,,,,,,,,,,,,,
FR1 0 urban central gas CHP CC-2030,0.1481695722723266,1,FR,,,ICEN,GAS,0.3882199999999999,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.7,,,,,,,,,,,,,,,,,,,,
FR1 0 urban central solid biomass CHP-2030,5663.096314973777,1,FR,,,STUR,BIO,0.2699,8.0,6.0,0.0007565441,0.0007565441,2000.0,0.0,0.0,0.2,0.45,7.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 urban central solid biomass CHP CC-2030,0.5857918062095365,1,FR,,,STUR,BIO,0.2295629999999999,4.0,6.0,0.02,0.02,0.0,0.0,1.3,0.35,0.35,1.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 nuclear-1970,3000.0,1,FR,,,STUR,NUC,1.0,87.0,26.0,0.05125,0.05125,200000.0,0.0,0.0,0.35,0.405,6.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 nuclear-1975,3580.0,1,FR,,,STUR,NUC,1.0,87.0,26.0,0.05125,0.05125,200000.0,0.0,0.0,0.35,0.405,6.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 nuclear-1980,8760.0,1,FR,,,STUR,NUC,1.0,87.0,26.0,0.05125,0.05125,200000.0,0.0,0.0,0.35,0.405,6.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 nuclear-1985,2660.0,1,FR,,,STUR,NUC,1.0,87.0,26.0,0.05125,0.05125,200000.0,0.0,0.0,0.35,0.405,6.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 nuclear-1990,5280.0,1,FR,,,STUR,NUC,1.0,87.0,26.0,0.05125,0.05125,200000.0,0.0,0.0,0.35,0.405,6.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 CCGT-1995,434.0,1,FR,,,COMC,GAS,0.58,3.125,3.25,0.06415,0.06415,21.4,0.0,0.375,0.325,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
FR1 0 CCGT-2000,517.0,1,FR,,,COMC,GAS,0.58,3.125,3.25,0.06415,0.06415,21.4,4830.52544,0.375,0.325,0.44,0.0,0.4,,,,,,,,,,,,,,,,,,,,
FR1 0 nuclear-2000,2990.0,1,FR,,,STUR,NUC,1.0,87.0,26.0,0.05125,0.05125,200000.0,0.0,0.0,0.35,0.405,6.0,0.0,,,,,,,,,,,,,,,,,,,,
FR1 0 oil-2000,254.0,1,FR,,,STUR,OIL,0.35,3.125,3.5,0.0379,0.0379,35280.965,0.0,1.17,0.4,0.41,1.0,0.79,,,,,,,,,,,,,,,,,,,,
FR1 0 CCGT-2005,1702.2,1,FR,,,COMC,GAS,0.58,5.0,1.0,0.0061678631,0.0061678631,112542.12,0.0,0.0,0.4,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
FR1 0 CCGT-2010,3159.0,1,FR,,,COMC,GAS,0.58,5.0,1.0,0.0055710723,0.0055710723,112542.12,0.0,0.0,0.4,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
FR1 0 CCGT-2015,2251.0,1,FR,,,COMC,GAS,0.58,5.0,1.0,0.0055710723,0.0055710723,112542.12,0.0,0.0,0.4,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
FR1 0 CCGT-2020,635.0,1,FR,,,COMC,GAS,0.58,5.0,1.0,0.016330409,0.016330409,112542.12,0.0,0.0,0.4,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
FR1 0 CCGT-2025,446.0,1,FR,,,COMC,GAS,0.58,3.125,3.25,0.06415,0.06415,21.4,4467.756538,0.375,0.325,0.48,0.0,0.4,,,,,,,,,,,,,,,,,,,,
FR1 0 PHS,5236.3,1,FR,,,HPHS,WAT,0.8660254037844386,0.0,0.0,0.066666667,0.066666667,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,84112.15352339967,0.0,,0.8660254037844386,,,,,,,,
FR1 0 hydro,8573.49299363057,1,FR,,,HDAM,WAT,0.9,0.0,0.0,0.0666666666666667,0.0666666666666667,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,9800000.0,0.0,,0.0,,,,,,,,
Resistive_Heaters_VPP,47119.63740273974,1,FR,,,P2BS,ELE,0.9066837263590011,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,37147.646171142704,0.012785762394290249,47119.63740273974,0.0,,,DHW_VPP,0.9066837263590011,0.9066837263590011,0.0,0.0,0.0
