Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,KW Simmering,1349,1.0,AT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDK-Mellach,838,1.0,AT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malta-Hauptstufe,730,1.0,AT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Theiß,485,1.0,AT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Limberg II,480,1.0,AT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reisseck 2,430,1.0,AT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Timelkam Gesamtanlage,400,1.0,AT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KW Donaustadt,395,1.0,AT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KW Kaunertal,392,1.0,AT,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Häusling,360,1.0,AT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mayrhofen,355,1.0,AT,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Altenwörth,328,1.0,AT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greifenstein,293,1.0,AT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aschach,287,1.0,AT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaprun-Hauptstufe,260,1.0,AT,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ybbs-Persenbeug,237,1.0,AT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roßhag,231,1.0,AT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FHKW Linz Mitte,217,1.0,AT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wallsee-Mitterkirchen,210,1.0,AT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gerlos,200,1.0,AT,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Melk,187,1.0,AT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ottensheim-Wilhering,179,1.0,AT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freudenau,172,1.0,AT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abwinden-Asten,168,1.0,AT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FHKW Mellach,165,1.0,AT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FHKW Linz Süd,158,1.0,AT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malta-Oberstufe,156,1.0,AT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,voestalpine KW Linz,153,1.0,AT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Riedersbach 2,150,1.0,AT,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Feldsee,140,1.0,AT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KW Leopoldau,140,1.0,AT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaprun-Schwarzach,120,1.0,AT,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Oschenik,114,1.0,AT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaprun-Oberstufe,113,1.0,AT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Hintermuhr,107,1.0,AT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Außerfragant,100,1.0,AT,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_Solar,3265,,,,,,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_WIN,3569,,,,,,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
