index,AL -> EL,BA -> HR,BG -> TR,BG -> MK,BG -> RS,BY -> LT,EE -> RU,EL -> TR,EL -> MK,EL -> AL,FI -> RU,HR -> BA,HR -> RS,HU -> RS,HU -> UA,IT -> ME,IT -> MT,LT -> BY,LV -> RU,MD -> RO,ME -> IT,MK -> EL,MK -> BG,MT -> IT,PL -> UA,RO -> RS,RO -> MD,RO -> UA,RU -> FI,RU -> LV,RU -> EE,RS -> RO,RS -> HU,RS -> BG,RS -> HR,SK -> UA,TR -> EL,TR -> BG,UA -> RO,UA -> SK,UA -> HU,UA -> PL
2020-01-01 00:00:00+00:00,114.0,0.0,443.0,348.0,89.0,656.0,0.0,0.0,0.0,0.0,0.0,494.0,160.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,130.0,369.0,54.0,0.0,0.0,0.0,549.0,287.0,0.0,574.0,0.0,274.0,0.0
2020-01-01 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 01:00:00+00:00,122.0,0.0,325.0,340.0,117.0,469.0,0.0,0.0,0.0,0.0,0.0,363.0,120.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,442.0,0.0,0.0,0.0,13.0,0.0,0.0,998.0,74.0,203.0,0.0,0.0,0.0,0.0,486.0,337.0,0.0,534.0,0.0,283.0,0.0
2020-01-01 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 02:00:00+00:00,144.0,0.0,325.0,329.0,134.0,285.0,0.0,0.0,0.0,0.0,0.0,279.0,90.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,442.0,0.0,0.0,0.0,88.0,0.0,0.0,980.0,50.0,155.0,0.0,0.0,0.0,0.0,392.0,317.0,0.0,456.0,0.0,277.0,0.0
2020-01-01 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 03:00:00+00:00,170.0,0.0,395.0,313.0,134.0,64.0,0.0,0.0,0.0,0.0,0.0,491.0,165.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,454.0,0.0,0.0,0.0,286.0,0.0,0.0,995.0,14.0,54.0,0.0,0.0,0.0,0.0,459.0,255.0,0.0,516.0,0.0,281.0,0.0
2020-01-01 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 04:00:00+00:00,142.0,0.0,369.0,322.0,160.0,103.0,2.0,0.0,0.0,0.0,0.0,399.0,113.0,220.0,0.0,0.0,0.0,0.0,7.0,0.0,212.0,467.0,0.0,0.0,0.0,343.0,0.0,0.0,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,215.0,0.0,451.0,0.0,315.0,0.0
2020-01-01 04:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
