HPHS,HDAM
0.999193295413998,0.9411685704487149
0.9992300958864931,0.9413272401757163
0.9992687551720602,0.9414868138095009
0.9993091026955715,0.9416474119754961
0.9993180816766079,0.941811193046425
0.9993268043295362,0.9419799439161671
0.9993356774241098,0.94215438465888
0.9993448655892385,0.9423299868198003
0.9993543101786304,0.9425064824822605
0.9993638972764216,0.9426836682029772
0.999423451114114,0.9428666835787264
0.9995040242974165,0.9430495961088298
0.999600989908028,0.9432318281240475
0.9997312167048267,0.9434112741248538
0.9999891669237925,0.9435880286713874
0.9999757656165451,0.9437622857012727
0.9999585533659192,0.9439342005934347
0.9999469791885038,0.9441039994677077
0.9999380861696402,0.9442719177043383
0.9999308559513491,0.9444381339514871
0.9999268632880718,0.944602815637606
0.9999234517733371,0.944766106129957
0.9999205592027725,0.944928134641407
0.9999180664353234,0.9450890120918534
0.9999156567518453,0.9452488382693401
0.9999141711477708,0.9454076971950313
0.9999131254382508,0.9455656657298407
0.999912437445882,0.9457228229804536
0.9999110994806656,0.9458792408327131
0.99991002005443,0.9460349785014666
0.9999081560961739,0.9461900804525497
0.9999066502290079,0.946344764028553
0.9999054703560072,0.9464989186680961
0.9999067623970602,0.9466525482529966
0.9999083263470513,0.9468056786262304
0.9999102417218122,0.9469583398549305
0.9999125411048937,0.947110573585674
0.9999151286910787,0.9472624140327646
0.9999171935786189,0.9474138829416207
0.9999147370684215,0.9475649780906558
0.9999125960765393,0.9477157417958116
0.9999107568686535,0.9478661923717929
0.9999091992287369,0.9480163472622953
0.9999079103570132,0.9481662255971042
0.9999068348714032,0.9483158430462848
0.999908095065875,0.9484652226008303
0.9999096186168548,0.9486143667861062
0.9999114724928481,0.9487632889746361
0.9999136527245039,0.9489120086373343
0.999916196115756,0.9490605531641475
0.9999191624105678,0.9492089633233665
0.9999226181265434,0.949357278331147
0.9999267208064693,0.9495056094367867
0.9999312260688791,0.9496539012829103
0.999932253803496,0.9498022016601717
0.9999337385023875,0.9499503834152824
0.9999356344423884,0.9500984378649614
0.9999434169455655,0.9502463812522126
0.999953355828904,0.9503942058268283
0.9999670730908026,0.9505419287217791
0.9999929954928319,0.9506895736803809
0.9999947961203411,0.9508370927456931
0.999999918804951,0.9509845406997389
0.9999767155384774,0.9509970056333953
0.9999658058751387,0.9510094054386219
0.9999577130874325,0.9510217421867287
0.9999509938731744,0.9510340333553996
0.9999451204195198,0.951046272909456
0.9999398580990205,0.9510584773101488
0.9999385036185806,0.9510706493537482
0.9999371913863775,0.9510827758955975
0.9999359154000351,0.9510948518904008
0.9999346745009029,0.951106880768183
0.9999334711881094,0.9511188685093362
0.9999323069869833,0.9511308025804714
0.9999311906695197,0.9511426744834367
0.9999301301423786,0.9511544877904758
0.9999275385806147,0.9511662481253423
0.9999257198439393,0.9511779719586673
0.9999235644780347,0.9511896537376548
0.9999211362864041,0.9512012937638111
0.9999202235549701,0.9512128934009496
0.999919328588291,0.9512244639503014
0.9999184544044558,0.9512360025922563
0.9999176038742602,0.9512475300678537
0.999916786915672,0.9512590384117663
0.9999105793412773,0.9512705257246595
0.9998963024223485,0.9512819880759932
0.9998837173039349,0.9512934254873989
0.9998723451717251,0.951304850557633
0.9998618534477577,0.9513162776966604
0.9998565753568598,0.9513276925964818
0.9998511867867879,0.9513391018977787
0.9998451877812794,0.9513505108799162
0.9998370417373307,0.9513619169661015
0.9998292563396143,0.9513733248817612
0.999821675142856,0.9513847359351875
0.9998202102230437,0.9513961487805425
0.9998187561515512,0.9514075623646759
0.9998172572175303,0.9514189707056356
0.9998158214179186,0.9514303776760473
0.9998127365361847,0.9514417863782467
0.9998066694021086,0.951453195513539
0.999800787347721,0.9514646090214518
0.9997950555603484,0.9514760288060744
0.9997894942303216,0.9514874512413398
0.9997879184227165,0.9514988743283773
0.9997863660715482,0.9515102927279684
0.9997848072667871,0.9515217147777615
0.99977941652913,0.9515331393925336
0.9997742465313266,0.9515445666364677
0.9997693946939807,0.951555997232542
0.9997646397977116,0.951567429902988
0.999759972152132,0.95157886628052
0.9997553884313174,0.951590313365678
0.999750715579185,0.9516017625112951
0.9997494527972073,0.9516132184847373
0.9997481976071905,0.9516246863160785
0.9997469494905895,0.951636179190039
0.999745708002207,0.9516476818917079
0.9997444733234894,0.9516591923708589
0.9997432463302983,0.9516707193294975
0.9997420267124421,0.9516822552848927
0.9997408145015563,0.9516937976106242
0.999739609392343,0.9517053499452518
0.9997384123608423,0.951716917372907
0.9997372232585444,0.9517284958854421
0.9997360417873842,0.9517400885291157
0.9997348718958927,0.9517516889109507
0.9997337103436795,0.9517632931724537
0.9997325605581848,0.9517749012523459
0.9997314213548036,0.9517865138164769
0.9997302916477621,0.9517981326075562
0.9997291720484301,0.9518097581404927
0.9997270218154214,0.9518213912525609
0.9997238150368228,0.9518330321281648
0.9997206516926881,0.9518446842201106
0.9997175352475296,0.9518563501790928
0.9997144592378154,0.9518680255148511
0.9997114346454886,0.9518797137912487
0.9997084276481394,0.9518914109821602
0.9997054508409022,0.9519031205306022
0.9997025039719855,0.9519148419450526
0.9996995811368034,0.9519265749661387
0.9996967063380122,0.9519383197427803
0.9996951619474924,0.9519500785775661
0.9996937056027851,0.9519618478276944
0.9996927384076248,0.9519736270314424
0.9996912180014011,0.9519854180409723
0.9996885237758499,0.9519972246369136
0.9996857885313909,0.9520090465889669
0.9996830762098563,0.952020885337814
0.9996803810844181,0.9520327366493508
0.9996797715189609,0.9520446003189976
0.999679168992288,0.9520564753410843
0.9996785693535919,0.9520683612658641
0.9996779731876774,0.952080259265834
0.9996773777227237,0.9520921684474002
0.9996764627498151,0.9521040913479292
0.9996750381858264,0.9521160243431892
0.9996736236354254,0.95212796933831
0.9996722165567262,0.9521399270774574
0.999670812578151,0.9521518974239763
0.999669405813087,0.9521638821959935
0.9996680214112986,0.9521758799670744
0.9996670828003557,0.9521878922909537
0.9996664742893402,0.95219991991472
0.9996658830489723,0.9522119620837446
0.9996652927619433,0.9522239637242641
0.9996647047240683,0.9522358987952655
0.9996641197488221,0.9522477667313894
0.9996635379881689,0.9522595518342565
0.999662958989417,0.9522711792815877
0.9996623793337053,0.952282547428063
0.9996615212788657,0.9522935706148059
0.9996606660196622,0.95230439930947
0.99965978952791,0.9523150309825944
0.9996592338700153,0.9523254651200108
0.9996586809906698,0.9523353571830726
0.9996581313787041,0.952345061256911
0.9996575855727732,0.9523546233529778
0.9996570389702019,0.9523642278213853
0.9996564955495557,0.9523739001661832
0.9996551960050293,0.9523836509626699
0.9996539061239214,0.9523934965446049
0.9996526392303839,0.9524034419164313
0.9996518308588587,0.9524134840165946
0.9996512083545126,0.9524236261261773
0.999650583143762,0.9524338674642137
0.9996499628993095,0.9524442068334236
0.9996494417861556,0.9524546424711156
0.9996489216932275,0.9524651736180114
0.9996484041894391,0.9524758007344764
0.9996478900914184,0.9524865231141076
0.999647378323319,0.9524973392898097
0.9996468700851069,0.9525082471980538
0.9996463627823691,0.9525192434455304
0.9996457590370995,0.9525303279507018
0.9996449875205053,0.9525414994610972
0.9996438312150082,0.9525527263859741
0.9996430551058461,0.9525640355957404
0.9996425715574049,0.9525754367120995
0.9996420912044168,0.9525869295393672
0.9996416112895037,0.9525985206701086
0.9996408617254496,0.9526102260843139
0.9996394335873734,0.9526220770000615
0.9996380149862873,0.9526341054050537
0.9996305438796752,0.952646294842497
0.9996232083824536,0.9526586298599324
0.9996160004275559,0.9526710717945921
0.9996089075582061,0.9526836010932599
0.9996019106164977,0.9526962126533027
0.9995950177287964,0.9527089056646385
0.9995882109309981,0.9527216818343607
0.9995814927332729,0.9527345453443605
0.9995748670715457,0.9527474904536241
0.9995683275631942,0.9527605169771814
0.9995619886759671,0.9527736157876725
0.9995605592168072,0.9527867804360491
0.9995590567573127,0.952800000185543
0.9995575543803932,0.9528132394669128
0.9995513022527874,0.9528265137162837
0.9995450743820165,0.9528398033770068
0.9995388917543517,0.9528531603258994
0.9995327317921987,0.9528665878973649
0.9995314157353058,0.9528800964797157
0.9995316704250956,0.9528936955956062
0.9995321196899424,0.9529073823311665
0.9995318046697763,0.9529211271919165
0.9995305692469417,0.9529349120773847
0.9995292297911833,0.952948737405788
0.9995235518487239,0.952962608082049
0.9995179513091605,0.9529765291450304
0.9995124051784644,0.9529905000355458
0.9995069095118815,0.9530045134167762
0.9995013016592564,0.9530185744713632
0.9994999954482178,0.9530326773044289
0.999498690381086,0.9530468218536022
0.9994973890046693,0.9530610150035136
0.9994960946453271,0.9530752602224327
0.9994948001441032,0.9530895569297746
0.9994935106675588,0.9531039036938723
0.9994922406427017,0.9531183063150788
0.9994909825333631,0.9531327685585615
0.9994897353439374,0.9531472893579984
0.9941280650937505,0.9531618668394091
0.9909858124291696,0.9531764946462401
0.9884723673706056,0.9531911808828379
0.9086104845973131,0.9532059263926063
0.9086084828459131,0.9532207300079893
0.9086064794192492,0.9532355882743536
0.9086044778497495,0.9532505034907621
0.9086024898877679,0.9532654695964888
0.9086005497400461,0.9532804911208151
0.9065930312695953,0.9532955741267711
0.7414708188823709,0.9533107257701803
0.566304466877981,0.9533259428345044
0.4013775448656839,0.9533412128851589
0.24489885687609744,0.9533565250371054
0.08082914194793722,0.9533718805696642
0.017320776270863005,0.9533872743536076
0.015081497683304761,0.9534027036101428
0.012522756492290716,0.9534181698062195
0.009397528511190287,0.9534336697847311
0.004989521334012663,0.9534492016160014
4.8936310458950605e-06,0.9534647652659465
4.550662724454298e-06,0.9534803617719319
4.543773312976431e-06,0.9534959937190066
4.304889622426784e-06,0.9535116577303744
3.7325403911026442e-06,0.9535273516755247
2.7607077784262995e-06,0.953543077758233
4.636936299848734e-07,0.9535588316294912
3.015659280479242e-06,0.9535746189489361
0.19838332448319548,0.9535904401854945
0.3967646037851084,0.9536063233491509
0.5951460876101535,0.9536225557096134
0.7935275430385422,0.9536386279248379
0.9919080048672217,0.9536545757566688
0.9922106944894676,0.9536705477441197
0.9922133919309359,0.9536865507212423
0.9922162071991711,0.9537025871699715
0.992219013913468,0.953718656158681
0.9922218113412941,0.9537347509672944
0.9922245970729398,0.9537508809276769
0.9922273713802378,0.9537670390968447
0.9922301538624382,0.95378322085931
0.9922329281939648,0.9537994155174302
0.9922356973387574,0.9538156329023448
0.9922384665062927,0.9538318740668823
0.9922412310246038,0.9538481328439516
0.9922440079960846,0.9538644149934573
0.9922468001723709,0.9538807222148724
0.9922496175786477,0.9538970512310169
0.9922524359541223,0.9539133973115231
0.9922552560034276,0.9539297633484171
0.992258083616656,0.9539461475085932
0.9922608887396208,0.9539625543307616
0.9927766554886722,0.9539789878038037
0.9933604079330363,0.953995446794739
0.9946864824509378,0.954011930837605
0.9964385955181,0.9540284379185142
0.9999930396294342,0.9540449677182894
