index,NL -> NO,NL -> BE,NL -> DE,NL -> DK,NL -> UK
2019-01-01 03:00:00+0000,39.0,2288.0,0.0,,297.0
2019-01-01 04:00:00+0000,0.0,2512.0,0.0,,332.0
2019-01-01 05:00:00+0000,0.0,2574.0,0.0,,400.0
2019-01-01 06:00:00+0000,0.0,2464.0,0.0,,433.0
2019-01-01 07:00:00+0000,0.0,2630.0,0.0,,1.0
2019-01-01 08:00:00+0000,0.0,2381.0,0.0,,182.0
2019-01-01 09:00:00+0000,0.0,2381.0,0.0,,782.0
2019-01-01 10:00:00+0000,0.0,2427.0,0.0,,886.0
2019-01-01 11:00:00+0000,0.0,2215.0,0.0,,1009.0
2019-01-01 12:00:00+0000,0.0,2265.0,0.0,,1025.0
2019-01-01 13:00:00+0000,0.0,2096.0,0.0,,1025.0
2019-01-01 14:00:00+0000,0.0,2006.0,0.0,,1025.0
2019-01-01 15:00:00+0000,0.0,1950.0,0.0,,913.0
2019-01-01 16:00:00+0000,0.0,2034.0,0.0,,848.0
2019-01-01 17:00:00+0000,0.0,1758.0,0.0,,1084.0
2019-01-01 18:00:00+0000,164.0,1573.0,0.0,,1086.0
2019-01-01 19:00:00+0000,365.0,1715.0,0.0,,1086.0
2019-01-01 20:00:00+0000,322.0,1327.0,0.0,,1086.0
2019-01-01 21:00:00+0000,51.0,1338.0,0.0,,1025.0
2019-01-01 22:00:00+0000,141.0,1417.0,0.0,,1025.0
2019-01-01 23:00:00+0000,46.0,1173.0,0.0,,974.0
2019-01-02 00:00:00+0000,359.0,1125.0,0.0,,944.0
2019-01-02 01:00:00+0000,367.0,1140.0,0.0,,944.0
2019-01-02 02:00:00+0000,643.0,1068.0,0.0,,944.0
2019-01-02 03:00:00+0000,547.0,1088.0,0.0,,974.0
2019-01-02 04:00:00+0000,712.0,830.0,0.0,,974.0
2019-01-02 05:00:00+0000,273.0,693.0,0.0,,921.0
2019-01-02 06:00:00+0000,0.0,735.0,0.0,,992.0
2019-01-02 07:00:00+0000,0.0,470.0,0.0,,1014.0
2019-01-02 08:00:00+0000,0.0,780.0,0.0,,1085.0
2019-01-02 09:00:00+0000,0.0,874.0,0.0,,994.0
2019-01-02 10:00:00+0000,0.0,930.0,0.0,,1085.0
2019-01-02 11:00:00+0000,0.0,1081.0,0.0,,1024.0
2019-01-02 12:00:00+0000,0.0,917.0,0.0,,964.0
2019-01-02 13:00:00+0000,0.0,725.0,65.0,,1025.0
2019-01-02 14:00:00+0000,0.0,532.0,112.0,,1009.0
2019-01-02 15:00:00+0000,0.0,588.0,268.0,,125.0
2019-01-02 16:00:00+0000,0.0,609.0,110.0,,352.0
2019-01-02 17:00:00+0000,0.0,1338.0,214.0,,359.0
2019-01-02 18:00:00+0000,0.0,1599.0,320.0,,436.0
2019-01-02 19:00:00+0000,0.0,1396.0,380.0,,757.0
2019-01-02 20:00:00+0000,0.0,1674.0,344.0,,595.0
2019-01-02 21:00:00+0000,0.0,1961.0,309.0,,959.0
2019-01-02 22:00:00+0000,0.0,1870.0,243.0,,982.0
2019-01-02 23:00:00+0000,0.0,2363.0,30.0,,1024.0
2019-01-03 00:00:00+0000,377.0,2595.0,0.0,,1085.0
2019-01-03 01:00:00+0000,722.0,2343.0,0.0,,1086.0
2019-01-03 02:00:00+0000,730.0,1915.0,0.0,,1086.0
