Dispa_SET_Time_Step,Biomass_Actual_Aggregated,Biomass_Actual_Consumption,Fossil_Brown_coal-Lignite_Actual_Aggregated,Fossil_Brown_coal-Lignite_Actual_Consumption,Fossil_Coal-derived_gas_Actual_Aggregated,Fossil_Coal-derived_gas_Actual_Consumption,Fossil_Gas_Actual_Aggregated,Fossil_Gas_Actual_Consumption,Fossil_Hard_coal_Actual_Aggregated,Fossil_Hard_coal_Actual_Consumption,Fossil_Oil_Actual_Aggregated,Fossil_Oil_Actual_Consumption,Fossil_Oil_shale_Actual_Aggregated,Fossil_Oil_shale_Actual_Consumption,Fossil_Peat_Actual_Aggregated,Fossil_Peat_Actual_Consumption,Geothermal_Actual_Aggregated,Geothermal_Actual_Consumption,Hydro_Pumped_Storage_Actual_Aggregated,Hydro_Pumped_Storage_Actual_Consumption,Hydro_Run-of-river_and_poundage_Actual_Aggregated,Hydro_Run-of-river_and_poundage_Actual_Consumption,Hydro_Water_Reservoir_Actual_Aggregated,Hydro_Water_Reservoir_Actual_Consumption,Marine_Actual_Aggregated,Marine_Actual_Consumption,Nuclear_Actual_Aggregated,Nuclear_Actual_Consumption,Other_Actual_Aggregated,Other_Actual_Consumption,Other_renewable_Actual_Aggregated,Other_renewable_Actual_Consumption,Solar_Actual_Aggregated,Solar_Actual_Consumption,Waste_Actual_Aggregated,Waste_Actual_Consumption,Wind_Offshore_Actual_Aggregated,Wind_Offshore_Actual_Consumption,Wind_Onshore_Actual_Aggregated,Wind_Onshore_Actual_Consumption
2023-01-01 00:00:00+00:00,4341,,3876,,n/e,n/e,1565,,2053,,306,,n/e,n/e,n/e,n/e,26,,106,890,1202,,59,,n/e,n/e,2458,,187,,103,,0,0,734,,3142,,29288,0
2023-01-01 01:00:00+00:00,4321,,3852,,n/e,n/e,1566,,2039,,305,,n/e,n/e,n/e,n/e,26,,165,3059,1197,,36,,n/e,n/e,2460,,187,,103,,0,0,720,,4039,,28916,0
2023-01-01 02:00:00+00:00,4334,,3879,,n/e,n/e,1545,,2036,,306,,n/e,n/e,n/e,n/e,26,,161,4313,1199,,38,,n/e,n/e,2460,,187,,103,,0,0,716,,3628,,27701,0
2023-01-01 03:00:00+00:00,4345,,3829,,n/e,n/e,1571,,2035,,306,,n/e,n/e,n/e,n/e,26,,161,4338,1194,,76,,n/e,n/e,2461,,187,,103,,0,0,721,,3286,,26954,0
2023-01-01 04:00:00+00:00,4358,,3831,,n/e,n/e,1504,,2033,,306,,n/e,n/e,n/e,n/e,26,,159,4961,1190,,30,,n/e,n/e,2465,,187,,103,,0,0,715,,3391,,27321,0
2023-01-01 05:00:00+00:00,4403,,3779,,n/e,n/e,1568,,2036,,306,,n/e,n/e,n/e,n/e,26,,169,5316,1188,,24,,n/e,n/e,2464,,187,,103,,0,0,714,,3385,,26774,0
2023-01-01 06:00:00+00:00,4441,,3825,,n/e,n/e,1559,,2032,,306,,n/e,n/e,n/e,n/e,26,,166,4491,1181,,75,,n/e,n/e,2465,,187,,103,,0,0,716,,3574,,27251,0
2023-01-01 07:00:00+00:00,4489,,3794,,n/e,n/e,1568,,2034,,306,,n/e,n/e,n/e,n/e,26,,161,3581,1178,,93,,n/e,n/e,2464,,188,,103,,7,0,729,,3118,,26810,0
2023-01-01 08:00:00+00:00,4524,,3771,,n/e,n/e,1556,,2049,,304,,n/e,n/e,n/e,n/e,26,,18,2217,1192,,53,,n/e,n/e,2466,,188,,103,,2327,0,721,,3473,,25353,0
2023-01-01 09:00:00+00:00,4536,,3818,,n/e,n/e,1535,,1999,,309,,n/e,n/e,n/e,n/e,25,,233,1875,1202,,49,,n/e,n/e,2465,,188,,103,,5635,0,712,,3416,,24900,0
2023-01-01 10:00:00+00:00,4543,,3826,,n/e,n/e,1529,,1998,,308,,n/e,n/e,n/e,n/e,24,,240,1634,1201,,154,,n/e,n/e,2461,,188,,103,,8279,0,715,,3443,,23093,0
2023-01-01 11:00:00+00:00,4503,,3817,,n/e,n/e,1514,,2023,,308,,n/e,n/e,n/e,n/e,23,,481,1246,1203,,109,,n/e,n/e,2462,,187,,103,,9296,0,723,,3563,,22451,0
2023-01-01 12:00:00+00:00,4485,,3917,,n/e,n/e,1504,,2042,,308,,n/e,n/e,n/e,n/e,22,,118,1956,1199,,37,,n/e,n/e,2456,,188,,103,,8915,0,728,,3970,,20959,0
2023-01-01 13:00:00+00:00,4379,,4061,,n/e,n/e,1537,,2054,,308,,n/e,n/e,n/e,n/e,22,,337,2608,1186,,48,,n/e,n/e,2456,,187,,103,,6426,0,737,,6146,,20730,0
2023-01-01 14:00:00+00:00,4543,,4068,,n/e,n/e,1520,,2057,,308,,n/e,n/e,n/e,n/e,23,,580,1755,1175,,67,,n/e,n/e,2451,,187,,103,,3096,0,737,,6711,,21805,0
2023-01-01 15:00:00+00:00,4624,,4243,,n/e,n/e,1619,,2296,,308,,n/e,n/e,n/e,n/e,24,,705,207,1164,,46,,n/e,n/e,2451,,187,,103,,327,0,711,,6671,,21585,0
2023-01-01 16:00:00+00:00,4699,,4147,,n/e,n/e,1586,,2308,,308,,n/e,n/e,n/e,n/e,25,,2335,149,1169,,123,,n/e,n/e,2456,,187,,103,,0,0,739,,6590,,19871,0
2023-01-01 17:00:00+00:00,4717,,4505,,n/e,n/e,1668,,2275,,308,,n/e,n/e,n/e,n/e,26,,3338,328,1167,,37,,n/e,n/e,2458,,187,,103,,0,0,747,,6286,,19748,0
2023-01-01 18:00:00+00:00,4686,,4494,,n/e,n/e,1644,,2410,,308,,n/e,n/e,n/e,n/e,26,,3547,372,1165,,79,,n/e,n/e,2459,,194,,106,,0,0,739,,6202,,19026,0
2023-01-01 19:00:00+00:00,4633,,4504,,n/e,n/e,1664,,2249,,308,,n/e,n/e,n/e,n/e,26,,2627,163,1162,,61,,n/e,n/e,2461,,187,,103,,0,0,743,,5630,,19391,0
2023-01-01 20:00:00+00:00,4584,,4547,,n/e,n/e,1620,,1901,,308,,n/e,n/e,n/e,n/e,26,,1664,243,1160,,15,,n/e,n/e,2461,,187,,103,,0,0,736,,6164,,19944,0
2023-01-01 21:00:00+00:00,4519,,4504,,n/e,n/e,1646,,1909,,304,,n/e,n/e,n/e,n/e,27,,1561,281,1158,,74,,n/e,n/e,2461,,188,,103,,0,0,742,,5599,,18730,0
2023-01-01 22:00:00+00:00,4456,,4598,,n/e,n/e,1670,,1875,,304,,n/e,n/e,n/e,n/e,27,,996,232,1150,,36,,n/e,n/e,2460,,188,,103,,0,0,741,,4952,,18089,0
2023-01-01 23:00:00+00:00,4358,,4726,,n/e,n/e,1722,,1988,,306,,n/e,n/e,n/e,n/e,27,,45,2289,1151,,60,,n/e,n/e,2463,,186,,103,,0,0,741,,3878,,18412,0
2023-01-02 00:00:00+00:00,4332,,4735,,n/e,n/e,1676,,1973,,306,,n/e,n/e,n/e,n/e,27,,268,3697,1167,,74,,n/e,n/e,2459,,186,,103,,0,0,737,,1929,,18947,0
2023-01-02 01:00:00+00:00,4316,,4747,,n/e,n/e,1716,,2015,,306,,n/e,n/e,n/e,n/e,27,,175,3752,1169,,97,,n/e,n/e,2461,,186,,103,,0,0,724,,1368,,20212,0
2023-01-02 02:00:00+00:00,4316,,4797,,n/e,n/e,1707,,2011,,306,,n/e,n/e,n/e,n/e,27,,170,4696,1170,,97,,n/e,n/e,2460,,186,,103,,0,0,716,,917,,21872,0
2023-01-02 03:00:00+00:00,4351,,5122,,n/e,n/e,1731,,2053,,306,,n/e,n/e,n/e,n/e,28,,172,4553,1170,,112,,n/e,n/e,2459,,186,,103,,0,0,720,,705,,24070,0
2023-01-02 04:00:00+00:00,4396,,6248,,n/e,n/e,1765,,2119,,306,,n/e,n/e,n/e,n/e,27,,159,5505,1173,,104,,n/e,n/e,2457,,189,,104,,0,0,703,,736,,25290,0
2023-01-02 05:00:00+00:00,4474,,7182,,n/e,n/e,1940,,2220,,306,,n/e,n/e,n/e,n/e,26,,157,3195,1155,,71,,n/e,n/e,2461,,190,,104,,0,0,744,,1087,,27163,0
2023-01-02 06:00:00+00:00,4583,,9627,,n/e,n/e,2066,,2653,,306,,n/e,n/e,n/e,n/e,25,,561,1348,1155,,24,,n/e,n/e,2462,,194,,106,,0,0,730,,1218,,28508,0
2023-01-02 07:00:00+00:00,4674,,10596,,n/e,n/e,2062,,2847,,306,,n/e,n/e,n/e,n/e,25,,964,1028,1157,,35,,n/e,n/e,2463,,194,,106,,7,0,750,,1529,,30279,0
2023-01-02 08:00:00+00:00,4714,,11444,,n/e,n/e,2190,,3092,,306,,n/e,n/e,n/e,n/e,25,,1122,465,1172,,49,,n/e,n/e,2462,,194,,106,,1835,0,768,,1964,,30725,0
2023-01-02 09:00:00+00:00,4714,,12358,,n/e,n/e,2303,,3389,,306,,n/e,n/e,n/e,n/e,25,,2637,278,1190,,114,,n/e,n/e,2465,,199,,109,,4535,0,770,,2096,,29155,0
2023-01-02 10:00:00+00:00,4703,,12575,,n/e,n/e,2345,,3662,,306,,n/e,n/e,n/e,n/e,24,,1914,14,1198,,111,,n/e,n/e,2466,,211,,114,,6969,0,763,,2865,,27431,0
2023-01-02 11:00:00+00:00,4670,,12635,,n/e,n/e,2289,,3478,,306,,n/e,n/e,n/e,n/e,23,,1522,254,1210,,44,,n/e,n/e,2464,,209,,113,,7733,0,766,,3279,,26967,0
2023-01-02 12:00:00+00:00,4649,,12994,,n/e,n/e,2128,,3455,,306,,n/e,n/e,n/e,n/e,23,,478,351,1194,,58,,n/e,n/e,2462,,236,,107,,6854,0,779,,3988,,26335,0
2023-01-02 13:00:00+00:00,4650,,13180,,n/e,n/e,2245,,3707,,306,,n/e,n/e,n/e,n/e,24,,446,918,1175,,42,,n/e,n/e,2459,,236,,107,,4381,0,763,,5311,,25114,0
2023-01-02 14:00:00+00:00,4691,,13383,,n/e,n/e,2532,,3759,,306,,n/e,n/e,n/e,n/e,23,,218,216,1166,,33,,n/e,n/e,2459,,251,,114,,1786,0,767,,5950,,23658,0
2023-01-02 15:00:00+00:00,4797,,13375,,n/e,n/e,2664,,3938,,306,,n/e,n/e,n/e,n/e,24,,801,302,1167,,48,,n/e,n/e,2458,,251,,114,,146,0,781,,6148,,23138,0
2023-01-02 16:00:00+00:00,4891,,13418,,n/e,n/e,2798,,4154,,306,,n/e,n/e,n/e,n/e,24,,4885,60,1179,,44,,n/e,n/e,2457,,251,,114,,0,0,782,,6435,,22143,0
2023-01-02 17:00:00+00:00,4923,,13387,,n/e,n/e,2803,,4291,,306,,n/e,n/e,n/e,n/e,25,,6055,315,1186,,55,,n/e,n/e,2457,,251,,114,,0,0,780,,6233,,23108,0
2023-01-02 18:00:00+00:00,4891,,13402,,n/e,n/e,2788,,4386,,306,,n/e,n/e,n/e,n/e,25,,5536,230,1194,,110,,n/e,n/e,2456,,252,,114,,0,0,780,,6181,,23111,0
2023-01-02 19:00:00+00:00,4806,,13410,,n/e,n/e,2802,,4277,,306,,n/e,n/e,n/e,n/e,25,,2183,239,1204,,32,,n/e,n/e,2459,,252,,114,,0,0,780,,5738,,22223,0
2023-01-02 20:00:00+00:00,4695,,13453,,n/e,n/e,2694,,4025,,306,,n/e,n/e,n/e,n/e,25,,1017,407,1212,,51,,n/e,n/e,2457,,252,,114,,0,0,773,,5773,,21680,0
2023-01-02 21:00:00+00:00,4592,,13481,,n/e,n/e,2629,,3832,,306,,n/e,n/e,n/e,n/e,26,,481,114,1220,,91,,n/e,n/e,2457,,252,,114,,0,0,778,,5232,,20460,0
2023-01-02 22:00:00+00:00,4568,,13462,,n/e,n/e,2557,,3367,,306,,n/e,n/e,n/e,n/e,26,,206,331,1231,,101,,n/e,n/e,2457,,252,,114,,0,0,767,,5016,,19904,0
