snapshot,BE1 0 PHS,BE1 0 hydro,DE1 0 PHS,DE1 0 hydro,FR1 0 PHS,FR1 0 hydro,GB0 0 PHS,GB0 0 hydro
2013-01-01 00:00:00,5705.393044973961,98533.52384202616,42147.68058693093,64298.170461188,84095.61414889677,7374079.469516139,6998.003034499118,135040.93021402438
2013-01-01 01:00:00,5705.603175647164,98550.13541174852,42147.86819970518,64526.91895251861,84095.68046680144,7377514.596568668,6997.960022747327,135125.4992776722
2013-01-01 02:00:00,5705.823920141758,98566.84161395582,42148.06641734891,64755.999008735365,84095.7469902368,7380964.182326257,6997.945037113483,135210.10027229134
2013-01-01 03:00:00,5706.054304473879,98583.65507725552,42148.27612177781,64985.35838750721,84095.81388660485,7384439.360291669,6997.931514196677,135294.77533492664
2013-01-01 04:00:00,5706.105574449559,98600.80176761893,42148.501117182015,65215.114584461924,84095.88091915015,7387960.2053405205,6997.919376876286,135379.5655446952
2013-01-01 05:00:00,5706.155380791915,98618.46875987641,42148.57651520869,65445.51908166725,84095.94880545125,7391534.746822756,6997.908652241006,135464.45278379798
2013-01-01 06:00:00,5706.206046155964,98636.73144057018,42148.651980073715,65676.97117848469,84096.01644319075,7395169.704227542,6997.899268821779,135549.46896874893
2013-01-01 07:00:00,5706.258510572671,98655.1157133275,42148.730279692674,65909.41997873789,84096.08633595008,7398868.816446741,6997.891166721058,135634.65974715256
2013-01-01 08:00:00,5706.312439171748,98673.59352921626,42149.04851986165,66143.14085184199,84096.15367807682,7402643.026685268,6997.8843334083995,135720.0225147086
2013-01-01 09:00:00,5706.36718149369,98692.14358920007,42149.405500850175,66378.3392092019,84096.29004542138,7406491.104297105,6997.878530818636,135805.5380346282
2013-01-01 10:00:00,5706.70723386687,98711.30397178832,42149.82676251491,66615.31893210382,84099.47121568341,7410401.566493273,6997.873759845162,135891.1743423199
2013-01-01 11:00:00,5707.167306689352,98730.45358718332,42150.36310990611,66854.64525936748,84103.596937896,7414361.84340897,6997.87027478396,135976.8950526097
2013-01-01 12:00:00,5707.720980260746,98749.53195760495,42150.913217539804,67096.58786394936,84111.3945606011,7418381.3095974,6997.868100550376,136062.70084525473
2013-01-01 13:00:00,5708.464575182904,98768.3186525223,42151.05247778523,67341.46942649165,84111.99451191323,7422472.228006395,6997.867305294167,136148.60233799345
