,CCGT,CHP,DAC,H2 turbine,Imports_Exports,OCGT,battery storage,distribution network,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,6.14475768740125E-06,2.35856753811779E-05,-3.39235908127999,4.74454854996422E-06,-3.16368097020793,2.09551482570823E-06,-1.92693169452748,-32.7236457384749,43.1215164075475,46.2546778506958,-48.1695487220904,0,0,-2.57420014295349E-05,-3.08583153680852E-05,1.08346574044565E-05
2013-01-01 01:00:00,6.18598462390191E-06,2.42465938452682E-05,-3.39235906249393,4.7888964906846E-06,-3.13712154315371,2.10711105787447E-06,0.000916753380203228,-32.7236451011894,40.1092711231638,45.8211001732473,-46.6781385460429,0,0,-2.46663309785617E-05,-2.96578997163008E-05,1.08071695210443E-05
2013-01-01 02:00:00,6.18572080525767E-06,2.4216011332923E-05,-3.39235906386206,4.78882192252857E-06,-3.10741488901724,2.10727706427236E-06,0.000512405836525712,-32.7236451431178,41.5571766891247,44.6819037780927,-47.016149951437,0,0,-2.46385035729872E-05,-2.96897940132148E-05,1.08080139210009E-05
2013-01-01 03:00:00,6.18549240610442E-06,2.42291998689664E-05,-3.39235905856004,4.79225851106239E-06,-3.11060834543266,2.10721562039773E-06,0.000330143584691761,-32.723645241639,41.9885498562064,40.8112904126967,-43.5735341499865,0,0,-2.45057451315915E-05,-2.96865726745038E-05,1.08413887939036E-05
2013-01-01 04:00:00,6.22750528060623E-06,2.44699601002155E-05,-3.39235901448075,4.8423386097418E-06,-2.955800979507,2.13345379878314E-06,0.000257231844590766,-32.7236452151169,35.9659892461158,31.7437960862129,-28.6382160728674,0,0,-2.39579089369499E-05,-2.86662023480318E-05,1.09766707260927E-05
2013-01-01 05:00:00,6.209929493363E-06,2.43997783609062E-05,-3.39235902274132,4.82463747409386E-06,-2.89629533802711,2.12077181128069E-06,0.000174523724308418,-32.7236450402779,37.3866711333477,24.8681124655868,-23.2426384521303,0,0,-2.3593742903131E-05,-2.77483533470073E-05,1.08689254301943E-05
2013-01-01 06:00:00,6.20422529422108E-06,4.43153149910771E-05,-3.39235765949313,4.822392871824E-06,-2.75393422691556,2.11600626130368E-06,0.00010296547049728,-32.7236497442458,41.203850862209,18.9441064257329,-21.2781148482374,0,0,-2.32961647330399E-05,-2.79486861493062E-05,7.35733509364317E-06
2013-01-01 07:00:00,6.1895558657343E-06,4.40600375873519E-05,-3.39235775697285,4.81219597629397E-06,-2.66662655793166,2.10525428443785E-06,3.06704699666239E-05,-32.7236497601751,45.44583866816,16.8595259657257,-23.5227560764568,0,0,-2.32099575198958E-05,-2.91385676014463E-05,7.43006177621927E-06
2013-01-01 08:00:00,6.18349354069073E-06,4.41066391488473E-05,-3.39235773361356,4.81297488236609E-06,-2.64062242836026,2.10048407301958E-06,-3.75417163984541E-05,-32.7236499002102,47.1930515418256,16.5840581647728,-25.0204366132233,0,0,-2.31855757770063E-05,-2.95132748411068E-05,7.38544312602818E-06
2013-01-01 09:00:00,6.19952997767545E-06,2.45063453034536E-05,-3.39235901752316,4.84483155222652E-06,-2.62379038928734,2.11134551894776E-06,-0.0001361310874054,-32.7236454100889,47.2171723536998,17.3002522563702,-28.6311145002203,2.85368386899378,-4.15588782680684E-05,-2.3236722100421E-05,-2.9493711140372E-05,1.09295303720146E-05
2013-01-01 10:00:00,6.19992940910644E-06,2.45535032345412E-05,-3.39235901131209,4.85146097644581E-06,-2.49074965725253,2.11061297433834E-06,-0.000211084455192841,-32.723645592501,48.410311000324,14.9469102627219,-27.5883617985749,2.83816836317197,-4.14769789509892E-05,-2.29589161157833E-05,-2.94511270813683E-05,1.09599050233329E-05
2013-01-01 11:00:00,6.20649357958819E-06,2.46198518533839E-05,-3.39235900598555,4.86443423815681E-06,-2.60326248527834,2.11539008851814E-06,-0.000329098963803735,-32.7236455326908,48.7791045850569,14.9137299710541,-29.2498756119808,4.27670011751128,-4.20976216564209E-05,-2.29463858744339E-05,-2.95527302028921E-05,1.1117474923968E-05
2013-01-01 12:00:00,6.21754662404404E-06,2.47238566495785E-05,-3.3923589919883,4.88045312568116E-06,-2.76691497864873,2.12426984136313E-06,-0.000494030754074262,-32.7236451449143,49.1417042708645,18.7014412762075,-34.5580967363054,5.59843338636289,-4.79793562632302E-05,-2.33212793292523E-05,-0.0000296650972092001,1.12446421798436E-05
2013-01-01 13:00:00,6.20994011271917E-06,2.46758732097885E-05,-3.39235899776957,4.86605494428801E-06,-2.76666615428388,2.11963060467057E-06,-0.000781033613739926,-32.7236452340194,49.1815758912657,21.8919232149324,-37.7632137801685,5.57324206548246,-5.45304786649018E-05,-2.35081093759391E-05,-2.97111938185961E-05,1.12129379576232E-05
2013-01-01 14:00:00,6.19333817519766E-06,2.45043131615445E-05,-3.39235900463652,4.83831702127543E-06,-10.1881426058254,2.10899517608236E-06,-0.00178037076102971,-32.7236455287741,49.1947191552194,21.6574752995411,-27.8557034985308,3.30950106023789,-4.19250210483461E-05,-2.35157198844718E-05,-2.97338521156485E-05,1.09700430111507E-05
2013-01-01 15:00:00,6.31100010805679E-06,3.90951709862964E-05,-3.39235776495489,4.41167660481915E-06,-20.483131732251,2.12971732424309E-06,0.00128633241057386,-32.7236503494356,49.2012568354567,22.0508975843516,-14.6542971972048,0,0,-2.06441358977827E-05,-2.6306480846104E-05,5.68314376847457E-06
2013-01-01 16:00:00,6.31329434196502E-06,3.90570568310097E-05,-3.39235777899014,4.411441324334E-06,-20.8996574986297,2.13230509609838E-06,0.000545991256145507,-32.7236506576215,49.2082790898766,23.3653899457882,-15.5585450514616,0,0,-2.07169875718591E-05,-2.63262068891212E-05,5.52878271469875E-06
2013-01-01 17:00:00,6.31580751789307E-06,3.90855546699971E-05,-3.39235776032001,4.41230588073587E-06,-20.6329556893056,2.13523272341848E-06,0.000320901055702627,-32.7236506248305,49.2153654750268,26.0405368031679,-18.5072549146697,0,0,-2.08534868854713E-05,-2.63454239071776E-05,5.51705550647985E-06
2013-01-01 18:00:00,6.31744020403253E-06,3.90238690885901E-05,-3.39235778644495,4.41325846066925E-06,-21.1975784079927,2.13740396731857E-06,0.00018696064105034,-32.7236503363564,49.2144996125422,27.4813121993172,-19.3824079094124,0,0,-2.09356966594214E-05,-2.63599397148507E-05,5.54172624345665E-06
2013-01-01 19:00:00,6.31868688701844E-06,3.91770650882926E-05,-3.39235771007541,4.4145316681812E-06,-21.0312245913434,2.13908551898881E-06,8.75138979626712E-05,-32.723648684216,49.218374594013,27.733033959653,-19.8042628446301,0,0,-2.09585488183848E-05,-2.6373898840962E-05,7.53827570549002E-06
2013-01-01 20:00:00,6.31777236914466E-06,2.08627449393254E-05,-3.39235893491717,4.4134777719106E-06,-20.9415386702594,2.1395132370007E-06,-4.15809724278643E-06,-32.723642893005,49.2190212782243,29.9597257807966,-22.1211848111156,0,0,-2.10939175244675E-05,-2.63964217322804E-05,1.06649627592704E-05
2013-01-01 21:00:00,6.31713544161087E-06,2.08519167444248E-05,-3.39235893442373,4.41230569230843E-06,-20.3878555048973,2.13993844479193E-06,-9.78503499210619E-05,-32.7236431791232,49.2194845960869,32.3929308514586,-25.1084423025054,0,0,-2.12519364182526E-05,-2.64171089017876E-05,1.07697722185562E-05
2013-01-01 22:00:00,6.3127986170366E-06,2.08251322820101E-05,-3.39235893986194,4.40739257919762E-06,-19.6736547850418,2.1376157877814E-06,-0.000210365088838357,-32.7236432489423,49.21961527252,35.0588386275368,-28.4885686864677,0,0,-2.13781833963367E-05,-2.64505990822933E-05,1.0822967700728E-05
2013-01-01 23:00:00,6.31513871337248E-06,2.08463525513779E-05,-3.39235893319383,4.40937694922906E-06,-19.897402854777,2.13959281747541E-06,-0.000353303658761582,-32.7236431594882,49.2191688666835,32.8149813180326,-26.0203742258101,0,0,-2.1305448646217E-05,-2.64467311792736E-05,1.08312687576848E-05
2013-01-02 00:00:00,6.3211019343351E-06,2.08205406006595E-05,-3.39235892702394,4.40450708798612E-06,-20.7674014060753,2.14159246150428E-06,-0.00032144848256619,-32.7236429576853,49.2142393116075,27.829512013912,-20.1600093556276,0,0,-2.09343114729563E-05,-2.63434685593565E-05,1.07753711001098E-05
2013-01-02 01:00:00,6.32063135156484E-06,2.08051620744581E-05,-3.39235892392914,4.39856778960057E-06,-19.558403451769,2.14059226337309E-06,-0.00052861361880316,-32.7236428682046,49.2052152424644,27.4372815114468,-20.9675457492211,0,0,-2.088085363755E-05,-2.62997904870138E-05,1.07384233240036E-05
2013-01-02 02:00:00,6.34834841287543E-06,2.02671327302263E-05,-3.39235890808143,4.31745167867522E-06,-19.4267530672347,2.14672105214905E-06,0.000294729450634975,-32.7236422176881,49.1864409922389,25.7705758248386,-19.414541560125,0,0,-2.02991859165422E-05,-2.5697414569101E-05,1.07302737208524E-05
2013-01-02 03:00:00,6.34509103306121E-06,2.02905412837867E-05,-3.39235890239302,4.31466570825267E-06,-19.1077813808762,2.14463240855499E-06,7.92195511261786E-05,-32.7236421605398,49.1088976747292,22.2544852986065,-16.1396641443906,0,0,-2.01681044590032E-05,-2.56870101035676E-05,1.07684178966065E-05
2013-01-02 04:00:00,6.34362380596519E-06,2.03165473435377E-05,-3.39235889715918,4.31326804629437E-06,-18.9119480480911,2.14329824486683E-06,-7.5422511967064E-05,-32.7236420170452,49.0325180533874,22.0801048456233,-16.084583109056,0,0,-2.01706479557515E-05,-2.56602902885721E-05,1.08987403924485E-05
2013-01-02 05:00:00,6.34310199579433E-06,3.8020405921156E-05,-3.39235755407761,4.31234802559943E-06,-18.7234937517716,2.1421892514826E-06,-0.000237093247629122,-32.7236484271387,48.8934373328769,23.0401138681325,-17.093813398394,0,0,-2.02109978573617E-05,-2.56077428350423E-05,7.60571396120248E-06
2013-01-02 06:00:00,6.34315899928798E-06,3.78326124288379E-05,-3.39235768842491,4.31144163661466E-06,-18.4499678405336,2.14122103259294E-06,-0.000538143144077353,-32.7236485457457,47.7399064661414,21.5563099564578,-14.7297035586742,0,0,-2.01425733779388E-05,-2.53326066726291E-05,7.74625019387281E-06
2013-01-02 07:00:00,6.40249321535067E-06,3.94126559639175E-05,-3.39235757489437,4.36769624131155E-06,-18.1395762933282,2.15798063087637E-06,1.21503437351642,-32.7236504086498,44.2362271163492,20.1132800716753,-11.3089598025948,0,0,-1.92259988778005E-05,-2.3909779329147E-05,5.65090835583078E-06
