,CCGT,CHP,DAC,H2 turbine,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,3.3570626852484E-06,0.238334937985387,-0.599999097430976,5.22027747514058E-06,2.42237575391113,1.46251660404909E-06,-2.05016076957137,-21.3564924938943,0.0587810208471312,0.0785276487604617,7.08399991195114,14.2012852846866,-0.0765948279540988,0,0,-2.30773331865066E-05,-2.28763677744155E-05,1.52501492447531E-05
2013-01-01 01:00:00,3.35803712533179E-06,0.238326666545082,-0.599999097648782,5.2162933912851E-06,2.20646206044079,1.46333345071694E-06,-1.56154036406611,-21.3564905415184,0.058769155790292,0.0785276342878619,7.08399991195114,13.9285980453142,-0.0765961132648672,0,0,-2.30583394295536E-05,-2.28889731424715E-05,1.52617242310189E-05
2013-01-01 02:00:00,3.357984063732E-06,0.238295500784908,-0.599999097499287,5.21647358179147E-06,2.20221277080324,1.46337014258719E-06,-1.05788535520143,-21.3564916148579,0.0587569165277077,0.0785276390118589,7.08399991195114,13.4292338696276,-0.0765932071308752,0,0,-2.30043057379135E-05,-2.28940721789286E-05,1.52425887989374E-05
2013-01-01 03:00:00,3.35787345277502E-06,0.238295663479375,-0.599999097364867,5.22045108315629E-06,2.39863813530849,1.46322112369813E-06,-0.613955578357453,-21.3564963333462,0.0587457953834344,0.0785276490666712,7.07856354925742,12.7943198089334,-0.076582165885514,0,0,-2.29119070576189E-05,-2.28792158548003E-05,1.50459094097909E-05
2013-01-01 04:00:00,3.37411440587059E-06,0.238314842772456,-0.5999990953797,5.28714137000847E-06,2.56742438150095,1.46842191662632E-06,0.00388905804265749,-21.356489813329,0.0589523101698901,0.0785286974816801,6.83407073781572,12.251563586536,-0.076199963635419,0,0,-2.19221916516403E-05,-2.19472420509419E-05,1.51213419737494E-05
2013-01-01 05:00:00,3.37295647666109E-06,0.238319938938287,-0.599999095277599,5.29127390267734E-06,2.416765494056,1.46756595629336E-06,1.35901641760036,-21.3564872440929,0.0589540067100453,0.0785287677935455,6.4506824273763,11.4304680637256,-0.0761944116475632,0,0,-2.17646662424045E-05,-2.18157039967082E-05,1.52034922511064E-05
2013-01-01 06:00:00,3.37557638657895E-06,0.238320823888765,-0.599999093228974,5.30006991237032E-06,2.24926478168107,1.46876865677878E-06,2.17289211685727,-21.3564875192829,0.0589530267349101,0.078528795592171,6.73150368150864,10.5032696392262,-0.0761920479119439,0,0,-2.16741320110145E-05,-2.17576449657599E-05,1.52240897861395E-05
2013-01-01 07:00:00,3.37359018143548E-06,0.381767228876531,-0.599999022666243,5.30481193268335E-06,2.03408707071356,1.46673790240131E-06,2.56965761984216,-21.3565118213045,0.0589509806888425,0.0785287945578738,7.06442700327266,9.84534411092591,-0.0761931058499614,0,0,-2.15228285012472E-05,-2.18484177091796E-05,1.05450048929304E-05
2013-01-01 08:00:00,3.37967043132502E-06,0.238324677865008,-0.599999093389844,5.32394051916505E-06,1.90885661546813,1.46890843793947E-06,2.8792282227504,-21.3564888762277,0.0589493223786181,0.078528833631802,7.07948515077402,9.52992652905484,-0.0761950189667997,0.259472337172196,-3.47796352759044E-05,-2.14430967991461E-05,-2.1865803390483E-05,1.54185243703478E-05
2013-01-01 09:00:00,3.39127602788753E-06,0.238326984546277,-0.599999093055833,5.35236212594214E-06,3.82640300281407,1.47380295125453E-06,0.72719805256101,-21.3564914795399,0.0589483944286427,0.0785288846650981,7.08288787082729,8.93688832966039,-0.0761985935872926,1.08359807428949,-3.69975437588567E-05,-2.12861953677361E-05,-2.19063673764595E-05,1.57486649189438E-05
