,CCGT,CHP,DAC,H2 turbine,Imports_Exports,OCGT,battery storage,coal,distribution network,hydroelectricity,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,7.18504176569832E-06,2.42101978285629,-3.04614378893795,4.52742273419074E-06,5.65775903674726,2.82530034752283E-06,-19.425772905576,1.35251906936574E-06,-112.758572201084,2.13332952635443,25.8174276063938,138.748298860151,-39.5473365466634,0,0,-2.7609638379042E-05,-2.35731082735005E-05,1.36779823344395E-05
2013-01-01 01:00:00,7.18294912309164E-06,2.42102262750683,-3.04614378885942,4.51762814860754E-06,5.45787778045078,2.82409387742215E-06,-16.0355865486173,1.35237744023663E-06,-112.758573009782,2.13558905522116,23.2317965863074,138.141362684709,-39.5473363401133,0,0,-2.76119675780995E-05,-2.35046970020831E-05,1.39385812527042E-05
2013-01-01 02:00:00,7.16502447983934E-06,2.42102699753923,-3.04614378768006,4.49811343242342E-06,5.39337527878165,2.81365917814915E-06,-11.2953449093426,1.35133139252116E-06,-112.758573030818,2.13867225051375,20.751532480351,135.942800510629,-39.5473367154958,0,0,-2.76521273166794E-05,-2.34958034964533E-05,1.39948066445607E-05
2013-01-01 03:00:00,7.16306179669257E-06,2.42103150032103,-3.04614378760358,4.4993654341364E-06,5.46510167178823,2.81192546169424E-06,-12.813122281425,1.35132895314738E-06,-112.758574041613,2.14126691306715,21.5419405276925,136.595844738313,-39.5473358719861,0,0,-2.76559723747301E-05,-2.35176907917522E-05,1.37287901217903E-05
2013-01-01 04:00:00,7.15563776850089E-06,2.42103677339829,-3.04614378939945,4.49643479999116E-06,5.30401355489699,2.80735214164778E-06,-6.10386303868389,1.35098723034991E-06,-112.758575404376,2.14495404958204,20.5744779902027,131.011448030192,-39.5473381696406,0,0,-2.76105741276692E-05,-2.35051224763419E-05,1.30733944326461E-05
2013-01-01 05:00:00,7.15590285894776E-06,2.4211168279582,-3.04614377935221,4.49873330981226E-06,5.18604914259191,2.79706258394435E-06,0.000174998073036276,1.35178209041414E-06,-112.758573976256,2.15118699673847,19.1394722961129,126.443562964077,-39.5368374618838,0,0,-2.69771345214577E-05,-2.29477764381164E-05,1.30962147536466E-05
2013-01-01 06:00:00,7.15809935080681E-06,2.42126717917859,-3.04614343608732,4.50544091001886E-06,5.0356389792363,2.79654030173662E-06,0.000194705619030905,1.35227952696551E-06,-112.758596091155,2.1609679503348,18.0654306938845,118.430291846664,-30.3090408756472,0,0,-2.67958293713204E-05,-2.26494041591812E-05,9.63465166225382E-06
2013-01-01 07:00:00,7.15939896853781E-06,2.42126844314654,-3.04614339557605,4.51430422608837E-06,4.86430478879571,2.79592603179293E-06,0.000192748129368469,1.35271723490991E-06,-112.758597163499,2.17027029633136,18.5463925702328,113.919727863326,-26.1174052818594,0,0,-2.66663934823127E-05,-2.2476486822088E-05,9.41099416865305E-06
2013-01-01 08:00:00,7.16256807792897E-06,2.42105478558606,-3.0461437771952,4.52808170716977E-06,4.77031473341325,2.80636898431786E-06,-2.65370902380661,1.35266189860465E-06,-112.758577157856,2.18186220099224,19.6444034042288,107.930247591569,-39.5473424693624,21.0579419311568,-4.4656417004566E-05,-2.69689197810006E-05,-2.28046047988195E-05,1.41164706698674E-05
2013-01-01 09:00:00,7.19173615439049E-06,2.42105618185125,-3.04614377764144,4.56660729530353E-06,6.10463897132385,2.8211926684394E-06,-18.734898591309,1.35486487739443E-06,-112.758575401071,2.19561223682429,20.0851440295627,104.740748103104,-39.5473272431821,38.5397991015641,-4.67680582221086E-05,-2.66525056008258E-05,-2.26411459899984E-05,1.43529963896435E-05
