,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Paksi Atomerőmű,1916.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SINERGYR,680.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ewiser szabályozó központ,374.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BÖRZE szabályozási központ,342.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MVMZGuz,259.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MECSPVuz,234.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BUZSPVuz,61.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VLTRCK1uz,51.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaposvár Keleti naperőmű,49.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaposvár Nyugati naperőmű,49.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPUSPV,47.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VPPPV szabályozó központ,36.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bükkábrányi naperőmű,20.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MVMZG2uz,20.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NYPAZPVuz,20.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUGRPVuz,20.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DUNAPVSZK,17.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tüskésréti Naperőmű (Pécs),10.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Győri AUDI naperőmű,10.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOL DUFI naperőmű,6.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOL Tiszaújváros MPK naperőmű,6.0,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SARFPV1uz,,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SARFPV2uz,,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AJKAPV,,1.0,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tiszai Erőmű,,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oroszlányi Erőmű,,1.0,IE,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
