Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Moneypoint Production,855.0,1.0,IE,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Huntstown Production,744.0,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aghada Prod,678.0,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tarbert Production,594.0,1.0,IE,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poolbeg Production,490.0,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Whitegate Prod,435.0,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dublin Bay Prod,405.0,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tynagh Production,404.0,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Turlough Hill,392.0,1.0,IE,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Great Island Prod,313.0,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Wall Production,271.0,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poolbeg A,238.0,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poolbeg B,230.0,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aughinish Alumnia(Sealrock),170.0,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Offaly Production,135.0,1.0,IE,,,STUR,PEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edenderry Prod,118.0,1.0,IE,,,STUR,PEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cushaling Production,112.0,1.0,IE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tawnaghmore Production,104.0,1.0,IE,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhode Island Production,104.0,1.0,IE,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lanesboro Production,91.0,1.0,IE,,,STUR,PEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ardnacrucha Production Unit,86.0,1.0,IE,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ERNE Production,64.0,1.0,IE,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liffey Production,38.0,1.0,IE,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LEE Production,27.0,1.0,IE,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_WIN,1919.0,,,,,,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
