,CCGT,CHP,H2 turbine,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,oil,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,4.28625408583905E-05,1.52862204569626,5.18506453019356E-06,14.2436077132166,6.93265689169521E-06,-8.14155939590849,-77.4856599430076,1.95956351230858,18.651671180051,25.6513038493162,1.38691994987903E-06,23.592558104698,-9.54129711746778E-05,0,0,-3.8897116032274E-05,-1.79774524631284E-05,2.17039241937304E-05
2013-01-01 01:00:00,4.28900286738905E-05,1.528621992982,5.18426492208436E-06,14.1946909436884,6.93423739601992E-06,-8.14155821943946,-76.3167577331763,2.72248989095282,18.6516711610029,25.3399182251995,1.38691491609312E-06,22.02103028785,-9.54579766762704E-05,0,0,-3.85762101909108E-05,-1.79691961942581E-05,2.18905510321318E-05
2013-01-01 02:00:00,4.29056492813948E-05,1.52862201307016,5.18314167212201E-06,14.0784970093205,6.93488275896126E-06,-8.14155791533415,-75.9787820238618,2.74325806172343,18.651671182893,26.1846936676044,1.38685121644769E-06,20.9337036970832,-9.4915351186444E-05,0,0,-3.83333287817891E-05,-1.79816012709466E-05,2.1949043299436E-05
2013-01-01 03:00:00,4.72328489111928E-05,1.52863668928421,5.40575644858445E-06,15.1844706960518,7.34211477159158E-06,-0.00056893275305603,-84.3940918536432,2.78492769716177,18.6516759948321,26.1501740309458,1.42454516293537E-06,20.0948575570989,-8.26217423184607E-05,0,0,-3.4089424976969E-05,-1.60683025412709E-05,1.95123377538934E-05
2013-01-01 04:00:00,4.83781065620051E-05,1.52864297002987,5.45963642494755E-06,14.9819114896177,7.44531061738158E-06,0.00108432795702411,-83.6652310454613,2.82153283974266,18.6516769334076,26.0764696510903,1.43327831651879E-06,19.6039894479164,-7.97673948251094E-05,0,0,-3.30849643072497E-05,-1.56410844412562E-05,1.85840089072747E-05
2013-01-01 05:00:00,4.84273573850544E-05,1.52864303414988,5.45991845517993E-06,13.9963285293444,7.44878604935306E-06,0.000665728738837066,-81.3355778661021,2.86456214221844,18.6516768680582,25.6153340578217,1.43310363470217E-06,18.6784441080504,-7.93681562101601E-05,0,0,-3.27735823726698E-05,-1.55692575082753E-05,1.77469260502009E-05
2013-01-01 06:00:00,4.84179978797386E-05,1.528643028486,5.45902043849183E-06,14.0425364108299,7.45026723118577E-06,0.000418158404129632,-80.4240010725629,2.91297690020204,18.6516780305596,25.2633613473719,1.4308818442923E-06,18.0244696105616,-8.50598488826079E-05,0,0,-3.25178024475008E-05,-1.54681241677395E-05,1.72568079246154E-05
2013-01-01 07:00:00,4.84682668802198E-05,1.52864304054044,5.45834654954068E-06,14.0985978954157,7.4516957545414E-06,0.000252508917219766,-79.428896919798,2.96438747984159,18.6516776417486,25.035802640193,1.43093631149526E-06,17.1496175675986,-8.4984671680937E-05,0,0,-3.21338362238066E-05,-1.54166040701966E-05,1.72313752289952E-05
2013-01-01 08:00:00,4.85821389304865E-05,1.52864017268368,5.45735024832981E-06,14.1988440287889,7.45234643534421E-06,0.00011073048909695,-79.6088293453625,3.02456690913437,18.6516767843746,24.7145863534279,1.43377836337532E-06,16.19389041873,-8.43750409074425E-05,1.2966283157953,-3.37651572839661E-05,-3.17479089055723E-05,-1.5371864896224E-05,1.73250434933208E-05
2013-01-01 09:00:00,4.87186383509957E-05,1.52864012603181,5.45506411229448E-06,14.2694496338195,7.45054619479955E-06,-4.39279870202293E-05,-81.0887708726611,3.08375943034392,18.6516777311792,24.2530745298011,1.43821164183802E-06,14.6473345484586,-8.4662721017608E-05,4.65498939117279,-3.06057344138821E-05,-3.13334091284219E-05,-1.52654628066102E-05,1.75508737048857E-05
2013-01-01 10:00:00,4.87702930171682E-05,1.52864013034147,5.45431146367278E-06,14.1933608085163,7.45195278205822E-06,-0.000170231353139989,-77.1716140606025,3.1337504313601,18.6516794816206,21.7736318420407,1.4383771204336E-06,11.8065057266888,-8.50430530745114E-05,6.08432682038022,-3.11543681068258E-05,-3.09177871998827E-05,-1.51856408872391E-05,1.7543231507233E-05
2013-01-01 11:00:00,4.88066837214436E-05,1.52864012631842,5.45334202499287E-06,14.1985078133436,7.45294702740549E-06,-0.000314464594060135,-75.9597681177087,3.17366841660384,18.6516799966868,20.894523683102,1.43836224257814E-06,10.6244056361477,-8.51910958373864E-05,6.88878013020483,-4.34948029750533E-05,-3.07427873473784E-05,-1.51372254411513E-05,1.74776480786893E-05
2013-01-01 12:00:00,4.88562508331915E-05,1.52864009054112,5.45208371086006E-06,14.1678858373925,7.45297663552991E-06,-0.000501400962450748,-76.8852339163843,3.22109946973395,18.6516801241487,22.3688004342426,1.43882575118933E-06,9.93902800521785,-8.517475162719E-05,7.00873349947045,-5.25964016521843E-05,-3.06095764413783E-05,-1.51128091225701E-05,1.73938768925044E-05
2013-01-01 13:00:00,4.89689689169449E-05,1.52864012240377,5.45273213612457E-06,14.1161489049067,7.45627649010555E-06,-0.000696555342393957,-75.535025820152,3.27835796906617,18.6516797863623,22.2390079012683,1.43982578386173E-06,9.28709878830854,-8.49745913147356E-05,6.43492229769049,-5.42712759782685E-05,-3.03926121866027E-05,-1.5011163479187E-05,1.7142479898652E-05
2013-01-01 14:00:00,4.9036945275046E-05,1.52864019104765,5.45435900666953E-06,14.0518897961411,7.46159035095658E-06,-0.000965344438071864,-73.9425234300537,3.33993078552386,18.6516782460981,23.2561054949725,1.43606014668422E-06,8.25251463108668,-8.59410446739726E-05,4.86285808105733,-4.84568401486987E-05,-3.01421176608585E-05,-1.48105094112339E-05,1.66761270183436E-05
2013-01-01 15:00:00,4.94574159197585E-05,1.52864040123582,5.46166901732504E-06,9.26954861882491,7.47602164856501E-06,-0.00123536943517096,-66.8833206140583,3.37519018179054,18.6516800018161,24.0528238072854,1.43383596858893E-06,7.80226970192049,-8.73069357199833E-05,2.20451869803264,-3.50065111687356E-05,-2.93882162717409E-05,-1.42592807425785E-05,1.57394745239422E-05
2013-01-01 16:00:00,5.17120451407215E-05,1.52864594686338,5.55373788290438E-06,10.173701016024,7.65211819836219E-06,0.0190165791204723,-65.4344927787542,3.38170913393346,18.6516838679018,24.2992382597675,1.44603764736717E-06,7.38057240027885,-8.58947477410309E-05,0,0,-2.78867576619177E-05,-1.33092425575683E-05,1.44335611236947E-05
2013-01-01 17:00:00,5.18980064742423E-05,1.52864599502725,5.5555548978507E-06,10.0367228113119,7.65842446464032E-06,0.0111059932926573,-65.3346141451324,3.3749673614835,18.6516842072425,24.2069208289994,1.44821808721142E-06,7.52464135144566,-8.62517824708023E-05,0,0,-2.7707701169362E-05,-1.31992387086939E-05,1.43070634765412E-05
2013-01-01 18:00:00,5.20526376472361E-05,1.52864601489608,5.55563000809738E-06,10.3544515145331,7.66130602504045E-06,0.00891632917080499,-65.2762451102344,3.36710201680575,18.6516843450036,23.2452028544344,1.45038685436645E-06,8.12031641576211,-8.65249303899686E-05,0,0,-2.75733936299503E-05,-1.31434416038019E-05,1.42145932621808E-05
2013-01-01 19:00:00,5.03433625271866E-05,1.52864084808505,5.47403718033556E-06,10.3514368397184,7.5098071178296E-06,-0.00265121381283915,-65.4735879695673,3.35980542800263,18.6516833332841,23.2998399085234,1.43834593402622E-06,8.28491454772724,-9.02815272838295E-05,0,0,-2.84682239837082E-05,-1.3556802111907E-05,1.46328477976426E-05
2013-01-01 20:00:00,5.04199976194523E-05,1.52864072004503,5.47089868718634E-06,10.5256934459759,7.50622969968869E-06,-0.00298653307501467,-65.6444148933232,3.35625776359794,18.6516834333379,23.1453625991232,1.43955552665314E-06,8.4398451658251,-9.04437465718716E-05,0,0,-2.84300274421412E-05,-1.35313313316487E-05,1.46519174039988E-05
2013-01-01 21:00:00,5.04962267112802E-05,1.52864068456489,5.47115238997797E-06,11.3197253776808,7.51038410703694E-06,-0.00325253322257592,-66.0209026811082,3.3625546126442,18.6516834212893,22.6250395189458,1.44006738285939E-06,8.53659346975376,-9.08668543522459E-05,0,0,-2.83943761662329E-05,-1.34993478610568E-05,1.47340568547641E-05
2013-01-01 22:00:00,5.04982506903801E-05,1.52864051630532,5.4710037377125E-06,13.9080822877414,7.51408443813877E-06,-0.00366642781330134,-64.8357896468273,3.36041012846524,18.6516831613271,19.8004042625143,1.43924077731307E-06,7.59031832166364,-9.17633849733552E-05,0,0,-2.8392490991024E-05,-1.35531689547861E-05,1.49426204711311E-05
2013-01-01 23:00:00,5.0538538560487E-05,1.52864041353216,5.46941556172214E-06,13.7957304894874,7.51477707914535E-06,-0.00437031173563513,-62.4541937472652,3.35443997650601,18.6516830430291,17.9201045865651,1.43925269403431E-06,7.20804863203392,-9.25206220485162E-05,0,0,-2.84336530092446E-05,-1.35817045242561E-05,1.52372966348569E-05
2013-01-02 00:00:00,5.04539125410604E-05,1.52864078452402,5.47003690669372E-06,13.6045939294026,7.52091903146847E-06,-0.00503226073738788,-58.8680147631662,3.34437036293692,18.6516822758978,14.7674111849438,1.43675053372172E-06,6.97643560171387,-9.67516105611605E-05,0,0,-2.85394318672729E-05,-1.35623569653944E-05,1.55954790346111E-05
2013-01-02 01:00:00,5.0465710377116E-05,1.52864082503027,5.46903599385348E-06,11.2169432069862,7.52305995517782E-06,-0.0067859494780928,-56.0207765534145,3.33055523444054,18.6516822554154,14.1871332788587,1.43673693058866E-06,7.11269518118745,-9.74050149624224E-05,0,0,-2.85038100016379E-05,-1.35623509338529E-05,1.58266864025104E-05
2013-01-02 02:00:00,5.04989943187442E-05,1.52864095333325,5.46899018157485E-06,9.81667566014716,7.52735100599262E-06,-0.0133234594396785,-55.4963218689231,3.31384204971032,18.6516823677886,15.027691334219,1.43676672881008E-06,7.17119971342771,-9.68130762575831E-05,0,0,-2.84675807432393E-05,-1.35528070352393E-05,1.5861583898601E-05
2013-01-02 03:00:00,5.27720709344766E-05,1.52864658877723,5.55859005601209E-06,5.35431321011486,7.70544014727309E-06,-0.000425629613632526,-50.1575027960589,3.29506052109631,18.6516838299571,14.6707526348815,1.45317996993248E-06,6.65754979857336,-9.2458226831853E-05,0,0,-2.73956329783971E-05,-1.2985494172483E-05,1.4984139584277E-05
2013-01-02 04:00:00,6.69313036119497E-05,1.52868826106356,6.07670747695467E-06,6.48174505707983,8.74915737117379E-06,-4.12461426399525E-05,-51.0241509090034,3.27343693888195,18.6516890438169,14.3709336873892,1.53617370226252E-06,6.71773971512596,-7.77908322916334E-05,0,0,-2.29958011014162E-05,-1.09039066755088E-05,1.20431680445791E-05
2013-01-02 05:00:00,0.000118352572177279,1.52886000220784,7.14129110376232E-06,11.6941706705712,1.11516967137648E-05,0.00246990445073346,-55.7790934801536,3.69888725384369,18.651694582604,13.766960422622,1.69174023255689E-06,6.4360163835033,-6.5846978857488E-05,0,0,-1.83726631091332E-05,-8.69216721184785E-06,9.21097596406018E-06
2013-01-02 06:00:00,0.000120063863357335,1.52889243146645,7.18019079386648E-06,8.49635616288621,1.126085882797E-05,2.48151464023402,-60.4286834336822,11.8003946586323,18.651694662557,11.6364465958228,1.69225541207006E-06,5.83334789472527,-6.54979625825532E-05,0,0,-1.84369709812984E-05,-8.69570570117162E-06,9.11296815108735E-06
2013-01-02 07:00:00,0.000126283853461576,1.52910757140642,7.32864617298757E-06,10.5236523792712,1.16571466822893E-05,8.14134988749591,-64.6569740122349,11.7801831728324,18.6516940757726,8.86787771144394,1.70129935826163E-06,5.16310325898816,-0.000103069385950095,0,0,-1.8370331904265E-05,-8.61830105591821E-06,9.05847453192436E-06
2013-01-02 08:00:00,0.000114161270860393,3.11228184472506,7.24806742071991E-06,6.21343029248742,1.14451664042391E-05,8.1413756641735,-62.019843723295,11.758634479482,18.651694964353,6.90187657878994,1.68710945266233E-06,4.81877725041822,-6.27282808921576E-05,2.42175839348118,-1.86590575116412E-05,-1.87500080016179E-05,-9.12560762633063E-06,9.17529319092039E-06
2013-01-02 09:00:00,0.000118049176960908,1.5288643098472,7.13273959739801E-06,7.97532624712795,1.11663401188031E-05,0.00113328947216892,-49.722574981253,3.21598864091929,18.6516958217391,5.19677572526674,1.69104074777884E-06,4.39925070592798,-6.13260616556399E-05,8.75352175295139,-1.8412134414973E-05,-1.89908453802303E-05,-9.66712698519245E-06,9.19139926441456E-06
2013-01-02 10:00:00,0.000104623920167024,1.52877472805307,6.92585436468074E-06,6.17260637840964,1.06749772426826E-05,-1.28422047633873,-46.4913226687356,3.14481151433141,18.6516950778864,3.48541790994157,1.6638810393334E-06,4.13067979774287,-6.25297173200232E-05,10.6615652827729,-2.61368631998752E-05,-1.97852526945326E-05,-1.160230170332E-05,9.48428625967037E-06
2013-01-02 11:00:00,0.000104794459367921,1.52877450422748,6.91827117975017E-06,6.21435815194579,1.06638000421188E-05,-3.91763552736315,-44.7289675480117,3.12691791062855,18.65169488443,3.45399440802846,1.66463971823594E-06,3.87572663812713,-6.2667670440554E-05,11.7951611606603,-4.30565442249289E-05,-1.99491335394129E-05,-1.15791432341226E-05,9.4669716048145E-06
