,CCGT,CHP,H2 turbine,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,load shedding,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,9.31163093528981E-06,0.143312573370021,2.19511314993562E-06,6.63540241350412,2.23459290509599E-06,-3.90321874157909,-15.5882776288431,0.0451333217088664,1.89773365753191E-07,1.67049624989765,5.31299895516345,5.90935799608609,-0.22515103266678,0,0,-2.7032352808277E-05,-2.22533094445794E-05,1.75587309988598E-05
2013-01-01 01:00:00,9.31856005963131E-06,0.143312539932703,2.195953397258E-06,7.24254786324041,2.23502964219142E-06,-4.50779134466317,-15.36355614356,-0.0686095416133898,1.89775930816552E-07,1.6704962877918,5.31299895516345,5.79580635058364,-0.225151026552167,0,0,-2.70152478347256E-05,-2.22040145623339E-05,1.75939019626999E-05
2013-01-01 02:00:00,9.32143474354288E-06,0.143312522562406,2.19619627813057E-06,7.27581213970254,2.23504828287709E-06,-4.05457950319127,-15.7537946180142,0.0433902416758449,1.89776387548197E-07,1.67049627685379,5.31299895516345,5.58756913878551,-0.225151058510162,0,0,-2.71092106414699E-05,-2.22165327078585E-05,1.76054937453362E-05
2013-01-01 03:00:00,9.32623761965061E-06,0.14331252411153,2.19680493091594E-06,6.33090917798941,2.2354870414804E-06,-2.22355748265552,-16.3742165770933,0.0428209377984195,1.89780496820076E-07,1.67049629974693,5.31268293138536,5.32275762932576,-0.225151073370781,0,0,-2.72161041034451E-05,-2.2222339993732E-05,1.74968860035003E-05
2013-01-01 04:00:00,9.32535994665812E-06,0.143312548078177,2.19765918712075E-06,6.34556701560868,2.23621012801913E-06,-0.986009552580336,-17.3764032716005,0.0410205347970858,1.89787347081217E-07,1.67049632090457,5.29100639496053,5.09621549194757,-0.225151123818015,0,0,-2.74087530289364E-05,-2.23371853165588E-05,1.79891560382028E-05
2013-01-01 05:00:00,9.3303041111358E-06,0.143312575129581,2.19839877891069E-06,6.97544604697831,2.23680944220732E-06,-0.576439665239628,-17.8061532445292,0.0398408182757671,1.89792486330134E-07,1.6704963728944,5.024606772387,4.7540961588634,-0.225151133519447,0,0,-2.72635884919623E-05,-2.24975674331915E-05,1.77209667245986E-05
2013-01-01 06:00:00,9.43472968243559E-06,0.14331308899038,2.21288791981611E-06,6.88120331354079,2.25218668891529E-06,0.139119958878706,-18.1157081420879,0.0589398046200969,1.89906571152757E-07,1.67049765249139,5.0790091157868,4.36883188759993,-0.225150112760094,0,0,-2.62616185266324E-05,-2.1574168478196E-05,1.25834913895868E-05
2013-01-01 07:00:00,9.44265586613058E-06,0.143313126533284,2.2128556412752E-06,6.83857814924064,2.25231520608303E-06,0.243917516483571,-18.1157083918047,0.0589403088752348,1.89911546995414E-07,1.67049766794255,5.29011536473157,4.09555298114495,-0.225150094482668,0,0,-2.62598160392855E-05,-2.14218473776953E-05,1.23537608086005E-05
2013-01-01 08:00:00,9.46232207616374E-06,0.143313152198204,2.2131976419757E-06,6.7735301798486,2.25285150554453E-06,0.172983364118087,-18.1157082377489,0.0589411487240329,1.89926286885318E-07,1.67049769184164,5.30750654478606,3.96563317786841,-0.225150048304182,0.248548365907749,-3.86841469752106E-05,-2.61899007754494E-05,-2.14109525994957E-05,1.22208779929426E-05
2013-01-01 09:00:00,9.39695845709986E-06,0.143312652157898,2.19890847809933E-06,6.75848368843663,2.23807393123706E-06,-0.334554335126272,-18.1157115778255,0.0340082346098278,1.89837872044447E-07,1.67049644969719,5.31185848692127,3.71936908548567,-0.225151004544499,1.03797694442769,-2.95260973502849E-05,-2.71297442828313E-05,-2.15754159448522E-05,1.21803558540383E-05
