,CCGT,CHP,DAC,H2 turbine,Imports_Exports,OCGT,battery storage,coal,distribution network,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,2.10945845273782E-05,1.48937418224935,-1.09018150613513,4.77170682556764E-06,-16.7773525502127,3.54828642242406E-06,-0.000417571611969256,8.06021526310872E-07,-18.0434835267782,26.7489538063979,7.67370534703588,-0.000487631538773112,0,0,-5.5478888882476E-05,-5.30943571440474E-05,3.56678768854695E-05
2013-01-01 01:00:00,2.14357720366639E-05,1.48937858435207,-1.09018143945491,4.83535646433387E-06,-15.5601216538549,3.58418968354865E-06,0.0199637138589038,8.11893031848984E-07,-17.5088769826586,25.0488783518484,7.60153053406228,-0.000471013263472237,0,0,-5.16075360144441E-05,-4.92316252379652E-05,3.35871077611033E-05
2013-01-01 02:00:00,2.14771821205222E-05,1.4893785609691,-1.09018143921284,4.83745058361685E-06,-16.4594893592425,3.58599216258251E-06,0.0108863480534672,8.12718533458233E-07,-17.2279134305587,25.865871258736,7.41201729631527,-0.000469809010282574,0,0,-5.11482617974934E-05,-4.91581748694898E-05,3.36408483835462E-05
2013-01-01 03:00:00,2.15223664305112E-05,1.48937858970191,-1.09018143668985,4.84069112294144E-06,-15.9926048945043,3.58843231687212E-06,0.00933257703988787,8.13703131594961E-07,-17.2774858125507,26.093132378498,6.7689936983,-0.000466706004805947,0,0,-5.07121412443894E-05,-4.87559316234183E-05,3.35814025978505E-05
2013-01-01 04:00:00,2.15705088846991E-05,1.48937817135795,-1.0901814389007,4.83913237283537E-06,-13.2435702884791,3.58849435327572E-06,3.3617487182753,8.15189315172737E-07,-17.7814277054177,22.0025593227781,5.26205721186267,-0.000466202273071648,0,0,-5.02470716534162E-05,-4.8590945389094E-05,3.37596507401142E-05
2013-01-01 05:00:00,2.13765710686603E-05,1.48937658503088,-1.09018147312145,4.80029701931817E-06,-13.0534668285095,3.56811739014533E-06,4.85210145353847,8.12141566721726E-07,-18.5037554442203,22.1866952445592,4.1197972903512,-0.000462462107091347,0,0,-5.16617724646835E-05,-5.22723570450694E-05,3.43580699006045E-05
2013-01-01 06:00:00,2.15399529116469E-05,1.48937812850407,-1.09018144014021,4.84052819600654E-06,-12.8775526846894,3.5903389332814E-06,4.2420733761842,8.14498744897089E-07,-19.33939894178,24.4389242208006,3.13732515248491,-0.000467140765345212,0,0,-5.04518261170688E-05,-5.05785539117696E-05,3.32351248891289E-05
2013-01-01 07:00:00,2.15562447639442E-05,1.48937822098947,-1.09018143958632,4.84126224808793E-06,-12.8483139970262,3.59121326967417E-06,2.00797534123066,8.14812942893994E-07,-19.9739521444765,27.6229286422485,2.79272796937903,-0.000464304327618115,0,0,-4.99785997433832E-05,-4.85547314881956E-05,3.27718621674995E-05
2013-01-01 08:00:00,2.15660123033253E-05,1.48937822852538,-1.09018144036027,4.83989974074238E-06,-12.8372266882913,3.59095822662351E-06,1.02131174092272,8.15160704458279E-07,-20.2397698946598,28.9072606991099,2.749788840891,-0.000463519952607868,0,0,-4.98356611780082E-05,-4.82928364215098E-05,3.25878424483634E-05
2013-01-01 09:00:00,2.14217237161142E-05,1.48937543033028,-1.09018146327839,4.79996338276045E-06,-12.88922573181,3.56970644656404E-06,-1.23608727149798,8.13396466130108E-07,-19.4044259918256,28.9007418342324,2.87093857348141,-0.000472388340099401,1.35953980459672,-9.98739991988679E-05,-5.17050795299383E-05,-5.01132538487781E-05,3.40003629522627E-05
2013-01-01 10:00:00,2.14253348469665E-05,1.48937543895233,-1.09018145665201,4.79925907881019E-06,-12.4200290405818,3.56988655111952E-06,-1.70116749569388,8.13630393900178E-07,-19.6459144531174,29.5349665373732,2.48151583622348,-0.000472067793894838,1.35210905793154,-9.97698790083729E-05,-0.0000514634704532,-5.00788359197912E-05,3.40534406433337E-05
2013-01-01 11:00:00,2.14428680181305E-05,1.48937543255607,-1.09018146209054,4.79802452366657E-06,-12.8244793714717,3.56982253600496E-06,-2.69669368112057,8.14190958150448E-07,-19.2089001299318,29.8181540037425,2.47593583935673,-0.000471958411076974,2.03746444602245,-0.000100852624708427,-5.13653979859043E-05,-4.99643909335816E-05,3.41144576370778E-05
