Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Eemshaven,1580.0,1.0,NL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eemshaven,1410.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Claus,1304.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maasvlakte,1070.0,1.0,NL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enecogen,928.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Velsen,869.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moerdijk,766.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OWF Hollandse Kust Noord,,1.0,NL,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rijnmond,750.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borssele Windfarm III and IV,732.0,1.0,NL,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NLROTTETH__1,731.0,1.0,NL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diemen,684.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amer,631.0,1.0,NL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Windpark Gemini,600.0,1.0,NL,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borssele 30,485.0,1.0,NL,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLEVO 5,464.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TNZ150 ELSTA,455.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLEVO 4,445.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hemweg,440.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sloecentrale 20,435.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sloecentrale 10,435.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maastroom Energie CV,426.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Windpark Fryslan,383.0,1.0,NL,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borssele 2,376.0,1.0,NL,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borssele 1,376.0,1.0,NL,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eems 7,360.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eems 5,360.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eems 3,360.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eems 6,360.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eems 4,360.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delesto 2,343.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lage Weide 6,248.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merwedekanaal 12,225.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RoCa,220.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WP NOP Agrowind,195.0,1.0,NL,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Windpark Wieringermeer,184.0,1.0,NL,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westermeerwind,144.0,1.0,NL,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eems 20,131.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Windfarm Luchterduinen,129.0,1.0,NL,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NAM Schoonebeek,128.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERGEN 1,125.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERGEN 2,125.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prinses Alexia Windpark,122.0,1.0,NL,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westereems,120.0,1.0,NL,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Windfarm Princess Amalia,120.0,1.0,NL,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wieringermeer Extension,118.0,1.0,NL,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WP Maasvlakte 2,,1.0,NL,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Den Haag,112.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OWEZ,108.0,1.0,NL,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bergum 10,72.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bergum 20,72.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swentibold,209.0,1.0,NL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_Solar,22590.0,,,,,,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_WIN,5703.0,,,,,,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
