index,DE -> SE,DE -> CZ,DE -> FR,DE -> AT,DE -> DK,DE -> LU,DE -> CH,DE -> PL,DE -> NL
2019-01-01 03:00:00+0000,66.0,1611.0,777.0,2838.0,1533.0,393.0,3427.0,881.0,1904.0
2019-01-01 04:00:00+0000,66.0,1668.0,1095.0,2914.0,1728.0,415.0,3729.0,970.0,1700.0
2019-01-01 05:00:00+0000,65.0,1544.0,1192.0,2966.0,1685.0,354.0,4024.0,951.0,1737.0
2019-01-01 06:00:00+0000,66.0,1553.0,1296.0,3090.0,1739.0,348.0,4251.0,971.0,1595.0
2019-01-01 07:00:00+0000,66.0,1517.0,1312.0,3093.0,1797.0,389.0,4408.0,933.0,1867.0
2019-01-01 08:00:00+0000,66.0,1440.0,1041.0,3278.0,1756.0,381.0,4322.0,1063.0,1545.0
2019-01-01 09:00:00+0000,66.0,1427.0,1039.0,3454.0,1752.0,385.0,4365.0,990.0,1645.0
2019-01-01 10:00:00+0000,66.0,1614.0,1089.0,3389.0,1557.0,402.0,4286.0,1120.0,1756.0
2019-01-01 11:00:00+0000,66.0,1626.0,1179.0,3187.0,1635.0,405.0,4007.0,1001.0,1787.0
2019-01-01 12:00:00+0000,66.0,1503.0,1402.0,3094.0,1880.0,462.0,4092.0,977.0,1934.0
2019-01-01 13:00:00+0000,66.0,1552.0,1199.0,3284.0,1832.0,457.0,4430.0,982.0,2170.0
2019-01-01 14:00:00+0000,66.0,1627.0,1192.0,3485.0,1847.0,451.0,4860.0,1066.0,2057.0
2019-01-01 15:00:00+0000,66.0,1802.0,1149.0,3731.0,1986.0,428.0,4894.0,1171.0,1857.0
2019-01-01 16:00:00+0000,66.0,1720.0,839.0,3341.0,1892.0,423.0,4450.0,1138.0,1896.0
2019-01-01 17:00:00+0000,66.0,1651.0,569.0,3202.0,1828.0,483.0,4104.0,1114.0,1921.0
2019-01-01 18:00:00+0000,66.0,1440.0,575.0,3032.0,1850.0,446.0,3672.0,1055.0,2112.0
2019-01-01 19:00:00+0000,66.0,1318.0,651.0,3193.0,1702.0,404.0,4105.0,1035.0,2012.0
2019-01-01 20:00:00+0000,66.0,1291.0,415.0,3070.0,2047.0,337.0,4179.0,976.0,1752.0
2019-01-01 21:00:00+0000,66.0,1084.0,422.0,3104.0,1780.0,409.0,4398.0,1127.0,1519.0
2019-01-01 22:00:00+0000,66.0,1024.0,455.0,3024.0,1855.0,334.0,4231.0,1130.0,1544.0
2019-01-01 23:00:00+0000,67.0,853.0,448.0,2713.0,1684.0,307.0,3541.0,1177.0,1456.0
2019-01-02 00:00:00+0000,66.0,1207.0,386.0,2675.0,1803.0,330.0,3919.0,1082.0,1529.0
2019-01-02 01:00:00+0000,66.0,1369.0,494.0,2814.0,1806.0,444.0,3914.0,1127.0,1422.0
2019-01-02 02:00:00+0000,66.0,1336.0,640.0,2764.0,2089.0,456.0,3737.0,1127.0,1486.0
2019-01-02 03:00:00+0000,66.0,1189.0,633.0,2559.0,2084.0,386.0,3873.0,1047.0,1538.0
2019-01-02 04:00:00+0000,66.0,1259.0,349.0,2619.0,1941.0,309.0,4310.0,1098.0,1650.0
2019-01-02 05:00:00+0000,66.0,1440.0,88.0,2927.0,1723.0,300.0,4384.0,1156.0,1567.0
2019-01-02 06:00:00+0000,66.0,1120.0,17.0,2467.0,1910.0,384.0,4186.0,976.0,1375.0
2019-01-02 07:00:00+0000,66.0,970.0,4.0,2188.0,2073.0,477.0,4235.0,873.0,894.0
2019-01-02 08:00:00+0000,4.0,797.0,204.0,1820.0,2089.0,492.0,3887.0,705.0,1331.0
2019-01-02 09:00:00+0000,64.0,842.0,188.0,2061.0,1998.0,505.0,3865.0,885.0,1394.0
2019-01-02 10:00:00+0000,66.0,894.0,168.0,2248.0,2077.0,521.0,3826.0,966.0,1394.0
2019-01-02 11:00:00+0000,66.0,985.0,205.0,2132.0,2075.0,497.0,3391.0,1015.0,1695.0
2019-01-02 12:00:00+0000,66.0,941.0,155.0,2242.0,2112.0,527.0,3928.0,984.0,1432.0
