Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,Bełchatów,5102,1.0,PL,,,STUR,LIG,0.385,8.0,6.0,0.0011964585,0.0011964585,136849.915,,0.0,0.3,0.385,7.0,1.0,,,,,,,,,,,,,,,,,,,,
,Opole,3342,1.0,PL,,,STUR,HRD,0.395,8.0,6.0,0.0011953144,0.0011953144,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,Kozienice 2,2207,1.0,PL,,,STUR,HRD,0.395,8.0,6.0,0.003125,0.003125,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,Turów,2029,1.0,PL,,,STUR,LIG,0.385,8.0,6.0,0.0028058361,0.0028058361,136849.915,,0.0,0.3,0.385,7.0,1.0,,,,,,,,,,,,,,,,,,,,
,Kozienice 1,1797,1.0,PL,,,STUR,HRD,0.395,8.0,6.0,0.003125,0.003125,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,Połaniec,1449,1.0,PL,,,STUR,HRD,0.395,8.0,6.0,0.0035971223,0.0035971223,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,Jaworzno 3,1345,1.0,PL,,,STUR,HRD,0.395,8.0,6.0,0.0037119525,0.0037119525,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,Jaworzno 2 JWCD,910,1.0,PL,,,STUR,HRD,0.395,8.0,6.0,0.0057142857,0.0057142857,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,Łaziska 3,905,1.0,PL,,,STUR,HRD,0.395,8.0,6.0,0.0057142857,0.0057142857,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,Dolna Odra,903,1.0,PL,,,STUR,HRD,0.395,8.0,6.0,0.0057142857,0.0057142857,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,Rybnik,900,1.0,PL,,,STUR,HRD,0.395,8.0,6.0,0.0057142857,0.0057142857,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,Żarnowiec,780,1.0,PL,,,HPHS,WAT,0.86,0.0,0.0,0.3712871287,0.3712871287,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,,,,,,,,,,,,
,Ostrołęka B,690,1.0,PL,,,STUR,HRD,0.395,8.0,6.0,0.0072463768,0.0072463768,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,Elektrownia Gryfino,683,1.0,PL,,,COMC,GAS,0.525,5.0,1.0,0.0163304094,0.0163304094,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,Pątnów 1,644,1.0,PL,,,STUR,LIG,0.393,8.0,8.0,0.0152097902097901,0.0174825174825174,,12.5616438356165,0.0,0.389,0.4075,5.0,1.05,,,,,,,,,,,,,,,,,,,,
,Płock,630,1.0,PL,,,COMC,GAS,0.525,5.0,1.0,0.016330409,0.016330409,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,EC Siekierki,620,1.0,PL,,,STUR,HRD,0.395,8.0,6.0,0.00777605,0.00777605,117242.17,,0.0,0.5,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,Porąbka Żar,552,1.0,PL,,,HPHS,WAT,0.86,0.0,0.0,0.618556701,0.618556701,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,,,,,,,,,,,,
,EC Żerań 2,496,1.0,PL,,,COMC,GAS,0.525,5.0,1.0,0.02234,0.02234,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,Pątnów 2,474,1.0,PL,,,STUR,LIG,0.393,8.0,8.0,0.0152097902097901,0.0174825174825174,,12.5616438356165,0.0,0.389,0.4075,5.0,1.05,,,,,,,,,,,,,,,,,,,,
,EC Włocławek,465,1.0,PL,,,COMC,GAS,0.525,5.0,1.0,0.0240215054,0.0240215054,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,,,,,,,
