Unnamed: 0,HPHS,HDAM,HPHS_MW,HDAM_MW
2021-01-01 00:00:00+00:00,1.0,1.0,68216000.0,68216000.0
2021-01-01 01:00:00+00:00,0.9997076862291768,0.9997076862291768,68196059.52380952,68196059.52380952
2021-01-01 02:00:00+00:00,0.9994153724583535,0.9994153724583535,68176119.04761904,68176119.04761904
2021-01-01 03:00:00+00:00,0.9991230586875304,0.9991230586875304,68156178.57142857,68156178.57142857
2021-01-01 04:00:00+00:00,0.9988307449167072,0.9988307449167072,68136238.0952381,68136238.0952381
2021-01-01 05:00:00+00:00,0.998538431145884,0.998538431145884,68116297.61904763,68116297.61904763
2021-01-01 06:00:00+00:00,0.9982461173750607,0.9982461173750607,68096357.14285715,68096357.14285715
2021-01-01 07:00:00+00:00,0.9979538036042376,0.9979538036042376,68076416.66666667,68076416.66666667
2021-01-01 08:00:00+00:00,0.9976614898334144,0.9976614898334144,68056476.1904762,68056476.1904762
2021-01-01 09:00:00+00:00,0.9973691760625912,0.9973691760625912,68036535.71428572,68036535.71428572
2021-01-01 10:00:00+00:00,0.9970768622917678,0.9970768622917678,68016595.23809524,68016595.23809524
2021-01-01 11:00:00+00:00,0.9967845485209448,0.9967845485209448,67996654.76190478,67996654.76190478
2021-01-01 12:00:00+00:00,0.9964922347501216,0.9964922347501216,67976714.2857143,67976714.2857143
2021-01-01 13:00:00+00:00,0.9961999209792982,0.9961999209792982,67956773.8095238,67956773.8095238
2021-01-01 14:00:00+00:00,0.995907607208475,0.995907607208475,67936833.33333333,67936833.33333333
2021-01-01 15:00:00+00:00,0.995615293437652,0.995615293437652,67916892.85714287,67916892.85714287
2021-01-01 16:00:00+00:00,0.9953229796668286,0.9953229796668286,67896952.38095237,67896952.38095237
2021-01-01 17:00:00+00:00,0.9950306658960054,0.9950306658960054,67877011.90476191,67877011.90476191
2021-01-01 18:00:00+00:00,0.994738352125182,0.994738352125182,67857071.42857142,67857071.42857142
2021-01-01 19:00:00+00:00,0.994446038354359,0.994446038354359,67837130.95238096,67837130.95238096
2021-01-01 20:00:00+00:00,0.9941537245835358,0.9941537245835358,67817190.47619048,67817190.47619048
2021-01-01 21:00:00+00:00,0.9938614108127124,0.9938614108127124,67797249.99999999,67797249.99999999
2021-01-01 22:00:00+00:00,0.9935690970418892,0.9935690970418892,67777309.52380952,67777309.52380952
2021-01-01 23:00:00+00:00,0.9932767832710662,0.9932767832710662,67757369.04761904,67757369.04761904
2021-01-02 00:00:00+00:00,0.9929844695002428,0.9929844695002428,67737428.57142857,67737428.57142857
2021-01-02 01:00:00+00:00,0.9926921557294196,0.9926921557294196,67717488.09523809,67717488.09523809
2021-01-02 02:00:00+00:00,0.9923998419585964,0.9923998419585964,67697547.61904761,67697547.61904761
2021-01-02 03:00:00+00:00,0.9921075281877731,0.9921075281877731,67677607.14285713,67677607.14285713
2021-01-02 04:00:00+00:00,0.99181521441695,0.99181521441695,67657666.66666666,67657666.66666666
2021-01-02 05:00:00+00:00,0.9915229006461268,0.9915229006461268,67637726.19047618,67637726.19047618
2021-01-02 06:00:00+00:00,0.9912305868753036,0.9912305868753036,67617785.71428572,67617785.71428572
2021-01-02 07:00:00+00:00,0.9909382731044803,0.9909382731044803,67597845.23809524,67597845.23809524
2021-01-02 08:00:00+00:00,0.9906459593336572,0.9906459593336572,67577904.76190476,67577904.76190476
2021-01-02 09:00:00+00:00,0.990353645562834,0.990353645562834,67557964.28571428,67557964.28571428
2021-01-02 10:00:00+00:00,0.9900613317920108,0.9900613317920108,67538023.8095238,67538023.8095238
2021-01-02 11:00:00+00:00,0.9897690180211876,0.9897690180211876,67518083.33333333,67518083.33333333
2021-01-02 12:00:00+00:00,0.9894767042503644,0.9894767042503644,67498142.85714285,67498142.85714285
2021-01-02 13:00:00+00:00,0.9891843904795412,0.9891843904795412,67478202.38095239,67478202.38095239
2021-01-02 14:00:00+00:00,0.988892076708718,0.988892076708718,67458261.90476191,67458261.90476191
2021-01-02 15:00:00+00:00,0.9885997629378948,0.9885997629378948,67438321.42857143,67438321.42857143
2021-01-02 16:00:00+00:00,0.9883074491670716,0.9883074491670716,67418380.95238096,67418380.95238096
2021-01-02 17:00:00+00:00,0.9880151353962484,0.9880151353962484,67398440.47619048,67398440.47619048
2021-01-02 18:00:00+00:00,0.9877228216254252,0.9877228216254252,67378500.00000001,67378500.00000001
2021-01-02 19:00:00+00:00,0.9874305078546018,0.9874305078546018,67358559.52380952,67358559.52380952
2021-01-02 20:00:00+00:00,0.9871381940837788,0.9871381940837788,67338619.04761906,67338619.04761906
2021-01-02 21:00:00+00:00,0.9868458803129556,0.9868458803129556,67318678.57142858,67318678.57142858
2021-01-02 22:00:00+00:00,0.9865535665421322,0.9865535665421322,67298738.09523809,67298738.09523809
2021-01-02 23:00:00+00:00,0.986261252771309,0.986261252771309,67278797.61904761,67278797.61904761
2021-01-03 00:00:00+00:00,0.985968939000486,0.985968939000486,67258857.14285715,67258857.14285715
2021-01-03 01:00:00+00:00,0.9856766252296626,0.9856766252296626,67238916.66666666,67238916.66666666
2021-01-03 02:00:00+00:00,0.9853843114588394,0.9853843114588394,67218976.1904762,67218976.1904762
2021-01-03 03:00:00+00:00,0.985091997688016,0.985091997688016,67199035.7142857,67199035.7142857
2021-01-03 04:00:00+00:00,0.984799683917193,0.984799683917193,67179095.23809524,67179095.23809524
2021-01-03 05:00:00+00:00,0.9845073701463698,0.9845073701463698,67159154.76190476,67159154.76190476
