"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2IRSC000179N","Irsching","1822","1422","intra_zonal","380","26.10.2009",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2GEBE000177K","Franken I","823","823","intra_zonal","110","26.10.2009",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","11WD2WILK000286V","Kraftwerk Wilhelmshaven","726","726","intra_zonal","380","30.10.2015",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","11WD2MEHR2CSWH-O","KW Mehrum (KWM)","690","690","intra_zonal","220","26.10.2010",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Water Reservoir","11WD2SILT000157E","KW Silz","500","500","intra_zonal","220","23.09.2010",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11W0-0000-0169-4","Windpark Hohe See","497","497","intra_zonal","380","01.11.2019",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Pumped Storage","11WD2W2--0002757","Waldeck II","480","480","intra_zonal","380","26.10.2009",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","11WD2ZOLL0002880","Kraftwerk Zolling","472","472","intra_zonal","380","21.12.2010",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11W0-0000-0130-6","Borkum Riffgrund II","450","450","intra_zonal","155","05.08.2018",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2GKBB000334V","GKB Mittelsbueren","450","450","intra_zonal","110","07.12.2016",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2SUE1000099L","Sued GuD1","298","444","intra_zonal","110","31.12.2014",""
