"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|RO / 01.01.2021 00:00 - 01.01.2022 00:00","Nuclear","30W-CERNAVODA--E","NPP Cernavoda","1274","1300","internal","400","01.12.2014",""
"CTA|RO / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","30W-CHE-PDF1---A","HPP Portile de Fier I","1161","1161","internal","220","01.12.2014",""
"CTA|RO / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Brown coal/Lignite","30W-CET-ROVI---Q","TPP Rovinari","878","882","internal","400","01.12.2014",""
"CTA|RO / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","30W-CET-PETROM-L","TPP CCCC Petrom Brazi","832","832","internal","400","01.12.2014",""
"CTA|RO / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Brown coal/Lignite","30W-CET-TURC---M","TPP Turceni","1192","785","internal","400","01.12.2014",""
"CTA|RO / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Water Reservoir","30W-CHE-LOTR---A","HPP Lotru","509","509","internal","220","01.12.2014",""
"CTA|RO / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","30W-CEE-FANT---U","WPP Fantanele","260","348","internal","400","01.12.2014",""
"CTA|RO / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Brown coal/Lignite","30W-CET-ISAL---X","TPP Isalnita","582","292","internal","220","01.12.2014","01.01.2026"
"CTA|RO / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","30W-CET-IERN---J","TPP Iernut","282","282","internal","220","01.12.2014","01.01.2025"
"CTA|RO / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","30W-CEE-COGEA--T","WPP Cogealac","250","252","internal","400","01.12.2014",""
"CTA|RO / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","30W-CHE-PDF2---5","HPP Portile de Fier II","218","250","internal","110","01.12.2014",""
"CTA|RO / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Brown coal/Lignite","30W-CET-CRAI---T","TPP Craiova","240","240","internal","110","01.12.2014",""
