22:00 - 23:00,261,,2470,,53,,1270,,6798,,222,,n/e,n/e,n/e,n/e,n/e,n/e,0,,150,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2428,
23:00 - 00:00,254,,2666,,53,,1342,,6897,,223,,n/e,n/e,n/e,n/e,n/e,n/e,0,,145,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2339,
00:00 - 01:00,249,,2731,,53,,1361,,6927,,223,,n/e,n/e,n/e,n/e,n/e,n/e,0,,135,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2351,
01:00 - 02:00,250,,2697,,52,,1315,,6923,,223,,n/e,n/e,n/e,n/e,n/e,n/e,0,,125,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2399,
02:00 - 03:00,251,,2575,,53,,1319,,6904,,223,,n/e,n/e,n/e,n/e,n/e,n/e,0,,124,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2378,
03:00 - 04:00,251,,2620,,53,,1263,,6921,,223,,n/e,n/e,n/e,n/e,n/e,n/e,0,,124,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2504,
04:00 - 05:00,251,,2777,,53,,1193,,7033,,223,,n/e,n/e,n/e,n/e,n/e,n/e,0,,123,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2771,
05:00 - 06:00,271,,3367,,51,,1289,,7419,,224,,n/e,n/e,n/e,n/e,n/e,n/e,0,,122,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2905,
06:00 - 07:00,303,,4470,,50,,1500,,7992,,224,,n/e,n/e,n/e,n/e,n/e,n/e,340,,122,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2956,
07:00 - 08:00,305,,4975,,52,,1561,,8236,,224,,n/e,n/e,n/e,n/e,n/e,n/e,243,,146,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2932,
08:00 - 09:00,304,,5142,,53,,1548,,8326,,224,,n/e,n/e,n/e,n/e,n/e,n/e,30,,161,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2904,
09:00 - 10:00,304,,5217,,51,,1427,,8267,,227,,n/e,n/e,n/e,n/e,n/e,n/e,165,,162,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2666,
10:00 - 11:00,306,,5159,,51,,1414,,8286,,229,,n/e,n/e,n/e,n/e,n/e,n/e,358,,162,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2405,
11:00 - 12:00,304,,5144,,52,,1424,,8333,,229,,n/e,n/e,n/e,n/e,n/e,n/e,344,,163,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2231,
12:00 - 13:00,303,,5272,,53,,1458,,8308,,228,,n/e,n/e,n/e,n/e,n/e,n/e,339,,164,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2115,
13:00 - 14:00,304,,5267,,53,,1425,,8530,,227,,n/e,n/e,n/e,n/e,n/e,n/e,137,,168,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2225,
14:00 - 15:00,302,,5251,,53,,1448,,8700,,227,,n/e,n/e,n/e,n/e,n/e,n/e,29,,169,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2344,
15:00 - 16:00,299,,5378,,54,,1566,,9143,,228,,n/e,n/e,n/e,n/e,n/e,n/e,349,,190,,50,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2620,
16:00 - 17:00,298,,5223,,53,,1512,,8978,,228,,n/e,n/e,n/e,n/e,n/e,n/e,512,,202,,58,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2878,
17:00 - 18:00,299,,5159,,52,,1457,,8732,,230,,n/e,n/e,n/e,n/e,n/e,n/e,544,,201,,58,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2958,
18:00 - 19:00,300,,4894,,52,,1483,,8686,,230,,n/e,n/e,n/e,n/e,n/e,n/e,646,,182,,58,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3083,
19:00 - 20:00,300,,4697,,52,,1441,,8257,,231,,n/e,n/e,n/e,n/e,n/e,n/e,519,,171,,7,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3098,
20:00 - 21:00,300,,4171,,52,,1384,,8046,,230,,n/e,n/e,n/e,n/e,n/e,n/e,212,,161,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3074,
21:00 - 22:00,290,,3578,,53,,1301,,7980,,231,,n/e,n/e,n/e,n/e,n/e,n/e,50,,156,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3162,
22:00 - 23:00,264,,3110,,52,,1254,,7555,,231,,n/e,n/e,n/e,n/e,n/e,n/e,17,,156,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3328,
23:00 - 00:00,253,,3129,,52,,1228,,7391,,231,,n/e,n/e,n/e,n/e,n/e,n/e,0,,156,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3258,
00:00 - 01:00,251,,3131,,53,,1211,,7363,,231,,n/e,n/e,n/e,n/e,n/e,n/e,0,,158,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3139,
01:00 - 02:00,251,,3067,,53,,1187,,7225,,230,,n/e,n/e,n/e,n/e,n/e,n/e,0,,158,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3181,
02:00 - 03:00,252,,3051,,52,,1182,,7192,,231,,n/e,n/e,n/e,n/e,n/e,n/e,0,,155,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3224,
03:00 - 04:00,251,,3193,,52,,1214,,7339,,231,,n/e,n/e,n/e,n/e,n/e,n/e,0,,155,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3141,
04:00 - 05:00,273,,3421,,52,,1257,,7449,,230,,n/e,n/e,n/e,n/e,n/e,n/e,0,,155,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3065,
05:00 - 06:00,294,,4082,,53,,1284,,7545,,231,,n/e,n/e,n/e,n/e,n/e,n/e,18,,153,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2932,
06:00 - 07:00,302,,4939,,52,,1404,,7783,,232,,n/e,n/e,n/e,n/e,n/e,n/e,119,,152,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2797,
07:00 - 08:00,302,,5130,,52,,1423,,7803,,232,,n/e,n/e,n/e,n/e,n/e,n/e,20,,161,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2935,
08:00 - 09:00,302,,5126,,53,,1537,,7963,,232,,n/e,n/e,n/e,n/e,n/e,n/e,20,,174,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2983,
09:00 - 10:00,302,,5123,,53,,1513,,7989,,232,,n/e,n/e,n/e,n/e,n/e,n/e,3,,176,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3031,
10:00 - 11:00,302,,5121,,51,,1541,,7965,,232,,n/e,n/e,n/e,n/e,n/e,n/e,0,,178,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3195,
11:00 - 12:00,304,,4909,,51,,1470,,7885,,232,,n/e,n/e,n/e,n/e,n/e,n/e,155,,179,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3267,
12:00 - 13:00,304,,5070,,52,,1376,,7735,,232,,n/e,n/e,n/e,n/e,n/e,n/e,345,,182,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3308,
13:00 - 14:00,305,,5000,,52,,1332,,7639,,232,,n/e,n/e,n/e,n/e,n/e,n/e,370,,181,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3361,
14:00 - 15:00,303,,4901,,52,,1353,,7611,,232,,n/e,n/e,n/e,n/e,n/e,n/e,346,,160,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3545,
15:00 - 16:00,303,,4974,,52,,1464,,7941,,231,,n/e,n/e,n/e,n/e,n/e,n/e,457,,186,,50,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3719,
16:00 - 17:00,303,,4964,,52,,1407,,7719,,230,,n/e,n/e,n/e,n/e,n/e,n/e,668,,205,,58,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3869,
17:00 - 18:00,305,,4790,,53,,1336,,7599,,229,,n/e,n/e,n/e,n/e,n/e,n/e,650,,215,,58,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3922,
18:00 - 19:00,304,,4631,,53,,1330,,7633,,229,,n/e,n/e,n/e,n/e,n/e,n/e,634,,215,,58,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3793,
19:00 - 20:00,303,,4238,,53,,1304,,7618,,228,,n/e,n/e,n/e,n/e,n/e,n/e,619,,194,,58,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3654,
20:00 - 21:00,304,,3894,,52,,1303,,7407,,228,,n/e,n/e,n/e,n/e,n/e,n/e,414,,186,,7,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3680,
21:00 - 22:00,295,,3600,,53,,1282,,7252,,226,,n/e,n/e,n/e,n/e,n/e,n/e,176,,184,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3327,
22:00 - 23:00,263,,3141,,53,,1331,,7097,,225,,n/e,n/e,n/e,n/e,n/e,n/e,57,,184,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3332,
23:00 - 00:00,255,,3121,,53,,1253,,6895,,225,,n/e,n/e,n/e,n/e,n/e,n/e,0,,149,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3645,
00:00 - 01:00,253,,2710,,53,,1395,,6758,,225,,n/e,n/e,n/e,n/e,n/e,n/e,0,,144,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3970,
