,CCGT,CHP,DAC,H2 turbine,Imports_Exports,OCGT,battery storage,distribution network,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,1.03582458150057E-05,2.05830502412354E-05,-2.71913448310617,3.28949649934983E-06,-18.7085317302049,1.7419969137433E-06,-0.00150324266662335,-31.4020965263995,43.4376388871481,46.2546769931751,-36.8610077522306,0,0,-3.86911503348983E-05,-4.63339387777272E-05,3.02997828685221E-05
2013-01-01 01:00:00,1.04000661270132E-05,2.07233008089804E-05,-2.71913447603827,3.30441204666297E-06,-15.2643323438243,1.74827862500619E-06,0.00014941492559791,-31.4020927854867,40.4253936792214,45.8210348212284,-36.8609784821076,0,0,-3.79473290200849E-05,-4.54955746898977E-05,3.02628063838771E-05
2013-01-01 02:00:00,1.03596726126221E-05,2.05651814399569E-05,-2.71913448595837,3.29144178215914E-06,-15.5683766469309,1.7434996001775E-06,-0.00431562840431732,-31.4020965971793,41.8732723918422,44.6817010583384,-36.8610079653632,0,0,-3.85360849378458E-05,-4.63626558072134E-05,3.0224038836016E-05
2013-01-01 03:00:00,1.05165416102293E-05,2.12653672546212E-05,-2.71913445377982,3.35961655951793E-06,-12.1317692524558,1.76085875461876E-06,0.000292691494263093,-31.4020770616308,42.3025220771291,40.8108537734388,-36.8606548489308,0,0,-3.53304886267551E-05,-4.31633217271584E-05,3.02530415155878E-05
2013-01-01 04:00:00,1.06177570817811E-05,2.17190996687384E-05,-2.71913443126101,3.41834662722694E-06,-2.18616475825099,1.77750862924985E-06,0.00610561853737002,-31.4020602252198,36.1893160966376,31.7426640865646,-31.6306985878329,0,0,-3.2715391807983E-05,-3.97238115904385E-05,3.02627297760314E-05
2013-01-01 05:00:00,1.05897990286301E-05,2.1665799379882E-05,-2.7191344342822,3.400278558071E-06,-2.1455409188221,1.76768062875623E-06,0.00279517245170004,-31.402060465795,37.5290209924807,24.866563589159,-26.1316177840546,0,0,-3.17043815106217E-05,-3.7897338462524E-05,3.01736776083791E-05
2013-01-01 06:00:00,1.05845930618762E-05,4.1281450691407E-05,-2.71913360999542,3.39900318727861E-06,-2.26996277737507,1.76519540745163E-06,0.00203317988068814,-31.402120205221,41.3590231840707,18.9426442960631,-23.9124693101693,0,0,-3.06617933421762E-05,-3.82255602124013E-05,2.1243736602982E-05
2013-01-01 07:00:00,1.05797941991722E-05,4.11867115786969E-05,-2.71913362858049,3.39958047457739E-06,-13.3515676053209,1.76357736095667E-06,0.00166562148092971,-31.4021201607277,45.7045532688195,16.8583912363416,-15.0917718073454,0,0,-3.01831353964417E-05,-4.07271280501108E-05,2.12579023682163E-05
2013-01-01 08:00:00,1.05800341368219E-05,4.16930920464722E-05,-2.71913360725692,3.40479131234411E-06,-12.4267516756813,1.76305182345789E-06,0.00143486549443955,-31.4021204027733,47.4908615997551,16.5836541004162,-17.5279278167317,0,0,-3.01026557403361E-05,-4.14767666036467E-05,2.12561688695296E-05
2013-01-01 09:00:00,1.06221449209566E-05,2.19096694609272E-05,-2.71913442635238,3.44842193365087E-06,-4.22976573465672,1.7803859758347E-06,0.00131818683708885,-31.4020598793311,47.5123439166861,17.3004653194084,-28.6557655847805,2.19267428721212,-4.82735140078747E-05,-3.02831393298675E-05,-4.14916969327755E-05,3.01775191238132E-05
2013-01-01 10:00:00,1.06363203648907E-05,2.19917333783534E-05,-2.71913442429652,3.46782667505046E-06,-2.93523591646467,1.78564673471018E-06,0.00117922024044495,-31.402060037445,48.7003499529465,14.9473878338916,-28.7731471474837,2.18073536683184,-4.81381343190062E-05,-2.96164076892182E-05,-4.14232406114418E-05,3.01884819666563E-05
2013-01-01 11:00:00,1.06479050638784E-05,2.20522089484472E-05,-2.7191344223326,3.48225204113138E-06,-1.92617685491736,1.79061278853137E-06,0.00109181769980411,-31.4020600541737,49.078981356378,14.9141876053593,-31.2328769551435,3.28606112234407,-4.91825013230285E-05,-2.95868530010637E-05,-4.16408171203909E-05,3.02111877352746E-05
