,CCGT,CHP,H2 turbine,Imports_Exports,OCGT,battery storage,coal,distribution network,hydroelectricity,offshore wind,oil,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,2.4763204660069E-05,0.286961107197141,2.93332434293027E-06,11.5320072958148,4.81024082796393E-06,-26.2275215844433,2.50110556522318E-06,-107.513492759346,2.13419716160594,28.7245238975367,1.56120011335496E-06,99.0614720523357,-7.99814198453568,0,0,-3.61056750799888E-05,-3.41461480985197E-05,2.44084646384245E-05
2013-01-01 01:00:00,2.47524754479784E-05,0.286961042915917,2.9280073416284E-06,11.4319207276206,4.80829420129779E-06,-23.3383632596044,2.50048654242116E-06,-106.80495821434,2.13646074286557,26.1388928793658,1.56091018797353E-06,98.6203514199573,-8.47126492484159,0,0,-3.61157020968951E-05,-3.41307344401158E-05,2.91654290716189E-05
2013-01-01 02:00:00,2.4711160840717E-05,0.28696096983034,2.91984423493674E-06,11.6008771354454,4.79740315247424E-06,-19.149821391656,2.49891156331267E-06,-106.693166058007,2.13954904628844,23.658622871131,1.55972609290488E-06,96.9809938549136,-8.82401591651567,0,0,-3.61194242335818E-05,-3.41927085916115E-05,2.91592289471752E-05
2013-01-01 03:00:00,2.47064724932367E-05,0.286960984280358,2.92358218540729E-06,10.0545535169957,4.79610226302521E-06,-17.2667782188692,2.49890833021848E-06,-107.513500595752,2.14215042689378,24.4405917279728,1.55942549506618E-06,97.3654406881715,-9.50941300158843,0,0,-3.612440677498E-05,-3.42140908575046E-05,2.4186921133291E-05
2013-01-01 04:00:00,2.46912682083246E-05,0.286960990220373,2.92329065525272E-06,5.47843233575724,4.79141494535939E-06,-8.90631305498534,2.49858266379252E-06,-107.513493639731,2.14584906873441,23.450106130027,1.55877414290158E-06,93.2240733405529,-8.16560990107172,0,0,-3.60076393812669E-05,-3.41804764951838E-05,2.43429383840033E-05
2013-01-01 05:00:00,2.46232517142731E-05,0.286960908187235,2.9031806480982E-06,5.45813518659572,4.7703199749538E-06,-5.4869971430576,2.4963115961869E-06,-107.513495347204,2.1519010890482,21.8947325246595,1.55670159670858E-06,89.7182360420644,-6.50946786446062,0,0,-3.59568624838344E-05,-3.42296251850905E-05,2.42866185675207E-05
2013-01-01 06:00:00,2.46169820359548E-05,0.513213410475411,2.90624607937131E-06,5.45239848726128,4.76878258081376E-06,-1.98332158630224,2.49643747624401E-06,-107.513531719224,2.16168545306052,20.4019214409643,1.55627400393771E-06,83.7468032168747,-2.77915940875923,0,0,-3.57124084097367E-05,-3.3527931445493E-05,1.88385525495278E-05
2013-01-01 07:00:00,2.46136231191141E-05,1.77308961467957,2.91159318055022E-06,10.6237787614284,4.76862385990212E-06,-3.67843635751642,2.49670939127925E-06,-107.513531825855,2.17098216221251,20.6498779185879,1.55595848352604E-06,80.2211970273885,-4.24694854192113,0,0,-3.5529434375502E-05,-3.31114280757616E-05,1.88025796962028E-05
2013-01-01 08:00:00,2.4744461163692E-05,0.286961351051574,2.95874888061647E-06,10.1686857360778,4.80476520966315E-06,-7.89290598116422,2.5021353844167E-06,-107.51349813065,2.18282287326831,21.6800973663256,1.55915179367456E-06,75.856796825071,-11.1069771829887,16.3380647135903,-4.46253635854223E-05,-3.51061681012189E-05,-3.26349544166517E-05,2.42504834809569E-05
2013-01-01 09:00:00,2.48240022953044E-05,0.286961546687849,2.99260524194162E-06,6.15114037449007,4.82778413071718E-06,-11.0644025387281,2.50563433466343E-06,-107.513496974547,2.19659442940659,22.1044696378693,1.56123462296404E-06,73.5884958023943,-15.5798155121406,29.8301029920481,-4.73906201481081E-05,-3.48359808753378E-05,-3.23928076212393E-05,2.42749932433533E-05
2013-01-01 10:00:00,2.48430534975564E-05,0.286961636658299,3.00606306718086E-06,5.56461442898041,4.83245365747454E-06,-7.37327117898339,2.50682084707414E-06,-107.369808205487,2.21320067099929,23.7565237254204,1.56180836074923E-06,62.185207491521,-13.5020429928567,34.2386612184497,-4.98943324713311E-05,-3.40616729428107E-05,-3.24688509063857E-05,2.90642922213714E-05
2013-01-01 11:00:00,2.48161579044738E-05,0.286961619728122,2.99994062174629E-06,5.08149470546562,4.82443522538751E-06,-6.52367876842125,2.50592982938848E-06,-107.457385294835,2.2350611658945,23.809672623833,1.56125212740515E-06,61.2251224678897,-13.5112770687758,34.8540806347283,-5.52823544947978E-05,-3.39754912119209E-05,-3.22390279956618E-05,2.89477060595392E-05
2013-01-01 12:00:00,2.47555508563019E-05,0.286961455790015,2.97850549810299E-06,5.16365830333562,4.80629724114213E-06,-3.3202499613503,2.50359809173766E-06,-107.513496971401,2.25942096488725,25.2302064313238,1.55979733382647E-06,57.0565025777575,-7.08760004691219,27.9246459421043,-4.7426741798555E-05,-3.37057125871492E-05,-3.22587102664372E-05,2.42503709125236E-05
2013-01-01 13:00:00,2.46849389595249E-05,0.286961392638448,2.96607603310467E-06,6.45954182329301,4.7954225236396E-06,-0.00364416510089482,2.50040588204187E-06,-107.513497650668,2.54911218601158,27.2485254082873,1.55817657867245E-06,56.1551039097935,-3.38893959970833,18.2068836917704,-4.53989101229209E-05,-3.38659686762374E-05,-3.27925195701026E-05,2.42254319775685E-05
2013-01-01 14:00:00,2.73331820398386E-05,1.27570358933424,2.5253584783526E-06,11.2174786413794,5.0982079829575E-06,3.62399317609374,2.58928102040851E-06,-107.513492200016,2.60177375914314,27.5352002875559,1.61441924480421E-06,54.2340799065175,-0.000234927260384631,7.02551117875327,-3.31321074136847E-05,-2.70119267500673E-05,-2.64550110003115E-05,1.98863486280335E-05
2013-01-01 15:00:00,2.72719811164195E-05,3.09022265483434,2.5061915866794E-06,12.6707897071972,5.07964686108838E-06,11.8421869431267,2.58682565575383E-06,-107.513526016155,2.61330541853663,27.4335492175792,1.6129257930768E-06,49.8636948361419,-0.000234966134604481,0,0,-2.67989415517392E-05,-2.64875022561134E-05,1.69455132387464E-05
2013-01-01 16:00:00,2.7275600508342E-05,3.09022243267473,2.50604089776923E-06,11.8443984861267,5.08154574084935E-06,15.0945107037051,2.58646097965415E-06,-107.513526245781,2.61815204894481,27.547048768743,1.61300732126768E-06,47.319416477914,-0.000234884448771706,0,0,-2.66692953393067E-05,-2.65479241882516E-05,1.69277768158073E-05
2013-01-01 17:00:00,2.72893792662882E-05,3.09022247122594,2.51015726846092E-06,11.5124224279563,5.0866539679368E-06,16.1049676311775,2.58642732709405E-06,-107.513526229083,2.61941643698222,27.728366234787,1.61338575884858E-06,46.4583536905371,-0.000234778500255212,0,0,-2.66550619624256E-05,-2.66377178409658E-05,1.69132220482943E-05
2013-01-01 18:00:00,2.73007497784924E-05,3.09022269795586,2.51420315472481E-06,11.7109857720458,5.0907497684515E-06,14.8363644841175,2.58638411509517E-06,-107.513525961699,2.61956249159639,27.8570072982751,1.61373698379658E-06,47.3996060602548,-0.000234732803347159,0,0,-2.67910661935576E-05,-2.67161037048475E-05,1.69395239269856E-05
2013-01-01 19:00:00,2.73452976113318E-05,1.76553226298153,2.5280932857473E-06,12.0002359822083,5.10490962869151E-06,14.4938264498953,2.58751908026992E-06,-107.513491538393,2.62352289889933,28.2775773897272,1.61486931619936E-06,48.3530169679741,-0.000234408347895707,0,0,-2.68462986064377E-05,-2.70434081595225E-05,1.98848984182429E-05
