,CCGT,CHP,H2 turbine,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,1.51884254310469E-05,0.393534552894234,2.90305504779385E-06,19.2168941545318,3.05175666371685E-06,-0.0827935518484226,-93.6925020539269,2.75464923528497,6.1415057627456,25.6513058113616,54.5098050614949,-14.8923707646097,0,0,-3.57365431732433E-05,-1.75580583276157E-05,2.76356980715885E-05
2013-01-01 01:00:00,1.51989547683865E-05,0.393534510717389,2.90383591409934E-06,19.1573443946893,3.05459142487559E-06,-0.0812005411007702,-92.4881800524737,2.75284204414538,6.1415057552629,25.3399201661962,51.3757403858052,-12.5914804896884,0,0,-3.53949739828749E-05,-1.75393236647536E-05,2.92344529307717E-05
2013-01-01 02:00:00,1.52016970176481E-05,0.393534490268676,2.90809840894814E-06,19.0031688485295,3.05534553469317E-06,-0.0814804265614129,-90.58453907722,2.76442512501165,6.14150575863014,26.1846956502439,49.9468413065965,-13.7681257767043,0,0,-3.51304026987691E-05,-1.75758067757094E-05,2.92454031945643E-05
2013-01-01 03:00:00,1.51935638042663E-05,0.393534487940033,2.91109541802859E-06,18.9080099855904,3.05397204690518E-06,-0.0805684460283844,-89.8866227843197,2.78493138118565,6.14150575385254,26.1501760219565,48.1118378479572,-12.5227785314144,0,0,-3.49263778230124E-05,-1.75612694081765E-05,2.92228984791904E-05
2013-01-01 04:00:00,1.51821255984566E-05,0.393534509656313,2.91218469965987E-06,18.5169865553231,3.05169050581217E-06,-0.0785401871854457,-89.9720985110479,2.82152462417108,6.14150575258554,26.0764716411948,47.4499485220671,-11.3493071827368,0,0,-3.47999278244515E-05,-1.75751739432449E-05,2.91538305267499E-05
2013-01-01 05:00:00,1.4947722627131E-05,0.39353414610581,2.84223673813396E-06,18.5365856399086,2.9997160667406E-06,-0.0982413873411384,-93.6925186668211,2.86455122826037,6.14150560767023,25.615336029439,44.9503077454848,-4.71103243813819,0,0,-3.4801929993364E-05,-1.76542091960464E-05,2.75366048978474E-05
2013-01-01 06:00:00,1.49686254700521E-05,0.393534220476343,2.85236134879553E-06,18.6808753614542,3.00442876607152E-06,-0.0954715986051888,-93.6925141852714,2.91296254042919,6.14150562741749,25.2633633013087,42.8110624058035,-2.41528996746185,0,0,-3.45796188626082E-05,-1.76231375923668E-05,2.74419883162535E-05
2013-01-01 07:00:00,1.5228839662661E-05,0.393535191690033,2.90198312452038E-06,19.032378199958,3.0420337102845E-06,0.469314773916285,-93.6920609259587,2.96440065852233,6.14150662287621,25.0358045777866,39.6554676560269,-0.000322333491342413,0,0,-3.29650013122773E-05,-1.69463147578239E-05,2.74161000142382E-05
2013-01-01 08:00:00,1.51121153982783E-05,0.393534604086515,2.91093271651443E-06,19.0805719990808,3.04040201687557E-06,-0.0798151894969524,-93.6925104593019,3.0245456450519,6.14150559224048,24.7145882825389,37.0843595614618,-1.14943953968926,4.48272171023794,-3.56418880404874E-05,-3.38537272359645E-05,-1.75198667424288E-05,2.74375644983479E-05
2013-01-01 09:00:00,1.52372957913621E-05,0.393534804812875,2.94980020171875E-06,19.2632016370107,3.0612858138148E-06,-1.31564710846384,-87.7125986681384,3.08373230185653,6.14150569463837,24.2530764331494,33.2574554260086,-16.1914564260551,18.8272596510142,-3.98717327945803E-05,-3.31619289174796E-05,-1.7418931650319E-05,2.91009572368073E-05
2013-01-01 10:00:00,1.52622589295574E-05,0.393534904191114,2.96411267391421E-06,19.1609688450238,3.06583495803712E-06,-3.74279608011864,-82.3912445599045,3.13369967541968,6.14150571930104,21.7736335984012,26.5387714255478,-16.2043533085517,25.1963429852964,-4.0655409439637E-05,-3.21082653949816E-05,-1.72403809295624E-05,2.91161592227015E-05
2013-01-01 11:00:00,1.52425097340837E-05,0.393534953959662,2.96192533966745E-06,19.1673287151125,3.06135925304972E-06,-5.59107532642955,-81.2414727145416,3.17358981458645,6.14150570760055,20.8945253818162,24.3507492112874,-16.2078456187775,28.9192385306526,-5.66713665196351E-05,-3.16637086385754E-05,-1.71261168009546E-05,2.91111329642232E-05
2013-01-01 12:00:00,1.50258067489674E-05,0.393534700173576,2.90662040796699E-06,19.1264710525985,3.02407448403718E-06,-8.13177686182405,-79.3020146138601,3.22096241930667,6.14150549971194,22.3688021733689,23.0488169468239,-16.2149628218523,29.3487506482267,-6.66768642686101E-05,-3.16427196152063E-05,-1.7277223341815E-05,2.91077872264031E-05
2013-01-01 13:00:00,1.5002157547068E-05,0.393534659945288,2.89988355646746E-06,19.0565891594832,3.02051066436872E-06,-2.85924623164116,-81.0193839598197,3.27813055211418,6.14150552731807,22.2390096368311,22.3548829933545,-16.1830314055189,26.5981002896138,-6.8098465962782E-05,-3.14062425409247E-05,-1.72847299679972E-05,2.90897116310266E-05
2013-01-01 14:00:00,1.53072811418436E-05,0.393534690303618,2.75891269349165E-06,18.9699079905459,3.06102799734262E-06,-0.000241485041205634,-85.9870099938367,3.33986925977281,6.14150689565226,23.2561073041142,20.4105933007983,-6.42460917523536,19.9004301809492,-6.01950297062605E-05,-2.93868783058997E-05,-1.65405763076649E-05,2.74011670301726E-05
2013-01-01 15:00:00,1.65305680466667E-05,0.978216978123751,2.4532048107623E-06,18.9068611856211,3.21583820248701E-06,3.9514133278758E-06,-82.3295064521726,3.3752523169276,6.14151083992359,24.0528256508294,20.3248559607497,-0.000158889265417293,8.55018948753966,-3.6425356990716E-05,-2.42841772121665E-05,-1.38047798922845E-05,2.17843775608568E-05
2013-01-01 16:00:00,1.80790194391192E-05,1.92202141251203,2.59485912400755E-06,19.1659386946632,3.4216692388099E-06,10.6215768346503,-89.9898489505456,9.2885049977494,6.14151346500703,24.2992401037848,18.5511592966653,-9.72940192335365E-05,0,0,-2.10382521634074E-05,-1.20849475329395E-05,1.86295152954043E-05
