,CCGT,CHP,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,2.0342519806311E-05,1.56564395265947,7.48729216432491,4.26955752805548E-06,-7.51156620246031,-50.1768038305998,2.75461163967717,6.14149865240133,25.6518157559321,14.0878836605382,-0.000364960242449947,0,0,-2.17492100582448E-05,-1.56913664921189E-05,1.42218997849977E-05
2013-01-01 01:00:00,2.03506952665139E-05,1.56564375450795,7.16771160354339,4.27513811597849E-06,-7.30513474443045,-48.8155478955329,2.75280397492454,6.14149868095253,25.3439255348145,13.1494746359483,-0.000364881525648132,0,0,-2.16079632543372E-05,-1.56992554508892E-05,1.42497213899925E-05
2013-01-01 02:00:00,2.03582508352483E-05,1.56564341054095,7.13672058314547,4.28016125975686E-06,-7.26903525888314,-49.0296821805841,2.76438853093999,6.14149869363017,26.1906420164923,12.5001994908741,-0.000364684236128622,0,0,-2.15078225286673E-05,-1.57216231454347E-05,1.42336103729698E-05
2013-01-01 03:00:00,2.03606073925299E-05,1.56564379610202,7.35943263013331,4.28236491079093E-06,-2.33337321460763,-53.7173496733826,2.78489467554659,6.14149868181397,26.2003309087201,11.9992974599992,-0.000364689732395998,0,0,-2.14156387320326E-05,-1.5716775840358E-05,1.41738271541562E-05
2013-01-01 04:00:00,2.11001151538011E-05,1.56564540060707,8.76854998290573,4.373665548612E-06,0.501485986460524,-57.5949636167471,2.82153171461103,6.14149924247558,26.090399300267,11.706185422798,-0.000324925185318289,0,0,-2.04677437246733E-05,-1.50223074365366E-05,1.34163629656562E-05
2013-01-01 05:00:00,2.10352632293345E-05,1.56564521620498,7.32586988673041,4.33863305559445E-06,4.68033362587675,-59.3464059680905,2.86456208546949,6.14149902503953,25.6153274888258,11.1535112280967,-0.000334409607300296,0,0,-2.0344049058506E-05,-1.48585586527739E-05,1.36182221452523E-05
2013-01-01 06:00:00,2.10328665702346E-05,1.56564522037133,7.17623562773353,4.34205542606839E-06,7.49530584276888,-61.3209491351771,2.91297731944698,6.14149905295289,25.266628052074,10.7630000945051,-0.000334205811483861,0,0,-2.02427774767965E-05,-1.48680589845214E-05,1.3856025963679E-05
2013-01-01 07:00:00,2.10213941966338E-05,1.56564502094799,12.5730944638477,4.34558587295503E-06,3.87011741892018,-62.4048469264004,2.96438846720095,6.14149911145226,25.0498513234122,10.2405944310834,-0.000335931746308808,0,0,-2.01065178627075E-05,-1.48732686598983E-05,1.42263585178354E-05
2013-01-01 08:00:00,2.1066167069042E-05,1.5656450956449,6.78153722416878,4.37038310353614E-06,5.87144178150568,-58.485393498057,3.02457056588512,6.14149923403728,24.7380878624854,9.66989769205761,-0.00033298838810942,0.693073561604913,-1.95853886740924E-05,-1.99450016343721E-05,-1.48383831559777E-05,1.4393708204611E-05
2013-01-01 09:00:00,2.05158950711533E-05,1.5656437876612,6.59321046224476,4.29874888317987E-06,-6.49041667881059,-46.4258901645246,3.0837045455557,6.14149874071362,24.2980709715969,8.74639820481697,-0.000365454485984206,2.48817910628805,-2.57479487821273E-05,-2.03014733213789E-05,-1.53311633614231E-05,1.53362340715854E-05
