,CCGT,CHP,Imports_Exports,OCGT,battery storage,coal,distribution network,hydroelectricity,offshore wind,oil,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,1.9360692150145E-05,1.3285389117124E-05,15.3748840858952,4.21954515745925E-06,-23.2245739735227,2.02317327315673E-06,-96.6846321612379,2.27822667863292,28.7245240882581,1.12762440799287E-06,73.8007733721705,-0.269220169598194,0,0,-2.03614086317534E-05,-1.80587065506855E-05,1.45586391642861E-05
2013-01-01 01:00:00,1.93829425641409E-05,1.32945724403456E-05,14.7820906152087,4.22102613887646E-06,-19.7103732306192,2.0246383851368E-06,-96.6847297356512,2.28111854893371,26.1388930692829,1.12867493289803E-06,73.4692941655109,-0.276311755712086,0,0,-2.03433663328895E-05,-1.78657551133121E-05,1.45558171951541E-05
2013-01-01 02:00:00,1.93840156700242E-05,1.32874171545531E-05,14.9554563848891,4.22135630953791E-06,-16.1500670015078,2.02448165904193E-06,-96.6848063095271,2.28480179686318,23.6586230603293,1.12887733643185E-06,72.2225349407294,-0.286561407217302,0,0,-2.03120937661009E-05,-1.76904540511303E-05,1.45580549804114E-05
2013-01-01 03:00:00,0.0000193876539936,1.32755179454781E-05,12.9620886403577,4.22163316519749E-06,-15.1819120030392,2.0245422581904E-06,-96.684867474246,2.28790355499198,24.4405918734056,1.12924506443546E-06,72.479074965043,-0.302898042007584,0,0,-2.03125657624023E-05,-1.77421665104306E-05,1.45548159909876E-05
2013-01-01 04:00:00,1.94173916413038E-05,1.32797336267047E-05,9.37659770690434,4.22361678422348E-06,-7.44118848301717,2.02736324012154E-06,-96.6849272395831,2.2933785771438,23.4501061670494,1.13188559817908E-06,69.3374101574904,-0.331395607336147,0,0,-2.02082327983814E-05,-1.76385876121333E-05,1.4573625425148E-05
2013-01-01 05:00:00,1.94439725465736E-05,1.32549116530951E-05,9.77174343611562,4.22537248070886E-06,-3.56657835099945,2.0298935678529E-06,-96.684989819156,2.30213529387196,21.8947321597633,1.13449389113838E-06,66.6362675741519,-0.353329402412376,0,0,-2.00877958036268E-05,-1.7476104024341E-05,1.45937614546479E-05
2013-01-01 06:00:00,1.95156961713206E-05,1.33162185526143E-05,9.96465551045906,4.23386464299673E-06,-0.000834434146832043,2.03291846349342E-06,-94.911357748596,2.45014636515895,20.4019195068341,1.13684968987984E-06,62.0961719718683,-0.000721287643672843,0,0,-1.98064730227618E-05,-1.71560401791314E-05,1.47432287603444E-05
2013-01-01 07:00:00,1.96153938395135E-05,1.3520874654472E-05,12.3409685095053,4.2461849400604E-06,-0.000248009406720444,2.03704636645871E-06,-94.8080528045313,2.45967434479396,20.649875429633,1.13981461727175E-06,59.3581376054095,-0.000376457496434208,0,0,-1.95256072803294E-05,-1.69484318348979E-05,1.50506901454927E-05
2013-01-01 08:00:00,1.98390760820853E-05,1.34963030286535E-05,9.88663349528754,4.24999723946934E-06,-5.24288361521471,2.06114834310497E-06,-96.6852299080705,2.33592176718104,21.680095278724,1.16117422232035E-06,56.0744816353674,-0.379379350440298,12.3303653359836,-2.67625822653092E-05,-1.93440868014637E-05,-1.68913888461778E-05,1.53555363237504E-05
2013-01-01 09:00:00,2.0013881052563E-05,1.36553034419829E-05,9.95710670253969,4.26137043432092E-06,-20.3048575215974,2.07619952742395E-06,-90.5478636345892,2.34928542115912,22.1044676571874,1.17343857291567E-06,54.3878446616571,-0.388130551857326,22.4421522811028,-2.81839777440498E-05,-1.91023474662235E-05,-1.67534665570149E-05,1.55598992944262E-05
2013-01-01 10:00:00,2.00747349644148E-05,1.37211838984225E-05,9.85579513770945,4.26524359522729E-06,-17.667317566902,2.08246013623479E-06,-89.6932779525224,2.36703159175831,23.7565220321883,1.17919852794598E-06,45.9970837714382,-0.391099274864958,25.7752669367496,-2.83499165880858E-05,-1.87325818364978E-05,-1.68099394654369E-05,1.5612735133008E-05
2013-01-01 11:00:00,2.01023382788856E-05,1.37829590055263E-05,9.90861165647117,4.26755618181071E-06,-16.9587772228952,2.08525225842255E-06,-90.1972166958794,2.38958375519281,23.8096708720303,1.18147235098012E-06,45.1935435913173,-0.401015902332532,26.2556067748305,-3.07772676942917E-05,-1.86561782124399E-05,-1.67142655787067E-05,1.55449183343106E-05
2013-01-01 12:00:00,1.99173767410863E-05,1.36034615181694E-05,9.96246453077429,4.25516375111934E-06,-5.88101942769713,2.07035018659244E-06,-94.3874416008132,2.41500287915155,25.2302055379164,1.16959039625339E-06,42.0410148919998,-0.434214443808332,21.0539930058622,-2.82940770779995E-05,-1.86800250542633E-05,-1.69395463942379E-05,1.53741182234994E-05
2013-01-01 13:00:00,1.98011938973544E-05,1.35519733269215E-05,10.4829015201115,4.25296431644371E-06,-0.000562045278815806,2.05710068965368E-06,-95.5170835637379,2.57558831793525,27.2485262838955,1.15813668237442E-06,41.4673172553905,-0.000573982207526785,13.7438908616704,-2.70633286044797E-05,-1.87396222532428E-05,-1.71915035725619E-05,1.53318598594037E-05
2013-01-01 14:00:00,1.99986779565533E-05,1.42199528122343E-05,15.2356511665552,4.29293258438537E-06,5.18612305769515,2.05730048200531E-06,-95.9947708009427,2.60165292426536,27.5352018362741,1.15395490266579E-06,40.0960290997667,-0.000207424234624367,5.3403197165221,-2.36958799479606E-05,-1.82326135361188E-05,-1.67978632502844E-05,1.47905089506224E-05
2013-01-01 15:00:00,1.98552031468282E-05,4.12053926308287E-05,14.144385735128,4.28600013206952E-06,15.6256512452776,2.04856016987565E-06,-96.6863336445524,2.61319863096665,27.4335513660713,1.14744760504467E-06,36.8697113839672,-0.000211294828274852,0,0,-1.81875021637132E-05,-1.68729988851039E-05,1.06475382844694E-05
2013-01-01 16:00:00,1.98393811974455E-05,4.13872678286788E-05,12.0796735365624,4.28611525322034E-06,19.3863226659913,2.04734190419379E-06,-96.686333709106,2.61805265054217,27.5470512894817,1.14675199920593E-06,35.0553990214257,-0.000212277118472808,0,0,-1.81391985662107E-05,-1.69148307936187E-05,1.07657344114422E-05
2013-01-01 17:00:00,1.98457340112879E-05,4.15514073975031E-05,11.2191580592818,4.28723110477325E-06,20.6244754460764,2.04722889261884E-06,-96.6863339616137,2.61932217369558,27.7283685427316,1.14674202336638E-06,34.4951753366939,-0.00021261737513554,0,0,-1.81458039858339E-05,-1.69737805449406E-05,1.08885382715036E-05
2013-01-01 18:00:00,1.984433766249E-05,4.16986121432912E-05,11.4847914223804,4.28764926815438E-06,19.429292451333,2.04654363923454E-06,-96.6863341689621,2.61947231785259,27.8570091067211,1.14626823414038E-06,35.2959348548256,-0.000212990879861924,0,0,-1.82292881103249E-05,-1.70324790087856E-05,1.08893062127096E-05
2013-01-01 19:00:00,1.982706151753E-05,4.17510229292408E-05,13.7362022570136,4.28694624472416E-06,16.0057338720696,2.04469928114577E-06,-96.6863341864811,2.62343592363656,28.2775783180147,1.14491274468145E-06,36.0435506331288,-0.000213509891921252,0,0,-1.82937323133448E-05,-1.71678218014216E-05,1.07459716642665E-05
