index,UA -> RO,UA -> SK,UA -> HU,UA -> PL
2020-01-01 03:00:00+0000,516.0,0.0,281.0,0.0
2020-01-01 04:00:00+0000,451.0,0.0,315.0,0.0
2020-01-01 05:00:00+0000,352.0,0.0,321.0,0.0
2020-01-01 06:00:00+0000,274.0,0.0,326.0,0.0
2020-01-01 07:00:00+0000,224.0,0.0,308.0,0.0
2020-01-01 08:00:00+0000,162.0,0.0,297.0,0.0
2020-01-01 09:00:00+0000,85.0,0.0,269.0,0.0
2020-01-01 10:00:00+0000,23.0,0.0,263.0,0.0
2020-01-01 11:00:00+0000,12.0,0.0,229.0,0.0
2020-01-01 12:00:00+0000,36.0,0.0,225.0,0.0
2020-01-01 13:00:00+0000,116.0,0.0,214.0,0.0
2020-01-01 14:00:00+0000,176.0,0.0,146.0,0.0
2020-01-01 15:00:00+0000,225.0,0.0,96.0,0.0
2020-01-01 16:00:00+0000,238.0,0.0,202.0,0.0
2020-01-01 17:00:00+0000,283.0,0.0,206.0,0.0
2020-01-01 18:00:00+0000,275.0,0.0,190.0,0.0
2020-01-01 19:00:00+0000,255.0,0.0,166.0,0.0
2020-01-01 20:00:00+0000,248.0,0.0,207.0,0.0
2020-01-01 21:00:00+0000,283.0,0.0,300.0,0.0
2020-01-01 22:00:00+0000,327.0,0.0,357.0,0.0
2020-01-01 23:00:00+0000,347.0,0.0,446.0,79.0
2020-01-02 00:00:00+0000,381.0,0.0,457.0,122.0
2020-01-02 01:00:00+0000,426.0,0.0,459.0,148.0
2020-01-02 02:00:00+0000,557.0,0.0,397.0,193.0
2020-01-02 03:00:00+0000,608.0,0.0,347.0,204.0
2020-01-02 04:00:00+0000,622.0,0.0,256.0,202.0
2020-01-02 05:00:00+0000,476.0,0.0,302.0,206.0
2020-01-02 06:00:00+0000,388.0,0.0,395.0,203.0
2020-01-02 07:00:00+0000,310.0,0.0,402.0,202.0
2020-01-02 08:00:00+0000,266.0,0.0,404.0,205.0
2020-01-02 09:00:00+0000,245.0,0.0,348.0,207.0
2020-01-02 10:00:00+0000,243.0,0.0,324.0,208.0
2020-01-02 11:00:00+0000,239.0,0.0,304.0,209.0
2020-01-02 12:00:00+0000,237.0,0.0,291.0,207.0
2020-01-02 13:00:00+0000,231.0,0.0,251.0,205.0
2020-01-02 14:00:00+0000,251.0,0.0,275.0,208.0
2020-01-02 15:00:00+0000,303.0,0.0,369.0,208.0
2020-01-02 16:00:00+0000,313.0,0.0,378.0,205.0
2020-01-02 17:00:00+0000,325.0,0.0,389.0,206.0
2020-01-02 18:00:00+0000,323.0,0.0,390.0,206.0
2020-01-02 19:00:00+0000,350.0,0.0,403.0,206.0
2020-01-02 20:00:00+0000,314.0,0.0,385.0,205.0
2020-01-02 21:00:00+0000,343.0,0.0,480.0,209.0
2020-01-02 22:00:00+0000,345.0,0.0,479.0,211.0
2020-01-02 23:00:00+0000,495.0,0.0,379.0,207.0
2020-01-03 00:00:00+0000,571.0,0.0,337.0,206.0
2020-01-03 01:00:00+0000,543.0,0.0,293.0,208.0
2020-01-03 02:00:00+0000,540.0,0.0,261.0,204.0
2020-01-03 03:00:00+0000,541.0,0.0,258.0,207.0
2020-01-03 04:00:00+0000,562.0,0.0,246.0,205.0
2020-01-03 05:00:00+0000,542.0,0.0,273.0,209.0
2020-01-03 06:00:00+0000,472.0,0.0,288.0,207.0
2020-01-03 07:00:00+0000,494.0,0.0,275.0,202.0
2020-01-03 08:00:00+0000,516.0,0.0,242.0,207.0
2020-01-03 09:00:00+0000,515.0,0.0,243.0,209.0
2020-01-03 10:00:00+0000,514.0,0.0,244.0,206.0
2020-01-03 11:00:00+0000,486.0,0.0,245.0,208.0
2020-01-03 12:00:00+0000,463.0,0.0,212.0,210.0
2020-01-03 13:00:00+0000,494.0,0.0,159.0,208.0
2020-01-03 14:00:00+0000,453.0,0.0,138.0,209.0
2020-01-03 15:00:00+0000,474.0,0.0,221.0,209.0
2020-01-03 16:00:00+0000,509.0,0.0,197.0,207.0
2020-01-03 17:00:00+0000,517.0,0.0,186.0,209.0
2020-01-03 18:00:00+0000,505.0,0.0,171.0,210.0
2020-01-03 19:00:00+0000,503.0,0.0,191.0,211.0
2020-01-03 20:00:00+0000,534.0,0.0,246.0,210.0
2020-01-03 21:00:00+0000,506.0,0.0,283.0,209.0
2020-01-03 22:00:00+0000,646.0,0.0,283.0,210.0
2020-01-03 23:00:00+0000,726.0,0.0,319.0,210.0
2020-01-04 00:00:00+0000,742.0,0.0,267.0,210.0
2020-01-04 01:00:00+0000,759.0,0.0,256.0,211.0
2020-01-04 02:00:00+0000,803.0,0.0,216.0,211.0
2020-01-04 03:00:00+0000,816.0,0.0,210.0,209.0
2020-01-04 04:00:00+0000,828.0,0.0,221.0,213.0
2020-01-04 05:00:00+0000,797.0,0.0,246.0,215.0
2020-01-04 06:00:00+0000,749.0,0.0,264.0,209.0
2020-01-04 07:00:00+0000,745.0,0.0,274.0,210.0
2020-01-04 08:00:00+0000,720.0,0.0,280.0,205.0
2020-01-04 09:00:00+0000,657.0,0.0,207.0,209.0
2020-01-04 10:00:00+0000,631.0,0.0,210.0,213.0
2020-01-04 11:00:00+0000,600.0,0.0,234.0,211.0
2020-01-04 12:00:00+0000,616.0,0.0,196.0,211.0
2020-01-04 13:00:00+0000,673.0,0.0,214.0,209.0
2020-01-04 14:00:00+0000,639.0,0.0,196.0,207.0
2020-01-04 15:00:00+0000,606.0,0.0,292.0,206.0
2020-01-04 16:00:00+0000,584.0,0.0,287.0,204.0
2020-01-04 17:00:00+0000,564.0,0.0,259.0,205.0
2020-01-04 18:00:00+0000,521.0,0.0,224.0,207.0
2020-01-04 19:00:00+0000,592.0,0.0,185.0,208.0
2020-01-04 20:00:00+0000,656.0,0.0,287.0,207.0
2020-01-04 21:00:00+0000,668.0,0.0,308.0,206.0
2020-01-04 22:00:00+0000,684.0,0.0,335.0,209.0
2020-01-04 23:00:00+0000,762.0,0.0,278.0,211.0
2020-01-05 00:00:00+0000,812.0,0.0,296.0,209.0
2020-01-05 01:00:00+0000,767.0,0.0,268.0,213.0
2020-01-05 02:00:00+0000,711.0,0.0,247.0,212.0
2020-01-05 03:00:00+0000,692.0,0.0,221.0,211.0
2020-01-05 04:00:00+0000,704.0,0.0,259.0,209.0
2020-01-05 05:00:00+0000,688.0,0.0,214.0,211.0
2020-01-05 06:00:00+0000,690.0,0.0,137.0,211.0
