00:00 - 01:00,262,,1827,,188,,230,,354,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,211,85,,22,,n/e,n/e,2247,,106,,265,,0,,13,,n/e,n/e,123,
01:00 - 02:00,262,,1807,,186,,229,,352,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,521,85,,22,,n/e,n/e,2250,,106,,266,,0,,13,,n/e,n/e,125,
02:00 - 03:00,262,,1788,,183,,226,,353,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,1057,85,,22,,n/e,n/e,2251,,105,,266,,0,,13,,n/e,n/e,140,
03:00 - 04:00,262,,1813,,186,,230,,354,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,1107,85,,22,,n/e,n/e,2250,,106,,265,,0,,13,,n/e,n/e,142,
04:00 - 05:00,262,,1855,,187,,235,,353,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,1101,85,,22,,n/e,n/e,2251,,107,,264,,0,,13,,n/e,n/e,129,
05:00 - 06:00,262,,1712,,170,,239,,350,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,1092,86,,27,,n/e,n/e,2251,,111,,266,,0,,13,,n/e,n/e,124,
06:00 - 07:00,262,,1756,,177,,249,,354,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,821,92,,34,,n/e,n/e,2251,,114,,267,,2,,13,,n/e,n/e,141,
07:00 - 08:00,261,,1661,,164,,230,,355,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,326,90,,34,,n/e,n/e,2253,,115,,267,,10,,13,,n/e,n/e,148,
08:00 - 09:00,261,,1683,,173,,231,,360,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,209,90,,28,,n/e,n/e,2254,,112,,267,,50,,13,,n/e,n/e,176,
09:00 - 10:00,262,,1819,,193,,250,,363,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,191,90,,26,,n/e,n/e,2254,,114,,269,,112,,13,,n/e,n/e,167,
10:00 - 11:00,262,,1843,,193,,247,,370,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,38,90,,25,,n/e,n/e,2251,,117,,271,,147,,13,,n/e,n/e,175,
11:00 - 12:00,262,,1846,,195,,249,,373,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,137,87,,28,,n/e,n/e,2252,,120,,272,,190,,13,,n/e,n/e,164,
12:00 - 13:00,262,,1811,,196,,245,,360,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,62,85,,29,,n/e,n/e,2302,,119,,271,,166,,13,,n/e,n/e,143,
13:00 - 14:00,264,,1807,,195,,245,,352,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,0,85,,25,,n/e,n/e,2382,,122,,272,,115,,13,,n/e,n/e,147,
14:00 - 15:00,262,,1815,,195,,244,,357,,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,70,87,,30,,n/e,n/e,2446,,121,,272,,31,,13,,n/e,n/e,100,
15:00 - 16:00,264,,1893,,196,,248,,358,,12,,n/e,n/e,n/e,n/e,n/e,n/e,272,0,85,,74,,n/e,n/e,2447,,122,,272,,2,,13,,n/e,n/e,69,
