"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Nuclear","46WPU0000000061P","Oskarshamn 3","1400","1400","SE3","400","01.11.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Nuclear","46WPU0000000017S","Forsmark block 3","1172","1172","SE3","400","01.11.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Nuclear","46WPU0000000014Y","Ringhals 4","1140","1140","SE3","400","01.11.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Nuclear","46WPU0000000016U","Forsmark block 2","1118","1121","SE3","400","01.11.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Nuclear","46WPU00000000121","Ringhals 3","1063","1063","SE3","400","01.11.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Nuclear","46WPU0000000015W","Forsmark block 1","988","1014","SE3","400","01.11.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Hydro Water Reservoir","46WPU0000000029L","Harsprånget","811","811","SE1","400","01.11.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Fossil Oil","46WPU0000000005Z","Karlshamn","662","662","SE4","400","01.11.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Wind Onshore","46WPU0000000113W","MarkbygdenETT","645","645","SE1","130","25.08.2020",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Hydro Water Reservoir","46WPU0000000042T","Stornorrfors","610","610","SE2","400","01.07.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Hydro Water Reservoir","46WPU0000000035Q","Letsi","473","473","SE1","400","01.11.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Hydro Water Reservoir","46WPU0000000032W","Messaure","445","445","SE1","400","01.11.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Hydro Water Reservoir","46WPU0000000028N","Porjus","422","422","SE1","130","01.11.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Wind Onshore","46WPU0000000144L","Djupdal","380","380","Markbygden","150","01.09.2021",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Fossil Oil","46WPU0000000023X","Värtaverket","504","374","SE3","110","01.11.2014",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Wind Onshore","46WPU0000000145J","Kallamossen","374","374","Markbygden","150","01.09.2021",""
"CTA|SE / 01.01.2023 00:00 - 01.01.2024 00:00","Wind Onshore","46WPU0000000203V","Björnberget Vindkraft","N/A","372","SE2","36","20.09.2023",""
