Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,Daivões,114,1.0,PT,,,HDAM,WAT,0.85,0.0,0.0,0.775862069,0.775862069,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,7980.0,0.0,0.0,0.0,,,,,,,,
,Cabril,108,1.0,PT,,,HDAM,WAT,0.85,0.0,0.0,0.8411214953,0.8411214953,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,339300.0,0.0,0.0,0.0,,,,,,,,
,Dispa-SET_BIO_STUR_PT,681,1.0,PT,,,STUR,BIO,0.45,8.0,6.0,0.0111607143,0.0111607143,2000.0,,0.0,0.2,0.45,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_GAS_COMC_PT,691,1.0,PT,,,COMC,GAS,0.525,5.0,1.0,0.0163304094,0.0163304094,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_OTH_STUR_PT,28,1.0,PT,,,STUR,OTH,0.3,4.0,4.0,0.02,0.02,,0.0,0.0,0.5,0.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_WAT_HDAM_PT,504,1.0,PT,,,HDAM,WAT,0.85,0.0,0.0,0.18,0.18,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,35280.0,0.0,0.0,0.0,,,,,,,,
,Dispa-SET_WAT_HROR_PT,408,1.0,PT,,,HROR,WAT,1.0,0.0,0.0,0.5238095238,0.5238095238,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_WIN_WTON_PT,5328,1.0,PT,,,WTON,WIN,1.0,0.0,0.0,0.02,0.02,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_WIN_WTOF_PT,25,1.0,PT,,,WTOF,WIN,1.0,0.0,0.0,1.2962962963,1.2962962963,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_SUN_PHOT_PT,1032,1.0,PT,,,PHOT,SUN,1.0,0.0,0.0,0.02,0.02,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
