00:00 - 01:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,115,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,4,
01:00 - 02:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,41,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,2,
02:00 - 03:00,54,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,2,
03:00 - 04:00,54,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,2,
04:00 - 05:00,54,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,0,
05:00 - 06:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,49,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,0,
06:00 - 07:00,54,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,67,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,0,
07:00 - 08:00,54,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,35,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,0,
08:00 - 09:00,54,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,82,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,0,
09:00 - 10:00,54,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2,0,37,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,1,,19,,n/e,n/e,0,
10:00 - 11:00,54,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,2,,19,,n/e,n/e,0,
11:00 - 12:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,128,0,45,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,1,,19,,n/e,n/e,1,
12:00 - 13:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,99,0,65,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,1,,19,,n/e,n/e,1,
13:00 - 14:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,129,0,73,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,2,,19,,n/e,n/e,1,
14:00 - 15:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,216,0,73,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,2,,19,,n/e,n/e,1,
15:00 - 16:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,213,0,73,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,1,,19,,n/e,n/e,1,
16:00 - 17:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,213,0,73,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,1,
17:00 - 18:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,262,0,73,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,1,
18:00 - 19:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,212,0,63,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,1,
19:00 - 20:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,211,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,1,
