Week,2023,Dispa-SET_Date
1,0,2023-01-01 00:00:00+00:00
2,0,2023-01-08 00:00:00+00:00
3,0,2023-01-15 00:00:00+00:00
4,0,2023-01-22 00:00:00+00:00
5,0,2023-01-29 00:00:00+00:00
6,0,2023-02-05 00:00:00+00:00
7,0,2023-02-12 00:00:00+00:00
8,0,2023-02-19 00:00:00+00:00
9,0,2023-02-26 00:00:00+00:00
10,0,2023-03-05 00:00:00+00:00
11,0,2023-03-12 00:00:00+00:00
12,0,2023-03-19 00:00:00+00:00
13,0,2023-03-26 00:00:00+00:00
14,0,2023-04-02 00:00:00+00:00
15,0,2023-04-09 00:00:00+00:00
16,0,2023-04-16 00:00:00+00:00
17,0,2023-04-23 00:00:00+00:00
18,0,2023-04-30 00:00:00+00:00
19,0,2023-05-07 00:00:00+00:00
20,0,2023-05-14 00:00:00+00:00
21,0,2023-05-21 00:00:00+00:00
22,0,2023-05-28 00:00:00+00:00
23,0,2023-06-04 00:00:00+00:00
24,0,2023-06-11 00:00:00+00:00
25,0,2023-06-18 00:00:00+00:00
26,0,2023-06-25 00:00:00+00:00
27,0,2023-07-02 00:00:00+00:00
28,0,2023-07-09 00:00:00+00:00
29,0,2023-07-16 00:00:00+00:00
30,0,2023-07-23 00:00:00+00:00
31,0,2023-07-30 00:00:00+00:00
32,0,2023-08-06 00:00:00+00:00
33,0,2023-08-13 00:00:00+00:00
34,0,2023-08-20 00:00:00+00:00
35,0,2023-08-27 00:00:00+00:00
36,0,2023-09-03 00:00:00+00:00
37,0,2023-09-10 00:00:00+00:00
38,0,2023-09-17 00:00:00+00:00
39,0,2023-09-24 00:00:00+00:00
40,0,2023-10-01 00:00:00+00:00
41,0,2023-10-08 00:00:00+00:00
42,0,2023-10-15 00:00:00+00:00
43,0,2023-10-22 00:00:00+00:00
44,0,2023-10-29 00:00:00+00:00
45,0,2023-11-05 00:00:00+00:00
46,0,2023-11-12 00:00:00+00:00
47,0,2023-11-19 00:00:00+00:00
48,0,2023-11-26 00:00:00+00:00
49,0,2023-12-03 00:00:00+00:00
50,0,2023-12-10 00:00:00+00:00
51,0,2023-12-17 00:00:00+00:00
52,0,2023-12-24 00:00:00+00:00
53,0,2023-12-31 00:00:00+00:00
54,0,2024-01-07 00:00:00+00:00
