Week,2023,Dispa-SET_Date
1,0.5799836930077196,2023-01-01 00:00:00+00:00
2,0.5791891216580529,2023-01-08 00:00:00+00:00
3,0.5873944319511842,2023-01-15 00:00:00+00:00
4,0.5892536920871635,2023-01-22 00:00:00+00:00
5,0.5911579279599164,2023-01-29 00:00:00+00:00
6,0.5464552017990295,2023-02-05 00:00:00+00:00
7,0.5343451559027367,2023-02-12 00:00:00+00:00
8,0.522743256927184,2023-02-19 00:00:00+00:00
9,0.5276816454281243,2023-02-26 00:00:00+00:00
10,0.4843429202666982,2023-03-05 00:00:00+00:00
11,0.4904009678988966,2023-03-12 00:00:00+00:00
12,0.4957909548796044,2023-03-19 00:00:00+00:00
13,0.509098775660499,2023-03-26 00:00:00+00:00
14,0.5193540326928894,2023-04-02 00:00:00+00:00
15,0.5340981838744887,2023-04-09 00:00:00+00:00
16,0.5503496797780145,2023-04-16 00:00:00+00:00
17,0.5719109427808682,2023-04-23 00:00:00+00:00
18,0.6202340842440263,2023-04-30 00:00:00+00:00
19,0.6639773280204101,2023-05-07 00:00:00+00:00
20,0.7072936968214516,2023-05-14 00:00:00+00:00
21,0.7596680738022908,2023-05-21 00:00:00+00:00
22,0.8212961428702936,2023-05-28 00:00:00+00:00
23,0.8661829802343473,2023-06-04 00:00:00+00:00
24,0.9049870464617772,2023-06-11 00:00:00+00:00
25,0.9476143133309662,2023-06-18 00:00:00+00:00
26,0.9703707210583764,2023-06-25 00:00:00+00:00
27,0.9802572296524245,2023-07-02 00:00:00+00:00
28,1.0,2023-07-09 00:00:00+00:00
29,0.9876761220920292,2023-07-16 00:00:00+00:00
30,0.9800197262003392,2023-07-23 00:00:00+00:00
31,0.9587304217461632,2023-07-30 00:00:00+00:00
32,0.9282857931905156,2023-08-06 00:00:00+00:00
33,0.9157504504149078,2023-08-13 00:00:00+00:00
34,0.9076119461869254,2023-08-20 00:00:00+00:00
35,0.9295480069962258,2023-08-27 00:00:00+00:00
36,0.909302613064005,2023-09-03 00:00:00+00:00
37,0.885183256401152,2023-09-10 00:00:00+00:00
38,0.902974711011165,2023-09-17 00:00:00+00:00
39,0.8946318433476677,2023-09-24 00:00:00+00:00
40,0.8774626846043582,2023-10-01 00:00:00+00:00
41,0.8618908220565221,2023-10-08 00:00:00+00:00
42,0.8920942649360214,2023-10-15 00:00:00+00:00
43,0.9191480911613472,2023-10-22 00:00:00+00:00
44,0.963574650517484,2023-10-29 00:00:00+00:00
45,0.9463539406372876,2023-11-05 00:00:00+00:00
46,0.93949185307926,2023-11-12 00:00:00+00:00
47,0.9234728633237332,2023-11-19 00:00:00+00:00
48,0.9309525124603832,2023-11-26 00:00:00+00:00
49,0.9165747425730856,2023-12-03 00:00:00+00:00
50,0.900759590221065,2023-12-10 00:00:00+00:00
51,0.8794329374942466,2023-12-17 00:00:00+00:00
52,0.8628437290409121,2023-12-24 00:00:00+00:00
53,0.8459841401349272,2023-12-31 00:00:00+00:00
54,0.8032027458870872,2024-01-07 00:00:00+00:00
