00:00 - 01:00,1036,,n/e,n/e,n/e,n/e,551,,851,,1,,n/e,n/e,476,,n/e,n/e,n/e,n/e,1144,,n/e,n/e,n/e,n/e,2774,,232,,47,,n/e,n/e,42,,n/e,n/e,548,
01:00 - 02:00,1046,,n/e,n/e,n/e,n/e,558,,851,,1,,n/e,n/e,485,,n/e,n/e,n/e,n/e,1210,,n/e,n/e,n/e,n/e,2774,,234,,47,,n/e,n/e,42,,n/e,n/e,573,
02:00 - 03:00,1047,,n/e,n/e,n/e,n/e,555,,851,,1,,n/e,n/e,491,,n/e,n/e,n/e,n/e,1143,,n/e,n/e,n/e,n/e,2774,,236,,47,,n/e,n/e,42,,n/e,n/e,567,
03:00 - 04:00,1056,,n/e,n/e,n/e,n/e,554,,852,,1,,n/e,n/e,500,,n/e,n/e,n/e,n/e,1153,,n/e,n/e,n/e,n/e,2774,,237,,47,,n/e,n/e,42,,n/e,n/e,543,
04:00 - 05:00,1044,,n/e,n/e,n/e,n/e,557,,861,,1,,n/e,n/e,512,,n/e,n/e,n/e,n/e,1137,,n/e,n/e,n/e,n/e,2774,,239,,47,,n/e,n/e,42,,n/e,n/e,537,
05:00 - 06:00,1046,,n/e,n/e,n/e,n/e,558,,876,,1,,n/e,n/e,513,,n/e,n/e,n/e,n/e,1291,,n/e,n/e,n/e,n/e,2773,,242,,47,,n/e,n/e,42,,n/e,n/e,527,
06:00 - 07:00,1044,,n/e,n/e,n/e,n/e,558,,896,,1,,n/e,n/e,527,,n/e,n/e,n/e,n/e,1373,,n/e,n/e,n/e,n/e,2773,,244,,47,,n/e,n/e,42,,n/e,n/e,532,
07:00 - 08:00,1048,,n/e,n/e,n/e,n/e,562,,885,,1,,n/e,n/e,531,,n/e,n/e,n/e,n/e,1357,,n/e,n/e,n/e,n/e,2774,,246,,47,,n/e,n/e,42,,n/e,n/e,538,
08:00 - 09:00,1053,,n/e,n/e,n/e,n/e,555,,863,,1,,n/e,n/e,540,,n/e,n/e,n/e,n/e,1329,,n/e,n/e,n/e,n/e,2774,,248,,47,,n/e,n/e,42,,n/e,n/e,535,
09:00 - 10:00,1054,,n/e,n/e,n/e,n/e,556,,872,,1,,n/e,n/e,546,,n/e,n/e,n/e,n/e,1413,,n/e,n/e,n/e,n/e,2774,,249,,47,,n/e,n/e,42,,n/e,n/e,497,
10:00 - 11:00,1053,,n/e,n/e,n/e,n/e,558,,899,,1,,n/e,n/e,551,,n/e,n/e,n/e,n/e,1576,,n/e,n/e,n/e,n/e,2774,,249,,47,,n/e,n/e,42,,n/e,n/e,479,
11:00 - 12:00,1057,,n/e,n/e,n/e,n/e,559,,900,,1,,n/e,n/e,553,,n/e,n/e,n/e,n/e,1641,,n/e,n/e,n/e,n/e,2773,,250,,47,,n/e,n/e,42,,n/e,n/e,455,
12:00 - 13:00,1044,,n/e,n/e,n/e,n/e,563,,897,,1,,n/e,n/e,562,,n/e,n/e,n/e,n/e,1622,,n/e,n/e,n/e,n/e,2774,,253,,46,,n/e,n/e,42,,n/e,n/e,449,
13:00 - 14:00,1034,,n/e,n/e,n/e,n/e,564,,902,,1,,n/e,n/e,575,,n/e,n/e,n/e,n/e,1684,,n/e,n/e,n/e,n/e,2774,,255,,46,,n/e,n/e,42,,n/e,n/e,456,
14:00 - 15:00,1033,,n/e,n/e,n/e,n/e,565,,903,,1,,n/e,n/e,588,,n/e,n/e,n/e,n/e,1838,,n/e,n/e,n/e,n/e,2774,,259,,46,,n/e,n/e,42,,n/e,n/e,443,
15:00 - 16:00,1032,,n/e,n/e,n/e,n/e,584,,892,,1,,n/e,n/e,589,,n/e,n/e,n/e,n/e,1794,,n/e,n/e,n/e,n/e,2773,,262,,46,,n/e,n/e,42,,n/e,n/e,405,
16:00 - 17:00,1026,,n/e,n/e,n/e,n/e,602,,902,,1,,n/e,n/e,597,,n/e,n/e,n/e,n/e,1829,,n/e,n/e,n/e,n/e,2774,,264,,46,,n/e,n/e,42,,n/e,n/e,402,
17:00 - 18:00,1044,,n/e,n/e,n/e,n/e,610,,906,,1,,n/e,n/e,616,,n/e,n/e,n/e,n/e,1853,,n/e,n/e,n/e,n/e,2774,,264,,46,,n/e,n/e,42,,n/e,n/e,424,
18:00 - 19:00,1045,,n/e,n/e,n/e,n/e,581,,893,,1,,n/e,n/e,597,,n/e,n/e,n/e,n/e,1832,,n/e,n/e,n/e,n/e,2774,,265,,45,,n/e,n/e,42,,n/e,n/e,390,
19:00 - 20:00,1040,,n/e,n/e,n/e,n/e,571,,887,,1,,n/e,n/e,587,,n/e,n/e,n/e,n/e,1613,,n/e,n/e,n/e,n/e,2774,,268,,44,,n/e,n/e,42,,n/e,n/e,369,
20:00 - 21:00,1040,,n/e,n/e,n/e,n/e,566,,892,,1,,n/e,n/e,583,,n/e,n/e,n/e,n/e,1627,,n/e,n/e,n/e,n/e,2775,,273,,47,,n/e,n/e,42,,n/e,n/e,343,
21:00 - 22:00,1026,,n/e,n/e,n/e,n/e,606,,917,,1,,n/e,n/e,605,,n/e,n/e,n/e,n/e,1757,,n/e,n/e,n/e,n/e,2774,,275,,47,,n/e,n/e,42,,n/e,n/e,348,
22:00 - 23:00,1024,,n/e,n/e,n/e,n/e,569,,900,,1,,n/e,n/e,589,,n/e,n/e,n/e,n/e,1464,,n/e,n/e,n/e,n/e,2775,,278,,46,,n/e,n/e,42,,n/e,n/e,345,
23:00 - 00:00,1052,,n/e,n/e,n/e,n/e,563,,867,,1,,n/e,n/e,579,,n/e,n/e,n/e,n/e,1254,,n/e,n/e,n/e,n/e,2775,,280,,46,,n/e,n/e,42,,n/e,n/e,329,
