index,NO -> DE,NO -> SE,NO -> FI,NO -> DK,NO -> UK,NO -> NL
2021-01-01 00:00:00+0000,701.0,1035.0,55.0,1632.0,,706.0
2021-01-01 00:15:00+0000,702.0,,,,,
2021-01-01 00:30:00+0000,701.0,,,,,
2021-01-01 00:45:00+0000,702.0,,,,,
2021-01-01 01:00:00+0000,702.0,928.0,40.0,1632.0,,706.0
2021-01-01 01:15:00+0000,701.0,,,,,
2021-01-01 01:30:00+0000,702.0,,,,,
2021-01-01 01:45:00+0000,702.0,,,,,
2021-01-01 02:00:00+0000,701.0,884.0,47.0,1632.0,,706.0
2021-01-01 02:15:00+0000,702.0,,,,,
2021-01-01 02:30:00+0000,702.0,,,,,
2021-01-01 02:45:00+0000,702.0,,,,,
2021-01-01 03:00:00+0000,702.0,895.0,54.0,1632.0,,707.0
2021-01-01 03:15:00+0000,702.0,,,,,
2021-01-01 03:30:00+0000,702.0,,,,,
2021-01-01 03:45:00+0000,702.0,,,,,
2021-01-01 04:00:00+0000,702.0,938.0,56.0,1632.0,,706.0
2021-01-01 04:15:00+0000,702.0,,,,,
2021-01-01 04:30:00+0000,702.0,,,,,
2021-01-01 04:45:00+0000,701.0,,,,,
2021-01-01 05:00:00+0000,702.0,1031.0,61.0,1632.0,,706.0
2021-01-01 05:15:00+0000,701.0,,,,,
2021-01-01 05:30:00+0000,702.0,,,,,
2021-01-01 05:45:00+0000,702.0,,,,,
2021-01-01 06:00:00+0000,701.0,1147.0,70.0,1632.0,,706.0
2021-01-01 06:15:00+0000,701.0,,,,,
2021-01-01 06:30:00+0000,701.0,,,,,
2021-01-01 06:45:00+0000,701.0,,,,,
2021-01-01 07:00:00+0000,702.0,1256.0,82.0,1632.0,,706.0
2021-01-01 07:15:00+0000,702.0,,,,,
2021-01-01 07:30:00+0000,702.0,,,,,
2021-01-01 07:45:00+0000,701.0,,,,,
2021-01-01 08:00:00+0000,701.0,1417.0,74.0,1632.0,,706.0
2021-01-01 08:15:00+0000,701.0,,,,,
2021-01-01 08:30:00+0000,701.0,,,,,
2021-01-01 08:45:00+0000,702.0,,,,,
2021-01-01 09:00:00+0000,701.0,1645.0,67.0,1632.0,,706.0
2021-01-01 09:15:00+0000,702.0,,,,,
2021-01-01 09:30:00+0000,701.0,,,,,
2021-01-01 09:45:00+0000,702.0,,,,,
2021-01-01 10:00:00+0000,702.0,2025.0,60.0,1632.0,,706.0
2021-01-01 10:15:00+0000,701.0,,,,,
2021-01-01 10:30:00+0000,702.0,,,,,
2021-01-01 10:45:00+0000,701.0,,,,,
2021-01-01 11:00:00+0000,702.0,2187.0,55.0,1632.0,,706.0
2021-01-01 11:15:00+0000,701.0,,,,,
2021-01-01 11:30:00+0000,702.0,,,,,
2021-01-01 11:45:00+0000,701.0,,,,,
2021-01-01 12:00:00+0000,702.0,2299.0,62.0,1632.0,,706.0
2021-01-01 12:15:00+0000,702.0,,,,,
2021-01-01 12:30:00+0000,702.0,,,,,
2021-01-01 12:45:00+0000,702.0,,,,,
2021-01-01 13:00:00+0000,701.0,2531.0,50.0,1632.0,,706.0
2021-01-01 13:15:00+0000,702.0,,,,,
2021-01-01 13:30:00+0000,702.0,,,,,
2021-01-01 13:45:00+0000,702.0,,,,,
2021-01-01 14:00:00+0000,702.0,2713.0,54.0,1632.0,,706.0
2021-01-01 14:15:00+0000,702.0,,,,,
2021-01-01 14:30:00+0000,702.0,,,,,
2021-01-01 14:45:00+0000,702.0,,,,,
2021-01-01 15:00:00+0000,702.0,2605.0,68.0,1632.0,,707.0
2021-01-01 15:15:00+0000,702.0,,,,,
2021-01-01 15:30:00+0000,702.0,,,,,
2021-01-01 15:45:00+0000,701.0,,,,,
2021-01-01 16:00:00+0000,702.0,2588.0,73.0,1632.0,,706.0
2021-01-01 16:15:00+0000,701.0,,,,,
2021-01-01 16:30:00+0000,701.0,,,,,
2021-01-01 16:45:00+0000,701.0,,,,,
2021-01-01 17:00:00+0000,701.0,2631.0,73.0,1632.0,,706.0
2021-01-01 17:15:00+0000,702.0,,,,,
2021-01-01 17:30:00+0000,701.0,,,,,
2021-01-01 17:45:00+0000,702.0,,,,,
2021-01-01 18:00:00+0000,702.0,2538.0,69.0,1632.0,,706.0
2021-01-01 18:15:00+0000,701.0,,,,,
2021-01-01 18:30:00+0000,701.0,,,,,
2021-01-01 18:45:00+0000,701.0,,,,,
2021-01-01 19:00:00+0000,701.0,2375.0,55.0,1632.0,,706.0
2021-01-01 19:15:00+0000,701.0,,,,,
2021-01-01 19:30:00+0000,702.0,,,,,
2021-01-01 19:45:00+0000,701.0,,,,,
2021-01-01 20:00:00+0000,701.0,2651.0,45.0,1632.0,,706.0
2021-01-01 20:15:00+0000,702.0,,,,,
2021-01-01 20:30:00+0000,702.0,,,,,
2021-01-01 20:45:00+0000,702.0,,,,,
2021-01-01 21:00:00+0000,701.0,2549.0,45.0,1632.0,,706.0
2021-01-01 21:15:00+0000,701.0,,,,,
2021-01-01 21:30:00+0000,701.0,,,,,
2021-01-01 21:45:00+0000,701.0,,,,,
2021-01-01 22:00:00+0000,702.0,2161.0,53.0,1632.0,,706.0
2021-01-01 22:15:00+0000,701.0,,,,,
2021-01-01 22:30:00+0000,701.0,,,,,
2021-01-01 22:45:00+0000,701.0,,,,,
2021-01-01 23:00:00+0000,702.0,1584.0,49.0,1632.0,,706.0
2021-01-01 23:15:00+0000,701.0,,,,,
2021-01-01 23:30:00+0000,701.0,,,,,
2021-01-01 23:45:00+0000,702.0,,,,,
2021-01-02 00:00:00+0000,701.0,1196.0,46.0,1632.0,,706.0
2021-01-02 00:15:00+0000,701.0,,,,,
2021-01-02 00:30:00+0000,702.0,,,,,
2021-01-02 00:45:00+0000,701.0,,,,,
2021-01-02 01:00:00+0000,702.0,1134.0,41.0,1632.0,,707.0
2021-01-02 01:15:00+0000,701.0,,,,,
2021-01-02 01:30:00+0000,701.0,,,,,
2021-01-02 01:45:00+0000,701.0,,,,,
