Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Olkiluoto 3,1600.0,1.0,FI,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Olkiluoto 1,890.0,1.0,FI,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Olkiluoto 2,890.0,1.0,FI,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meri-Pori,565.0,1.0,FI,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loviisa 1,496.0,1.0,FI,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loviisa 2,496.0,1.0,FI,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vuosaari,480.0,1.0,FI,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Naantali,471.0,1.0,FI,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kristiina,450.0,1.0,FI,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaskiluoto,383.0,1.0,FI,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pjelax Windfarm,,1.0,FI,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suomenoja,354.0,1.0,FI,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forssa,326.0,1.0,FI,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Äänekoski,260.0,1.0,FI,,,STUR,BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Metsä Fibre Kemi,250.0,1.0,FI,,,STUR,BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alholmens Kraft,240.0,1.0,FI,,,STUR,PEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tahkoluoto,240.0,1.0,FI,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
