,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,FHIBGES,1296.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COFRENTES,1064.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VANDELLOS,1045.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALMARAZ 1,1011.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALMARAZ 2,1006.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRILLO,1003.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASCO 1,996.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASCO 2,992.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOLARES 1,992.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FREGPEM,534.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FEGPE1,499.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FFIBGES,455.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOLARMULA,393.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FGASNE2,360.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FGIBGES,302.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FREGP2,292.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PV AUDAX,280.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FGENIA,250.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FTASOL,244.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FREGPE,217.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALDESOLAR,206.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FV100EGHAB,203.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FFNEXU,202.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SHEEN PV3,180.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRSIGMA,170.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HABGN,169.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FVGREEN,164.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLAISLA,158.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FFWMARK,149.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RODRIG,148.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FV SABINAR,130.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OLMEDILLA,130.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLIFV48,114.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SFGUILLENA,100.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PALMASAETI,100.0,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FV 14,,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FGASNE0,,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FSOLARIA,,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FKAPPA,,1.0,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGMEBRO,,1.0,FI,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2CEG,,1.0,FI,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.G.RODR 2,,1.0,FI,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.G.RODR 1,,1.0,FI,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.G.RODR 4,,1.0,FI,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.G.RODR 3,,1.0,FI,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EANDAL,,1.0,FI,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EDERNA,,1.0,FI,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EALFOZ,,1.0,FI,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
