"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Wind Onshore","18WEHIBGES-123-W","EHIBGES","N/A","5901","Spain","400","26.05.2016",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","18WDUER-12345-0N","DUERO G","3543","3543","37","400","01.01.2012",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","18WTAJO-12345-0U","TAJO G","2232","2228","10","400","01.01.2012",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Wind Onshore","18WEGREEN-1234-3","EOLICAGEST","N/A","2152","Spain","400","19.05.2016",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","18WEBRFEN-123-0T","ENH-FEC-GR","1871","1871","25","220","01.01.2012",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","18WSIL-123456-0G","SIL G","1531","1557","32","220","01.01.2012",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","18WMUEL-12345-03","MUELA G","634","1512","46","400","01.01.2012",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Wind Onshore","18WEEGPEM-1234-9","EEGPEM","N/A","1511","Spain","400","01.04.2016",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","18WMUEB-12345-0T","MUELA B","570","1390","46","400","01.01.2012",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","18WDUEB-12345-0Z","DUERO B","1308","1308","37","400","01.01.2012",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Wind Onshore","18W000000000MU2B","EOLICAGES1","N/A","1071","Spain","400","22.03.2022",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Nuclear","18WCOF1-12345-0O","COFRENTES","1064","1064","46","400","01.01.2012",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Nuclear","18WVAN2-12345-0W","VANDELLOS","1045","1045","43","400","01.01.2012",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Solar","18W000000000LD1V","FREGPEM","N/A","1013","Spain","400","04.05.2022",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Nuclear","18WALZ1-12345-0E","ALMARAZ 1","1011","1011","10","400","01.01.2012",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Nuclear","18WALZ2-12345-04","ALMARAZ 2","1006","1006","10","400","01.01.2012",""
"CTA|ES / 01.01.2014 00:00 - 01.01.2015 00:00","Nuclear","18WTRL1-12345-0Y","TRILLO","1003","1003","19","400","01.01.2012",""
