"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","50WP00000000389I","Kvilldal","N/A","1240","Kvilldal","20","16.12.2014",""
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","50WP00000000747I","Tonstad","N/A","960","Tonstad","12","16.12.2014",""
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","50WP00000000020T","Aurland1","N/A","840","Aurland1","16","16.12.2014",""
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","50WP00000000695B","Svartisen","N/A","720","Svartisen","18","16.12.2014",""
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","50WP000000008791","Sy-Sima","N/A","720","Sy-Sima","20","05.05.2015",""
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","50WP00000000607Y","Saurdal","N/A","640","Saurdal","17","17.12.2014",""
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","50WP000000008783","Lang Sima","N/A","580","Lang Sima","16","05.05.2015",""
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","50WP00000000552X","Rana","N/A","500","Rana","16","17.12.2014",""
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","50WP00000000745M","Tokke","N/A","440","Tokke","16","16.12.2014",""
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","50WP00000000493N","Naturkraft CCPP","N/A","420","Naturkraft CCPP","20","16.12.2014",""
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","50WP000000002811","Holen","N/A","415","Holen","14","17.12.2014",""
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Wind Onshore","50WP000000021352","Øyfjellet Vindkraftverk","N/A","400","Øyfjellet","132","01.08.2023",""
"CTA|NO / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","50WP00000000771L","Tyin","N/A","390","Tyin","17","16.12.2014",""
