"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","16WRIBATE------E","Ribatejo","N/A","1176","ALENQUER","400","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","16WRTG---------V","T.Outeiro C.C.","N/A","990","GONDOMAR","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","16WGVAES-------R","Gouvães","N/A","880","RIBEIRA DE PENA","400","26.01.2022",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","16WPEGO--------O","Pego C.C.","N/A","837","ABRANTES","400","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","16WLARES-------R","Lares","N/A","826","FIGUEIRA DA FOZ","400","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","16WFRADE2------F","Frades II","N/A","780","VIEIRA DO MINHO","400","27.08.2017",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","16WALINDO------J","Alto Lindoso","N/A","630","PONTE DA BARCA","400","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","16WALQUE-------F","Alqueva","N/A","508","PORTEL","400","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","16WAGUIE-------3","Aguieira","N/A","336","PENACOVA","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","16WFOZT--------Y","Foz Tua","N/A","268","ALIJÓ","400","09.02.2017",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16WPICOTII-----K","Picote II","N/A","245","MIRANDA DOURO","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16WBEMPOS------6","Bemposta","N/A","240","MOGADOURO","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16WVALEIRA-----B","Valeira","N/A","240","S.J.PESQUEIRA","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","16WSALAM2------Z","Salamonde II","N/A","220","VIEIRA DO MINHO","400","14.07.2015",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16WBEMPOII-----R","Bemposta II","N/A","203","MOGADOURO","400","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16WCARRAPA-----2","Carrapatelo","N/A","201","CINFÃES","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16WPICOTE------0","Picote","N/A","195","MIRANDA DOURO","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","16WFRADES------T","V.Nova II(Frades)","N/A","191","VIEIRA DO MINHO","150","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16WMIRANII-----E","Miranda II","N/A","189","MIRANDA DOURO","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16WPOCINHO-----S","Pocinho","N/A","186","V.NOVA FOZ CÔA","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16WREGUA-------O","Regua","N/A","180","PESO DA RÉGUA","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16W-MIRANDA----I","Miranda","N/A","180","MIRANDA DOURO","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","16WCBODE-------5","Castelo Bode","N/A","159","TOMAR","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","16WBASBM-------8","Baixo Sabor Montante","N/A","153","TORRE MONCORVO","220","09.06.2015",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16WTORRAO------V","Torrao","N/A","140","MARCO CANAVESES","220","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16W-FRATEL-----A","Fratel","N/A","132","NISA","150","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","16WVFURNA------1","Vilarinho F.","N/A","125","TERRAS DE BOURO","150","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Run-of-river and poundage","16WCRESTUM-----6","Crestuma","N/A","117","VILA NOVA GAIA","60","01.12.2014",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","16WDVOES-------N","Daivões","N/A","114","CABEC.DE BASTO","400","23.11.2022",""
"CTA|PT / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Water Reservoir","16WCABRIL------U","Cabril","N/A","108","SERTÃ","150","01.12.2014",""
