"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Nuclear","22WDOELX40000793","DOEL 4","1038","1039","Belgium","380","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Nuclear","22WTIHANG000242R","TIHANGE 3","1046","1038","Belgium","380","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","22WCOOXII000070C","COO II T","690","690","Belgium","380","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Nuclear","22WTIHANG000239G","TIHANGE 1N","481","481","Belgium","380","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Nuclear","22WTIHANG000240V","TIHANGE 1S","481","481","Belgium","380","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","22WHERDER0001288","HERDERSBRUG STEG","465","480","Belgium","150","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Hydro Pumped Storage","22WCOOXIX000067T","COO I T","474","474","Belgium","380","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","22W201806271---D","EDF Luminus Seraing TGV","N/A","470","Belgium","220","14.10.2018",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","22WDROGEN0000863","DROGENBOS TGV","465","465","Belgium","150","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","22WAMERCO000010Y","Amercoeur 1 R TGV","451","451","Belgium","150","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Nuclear","22WDOELX1000076X","DOEL 1","433","445","Belgium","380","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Nuclear","22WDOELX2000077N","DOEL 2","433","445","Belgium","380","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","22WT-POWE000244W","T-power Beringen","420","422","Belgium","150","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","22WMARCIN000179H","Marcinelle Energie (Carsid)","405","413","Belgium","150","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","22WZANDVL000255D","Zandvliet Power","384","386","Belgium","150","01.01.2014",""
"CTA|BE / 01.01.2014 00:00 - 01.01.2015 00:00","Fossil Gas","22WSAINT-000221B","SAINT-GHISLAIN STEG","N/A","386","Belgium","150","01.10.2014",""
